inc_log,yhat,se_hi,lowerci_hi,upperci_hi
6.6200733,.97825676,.012486756,.95378315,1.0027304
6.7452364,.95735365,.012030225,.93377483,.98093247
6.856462,.93877816,.011636376,.91597128,.96158504
6.9565454,.92206353,.011292517,.8999306,.94419646
7.0475173,.90687054,.010989439,.88533169,.92840946
7.130899,.89294523,.010720253,.87193394,.91395652
7.20786,.8800922,.010479664,.85955244,.90063196
7.2793188,.86815804,.010263517,.84804195,.88827419
7.3460102,.85702014,.010068489,.83728623,.87675399
7.4085307,.84657872,.0098918807,.827191,.8659665
7.467371,.836752,.0097314669,.81767869,.8558253
7.5229411,.82747138,.0095853936,.80868435,.8462584
7.5755849,.81867951,.009452098,.80015373,.83720529
7.6255951,.81032747,.0093302522,.79204047,.82861441
7.673223,.80237323,.0092187123,.78430492,.8204416
7.7186856,.79478067,.0091164932,.77691269,.81264865
7.7621708,.78751832,.0090227341,.7698341,.80520254
7.8038435,.78055871,.0089366836,.76304311,.79807425
7.8438487,.7738775,.0088576768,.75651681,.79123825
7.8823147,.76745343,.0087851267,.7502349,.78467196
7.9193563,.76126719,.0087185074,.74417925,.77835518
7.9550743,.75530207,.0086573539,.73833394,.77227014
7.9895606,.74954259,.0086012445,.73268449,.76640075
8.0228968,.74397522,.008549802,.72721791,.76073253
8.0551577,.73858744,.0085026817,.72192246,.75525236
8.0864105,.73336798,.0084595745,.71678752,.74994844
8.1167154,.72830683,.0084201992,.71180356,.7448101
8.1461296,.72339445,.0083842967,.70696151,.73982739
8.1747026,.71862257,.0083516315,.70225364,.73499143
8.2024822,.71398318,.0083219884,.69767237,.73029399
8.2295113,.70946914,.0082951682,.6932109,.72572738
8.2558289,.70507389,.0082709892,.68886304,.72128475
8.2814713,.70079142,.0082492838,.68462312,.71695971
8.3064718,.69661617,.0082298955,.68048584,.71274644
8.330864,.69254249,.00821268,.67644596,.70863909
8.3546743,.68856597,.008197505,.67249918,.70463282
8.3779316,.68468189,.0081842458,.66864103,.70072269
8.4006596,.68088615,.0081727896,.66486776,.69690448
8.4228821,.67717481,.0081630265,.66117555,.69317406
8.444622,.67354411,.0081548588,.65756088,.68952733
8.4658995,.6699906,.0081481934,.65402043,.68596077
8.4867344,.666511,.0081429416,.65055114,.68247092
8.507143,.66310263,.0081390245,.64715046,.67905486
8.5271435,.65976244,.0081363656,.64381546,.67570943
8.546752,.65648764,.0081348922,.64054358,.67243177
8.5659838,.65327579,.0081345402,.63733238,.6692192
8.5848522,.65012467,.0081352452,.63417983,.66606945
8.6033707,.6470319,.0081369486,.63108379,.66298008
8.6215534,.64399529,.0081395963,.62804198,.65994859
8.639411,.64101297,.0081431353,.62505269,.65697318
8.6569548,.63808298,.0081475182,.62211418,.65405184
8.6741972,.63520342,.0081526972,.61922443,.65118241
8.6911469,.63237268,.0081586307,.61638206,.64836329
8.7078133,.62958926,.0081652757,.61358565,.64559293
8.7242069,.62685144,.0081725968,.61083341,.64286941
8.7403364,.62415767,.008180555,.60812408,.64019126
8.7562103,.62150663,.0081891175,.60545623,.63755697
8.7718353,.61889714,.008198251,.60282886,.63496542
8.78722,.61632776,.0082079256,.60024053,.632415
8.802372,.61379731,.0082181124,.59769011,.62990451
8.8172979,.61130452,.0082287835,.59517646,.62743264
8.8320036,.60884857,.0082399128,.59269869,.62499851
8.8464966,.60642815,.0082514761,.59025556,.62260073
8.8607826,.60404229,.0082634492,.58784622,.62023836
8.8748674,.60169005,.0082758125,.58546972,.61791033
8.8887568,.59937042,.0082885427,.58312517,.61561567
8.9024553,.59708267,.0083016204,.5808118,.61335355
8.9159689,.5948258,.0083150268,.57852864,.61112297
8.9293032,.59259886,.0083287461,.57627481,.6089229
8.942461,.59040141,.0083427588,.57404989,.60675293
8.9554482,.58823246,.008357049,.57185298,.60461199
8.9682684,.5860914,.0083716027,.56968337,.60249943
8.9809275,.58397722,.0083864052,.56754017,.60041428
8.9934273,.58188969,.0084014414,.56542319,.59835619
9.0057735,.57982779,.0084166992,.56333137,.59632421
9.0179682,.57779115,.0084321657,.56126446,.59431791
9.0300169,.57577896,.0084478296,.55922151,.59233642
9.0419216,.57379079,.0084636789,.55720228,.5903793
9.0536861,.57182604,.0084797032,.55520612,.58844596
9.0653143,.56988406,.0084958924,.55323237,.58653569
9.0768089,.56796438,.0085122371,.55128068,.58464801
9.0881729,.5660665,.0085287271,.5493505,.58278251
9.0994091,.56418997,.0085453531,.54744136,.58093858
9.1105204,.5623343,.0085621085,.54555291,.57911575
9.1215096,.56049901,.0085789841,.54368454,.57731354
9.1323786,.55868381,.0085959714,.54183602,.5755316
9.1431313,.55688804,.008613064,.54000676,.57376933
9.1537704,.55511123,.0086302571,.53819627,.57202625
9.1642962,.55335337,.0086475397,.53640449,.57030225
9.1747131,.55161363,.0086649088,.53463078,.56859654
9.1850224,.54989195,.0086823571,.53287482,.56690907
9.1952267,.54818773,.0086998791,.53113627,.56523919
9.205328,.54650074,.0087174699,.52941483,.56358671
9.2153282,.54483062,.0087351231,.52771014,.56195116
9.2252293,.54317713,.0087528341,.52602184,.56033236
9.235033,.54153979,.0087705972,.52434975,.55872983
9.2447414,.53991842,.0087884087,.52269346,.55714339
9.2543573,.53831249,.0088062659,.52105254,.55557245
9.2638807,.536722,.0088241613,.519427,.55401707
9.2733154,.53514636,.0088420957,.51781619,.55247658
9.2826614,.53358549,.00886006,.51622009,.55095094
9.2919207,.53203917,.0088780532,.51463848,.54943985
9.301095,.53050697,.0088960715,.513071,.54794294
9.3101854,.52898884,.0089141103,.51151747,.54646015
9.3191948,.52748418,.0089321695,.50997746,.5449909
9.3281231,.52599311,.0089502437,.50845093,.54353523
9.3369732,.52451509,.0089683319,.50693744,.54209268
9.3457451,.52305007,.0089864284,.50543702,.54066318
9.3544407,.52159786,.0090045324,.50394928,.53924644
9.3630619,.52015805,.0090226429,.50247401,.53784209
9.3716087,.5187307,.0090407534,.50101113,.53645021
