temp,yhat,se_hi,lowerci_hi,upperci_hi
-27,-3.9629171,4.9419384,-13.648938,5.7231035
-26,-3.6440909,4.4867096,-12.43788,5.1496978
-25,-3.3396337,4.0633578,-11.303669,4.6244011
-24,-3.0492439,3.6703763,-10.24305,4.1445618
-23,-2.7726185,3.306294,-9.2528353,3.7075984
-22,-2.5094533,2.9696753,-8.3299103,3.3110034
-21,-2.2594426,2.6591218,-7.4712257,2.9523404
-20,-2.02228,2.3732708,-6.6738052,2.629245
-19,-1.7976574,2.1107955,-5.9347405,2.3394256
-18,-1.5852655,1.8704054,-5.251193,2.0806618
-17,-1.3847939,1.6508466,-4.6203938,1.8508059
-16,-1.195931,1.4509007,-4.0396438,1.6477821
-15,-1.0183635,1.2693858,-3.506314,1.469587
-14,-.85177743,1.1051564,-3.0178442,1.3142893
-13,-.69585729,.95710289,-2.5717444,1.18003
-12,-.55028629,.82415211,-2.1655948,1.0650222
-11,-.41474646,.70526731,-1.797045,.96755201
-10,-.28891864,.59944785,-1.4638149,.88597757
-9,-.1724823,.50572991,-1.1636947,.81873006
-8,-.065115735,.42318606,-.8945452,.7643137
-7,.033504046,.35092583,-.65429795,.72130603
-6,.12370126,.28809577,-.44095609,.6883586
-5,.20580138,.23388006,-.2525951,.66419786
-4,.28013116,.18750097,-.087364003,.64762628
-3,.34701854,.14822006,.056512542,.63752455
-2,.40679276,.1153397,.18073109,.6328544
-1,.45978433,.088205628,.28690445,.63266414
0,.50632495,.066210911,.37655392,.63609594
1,.54674757,.048801493,.45109838,.64239675
2,.58138645,.035481296,.5118444,.6509285
3,.61057711,.025805676,.55999887,.66115528
4,.63465619,.01932901,.59677202,.67254037
5,.65396172,.015469682,.62364173,.68428177
6,.66883296,.013409435,.64255095,.69511497
7,.67961037,.012282756,.65553659,.70368409
8,.68663561,.01149593,.66410404,.70916724
9,.69025177,.010803051,.66907817,.71142536
10,.69080305,.010189153,.67083263,.71077341
11,.68863487,.009735262,.66955411,.70771563
12,.68409401,.0095165791,.66544187,.70274621
13,.6775285,.0095418645,.65882677,.69623017
14,.6692875,.0097471494,.65018344,.68839157
15,.65972149,.010034107,.640055,.67938799
16,.64918226,.01031593,.62896341,.66940111
17,.63802272,.010544289,.6173563,.65868914
18,.62659717,.010714955,.60559624,.64759809
19,.61526108,.010857744,.59398031,.63654184
20,.60437119,.011014355,.5827834,.62595892
21,.59428543,.011208144,.57231784,.61625296
22,.58536309,.011415581,.56298894,.60773724
23,.57796466,.011553448,.55532032,.600609
24,.57245183,.011492479,.549927,.59497666
25,.56918764,.011106808,.54741865,.59095657
26,.56853628,.010395394,.54816169,.58891088
27,.57086325,.0097944969,.55166638,.59006011
28,.57653528,.010696428,.55557066,.59749991
29,.58592039,.014877097,.55676186,.61507899
30,.59938782,.022857238,.55458844,.64418715
31,.61730802,.034569599,.54955286,.68506318
32,.64005274,.050184589,.54169273,.73841274
33,.66799498,.070093267,.53061467,.80537522
34,.70150894,.09480758,.51568949,.88732839
35,.74097019,.12491287,.49614543,.9857949
36,.78675538,.16104801,.47110707,1.1024036
37,.83924252,.2038967,.43961233,1.2388728
38,.89881092,.25418344,.40062055,1.3970013
39,.965841,.31267136,.35301638,1.5786656
40,1.0407145,.38016137,.29561195,1.7858171
41,1.1238145,.45749125,.22714809,2.0204809
42,1.2155252,.54553562,.14629491,2.2847552
43,1.3162318,.6452055,.05165232,2.5808115
