temp,yhat,se_hi,lowerci_hi,upperci_hi
0,.61566198,.029422825,.55799431,.67332965
1,.61545622,.02716724,.56220943,.66870308
2,.61372304,.025041958,.56464171,.66280437
3,.61053717,.023091013,.5652796,.65579474
4,.60598063,.02135209,.56413132,.64782995
5,.60014242,.01985117,.56123483,.63905001
6,.59311873,.018598042,.55666721,.62957025
7,.58501285,.017583959,.55054891,.6194768
8,.57593513,.01678274,.54304159,.60882872
9,.56600314,.016155658,.53433865,.59766763
10,.55534142,.015658984,.52465039,.58603251
11,.54408175,.015251958,.51418847,.57397509
12,.532363,.014903194,.50315326,.56157273
13,.52033103,.01459437,.49172661,.54893547
14,.50813895,.014320942,.48007044,.5362075
15,.49594697,.014090069,.46833095,.52356297
16,.48392233,.013916007,.45664746,.51119721
17,.47223943,.01381341,.44516563,.49931321
18,.46107981,.013789566,.43405274,.48810685
19,.45063207,.013837336,.42351139,.47775275
20,.44109195,.013930856,.41378796,.46839592
21,.43266231,.014025553,.40517274,.46015188
22,.42555308,.014062828,.39799047,.45311573
23,.41998139,.01397942,.39258221,.44738054
24,.41617134,.013722661,.38927543,.44306728
25,.41435432,.013276799,.38833228,.44037637
26,.41476867,.012712454,.3898527,.4396846
27,.41765991,.012276554,.39359832,.4417215
28,.42328069,.012501567,.39877808,.44778332
29,.43189079,.014146117,.40416488,.45961666
30,.443757,.017791748,.40888581,.47862816
