inc_log,yhat,se_hi,lowerci_hi,upperci_hi
6.6200733,.98066455,.012607485,.95595437,1.0053748
6.7452364,.96054435,.012100189,.93682843,.98426026
6.856462,.94266462,.011663697,.91980416,.96552503
6.9565454,.92657602,.011283795,.90446013,.94869184
7.0475173,.91195208,.01095016,.89049011,.93341398
7.130899,.89854831,.010655059,.87766474,.91943181
7.20786,.88617665,.010392536,.86580765,.90654564
7.2793188,.87468946,.010157916,.85478032,.8945986
7.3460102,.86396867,.0099474434,.84447205,.88346535
7.4085307,.85391837,.0097580692,.83479291,.87304384
7.467371,.84445971,.009587273,.82566899,.86325043
7.5229411,.8355267,.0094329463,.81703848,.85401493
7.5755849,.8270641,.0092933094,.80884951,.84527862
7.6255951,.81902486,.0091668442,.80105817,.83699155
7.673223,.81136853,.0090522422,.79362649,.82911062
7.7186856,.80406034,.008948369,.78652185,.82159883
7.7621708,.79707003,.0088542355,.77971601,.81442398
7.8038435,.79037106,.0087689711,.77318418,.80755788
7.8438487,.78394014,.0086918073,.76690447,.80097574
7.8823147,.77775663,.0086220587,.7608577,.79465556
7.9193563,.77180213,.0085591143,.75502658,.78857768
7.9550743,.76606035,.0085024294,.74939591,.7827248
7.9895606,.76051664,.0084515112,.74395198,.77708131
8.0228968,.75515777,.0084059136,.73868251,.77163303
8.0551577,.74997175,.0083652344,.73357618,.76636732
8.0864105,.74494779,.0083291084,.72862303,.76127255
8.1167154,.74007624,.0082972012,.72381401,.75633842
8.1461296,.73534781,.0082692076,.71914047,.7515552
8.1747026,.73075467,.0082448507,.71459502,.74691427
8.2024822,.72628903,.0082238717,.71017051,.7424075
8.2295113,.72194403,.0082060378,.7058605,.73802757
8.2558289,.71771348,.008191132,.70165914,.73376775
8.2814713,.7135914,.008178954,.69756091,.72962183
8.3064718,.70957249,.0081693213,.6935609,.72558403
8.330864,.7056514,.0081620608,.68965405,.72164875
8.3546743,.70182383,.0081570158,.68583637,.71781129
8.3779316,.69808519,.0081540402,.68210357,.7140668
8.4006596,.6944316,.0081529981,.67845201,.71041119
8.4228821,.69085932,.0081537627,.67487818,.7068404
8.444622,.68736452,.0081562176,.67137867,.70335042
8.4658995,.68394417,.0081602521,.66795033,.69993794
