temp,yhat,se_hi,lowerci_hi,upperci_hi
-27,-.87041169,.58778346,-2.0224462,.28162265
-26,-.71851701,.52009398,-1.7378825,.30084842
-25,-.57627881,.4584555,-1.474835,.32227746
-24,-.44334605,.40253732,-1.2323047,.34561259
-23,-.31937316,.35202003,-1.0093197,.37057337
-22,-.20401962,.30659556,-.80493587,.39689666
-21,-.096950166,.26596749,-.61823684,.42433652
-20,.0021652328,.22985072,-.44833389,.45266438
-19,.093651399,.19797122,-.29436508,.48166785
-18,.17782792,.17006472,-.15549278,.51114863
-17,.2550092,.14587435,-.030899279,.54091769
-16,.32550439,.12514648,.080221809,.57078695
-15,.38961741,.10762383,.17867859,.60055625
-14,.44764704,.093036227,.26529935,.62999469
-13,.49988669,.081089661,.34095389,.6588195
-12,.54662472,.071457587,.40657043,.68667907
-11,.58814418,.063780122,.46313748,.71315098
-10,.62472296,.057675835,.51168036,.73776549
-9,.65663356,.052766018,.55321407,.76005304
-8,.68414348,.048703909,.58868557,.7796014
-7,.70751494,.04519878,.61892694,.79610288
-6,.72700483,.042028304,.64463085,.8093788
-5,.74286491,.039038911,.66635007,.81937975
-4,.75534177,.036138017,.68451256,.82617098
-3,.76467663,.033282816,.69944352,.82990974
-2,.77110565,.030468889,.71138769,.8308236
-1,.77485967,.027720314,.72052884,.82919049
0,.77616441,.025081649,.72700524,.82532352
1,.77524018,.022611374,.7309227,.81955767
2,.77230233,.020375641,.7323668,.81223786
3,.76756072,.018440783,.73141748,.80370402
4,.76122028,.016862812,.72816974,.79427075
5,.75348043,.015673781,.72276038,.78420043
6,.74453557,.0148688,.71539325,.77367783
7,.73457479,.014401302,.70634872,.76280081
8,.723782,.014192123,.69596595,.75159806
9,.71233588,.014148868,.68460464,.74006718
10,.70040995,.014185701,.67260647,.72821343
11,.68817234,.01423619,.66026992,.71607476
12,.67578614,.01425823,.64784056,.70373178
13,.66340917,.014233515,.63551199,.69130635
14,.65119398,.014164075,.62343287,.67895508
15,.63928795,.014067101,.61171693,.66685891
16,.62783313,.013968261,.60045588,.65521044
17,.61696661,.013893546,.58973575,.64419746
18,.60681999,.013860153,.57965457,.6339854
19,.59751976,.01386798,.57033902,.62470049
20,.5891872,.013893903,.56195569,.61641878
21,.58193845,.013890712,.55471313,.6091637
22,.57588416,.013791296,.5488537,.60291463
23,.5711301,.013517997,.5446353,.59762484
24,.5677765,.012998478,.54229999,.59325308
25,.56591874,.012195169,.54201663,.5898208
26,.56564659,.011169793,.54375416,.58753896
27,.56704485,.010231822,.54699087,.58709884
28,.57019305,.010175765,.55024892,.59013718
29,.57516545,.012129177,.55139273,.59893823
30,.58203119,.016614344,.54946762,.6145947
31,.59085405,.023469668,.54485434,.63685369
32,.60169268,.032526467,.53794193,.66544336
33,.61460048,.043785524,.52878243,.70041853
34,.62962574,.057357445,.51720721,.74204427
35,.64681131,.073411532,.50292736,.79069531
36,.66619509,.092150554,.48558331,.84680682
37,.68780953,.1137991,.46476734,.91085166
38,.7116819,.13859791,.44003499,.98332882
39,.73783445,.16680099,.41091049,1.0647584
40,.76628393,.19867413,.3768898,1.155678
41,.79704207,.23449399,.33744228,1.2566419
42,.83011526,.27454767,.29201177,1.3682188
43,.8655048,.31913227,.24001703,1.4909925
