temp,yhat,se_hi,lowerci_hi,upperci_hi
-27,4.5354586,5.3368635,-5.9246016,14.995519
-26,4.0235138,4.8456073,-5.4737024,13.520729
-25,3.5588908,4.38873,-5.0428619,12.160644
-24,3.1387761,3.964607,-4.631711,10.909263
-23,2.7604358,3.5716529,-4.2398753,9.760747
-22,2.4212182,3.2083209,-3.8669753,8.7094116
-21,2.118552,2.8731036,-3.5126276,7.7497315
-20,1.8499476,2.564532,-3.1764431,6.876338
-19,1.6129965,2.2811766,-2.8580272,6.0840201
-18,1.4053712,2.0216458,-2.556982,5.3677244
-17,1.2248255,1.7845882,-2.2729032,4.7225542
-16,1.0691946,1.5686905,-2.0053823,4.1437716
-15,.93639439,1.3726786,-1.7540061,3.6267951
-14,.82442242,1.1953174,-1.5183566,3.1672015
-13,.73135722,1.0354108,-1.2980106,2.760725
-12,.65535849,.89180177,-1.0925409,2.4032578
-11,.59466714,.7633723,-.90151507,2.0908494
-10,.54760528,.64904362,-.72449678,1.8197074
-9,.51257622,.5477761,-.56104523,1.5861977
-8,.48806447,.45856968,-.41071558,1.3868445
-7,.47263563,.3804636,-.27305934,1.2183306
-6,.46493658,.3125371,-.14762489,1.0774981
-5,.46369538,.25390953,-.033958156,.96134889
-4,.46772122,.20374097,.068396248,.86704618
-3,.47590452,.16123317,.1598933,.79191571
-2,.48721686,.12563083,.24098498,.73344874
-1,.50071108,.096223637,.31211621,.6893059
0,.51552105,.072349377,.37371889,.65732324
1,.53086203,.053397935,.426204,.63552004
2,.54603028,.03881456,.46995512,.62210542
3,.56040335,.028093446,.50534117,.61546546
4,.57343996,.020735912,.53279829,.61408156
5,.58467996,.01614083,.5530445,.61631542
6,.59374452,.013501609,.56728184,.62020719
7,.60033584,.011935005,.57694364,.62372804
8,.60423738,.010785115,.58309895,.62537581
9,.60531384,.0097479364,.58620822,.62441945
10,.60351098,.0087840473,.58629453,.62072736
11,.59885579,.0079860752,.58320338,.61450821
12,.59145659,.0074630654,.5768292,.60608393
13,.58150262,.0072468477,.56729907,.59570616
14,.56926453,.0072573815,.55504036,.58348876
15,.55509412,.0073510688,.54068625,.56950194
16,.53942424,.0073971828,.52492601,.55392241
17,.52276903,.0073239715,.50841433,.53712374
18,.50572383,.0071317381,.49174592,.51970178
19,.48896518,.0068877907,.47546536,.50246501
20,.47325072,.0067029945,.46011311,.48638836
21,.45941934,.0066776588,.44633135,.4725073
22,.44839105,.006826452,.43501145,.46177065
23,.44116715,.0070396415,.42736971,.45496461
24,.43883005,.0071239783,.4248673,.45279279
25,.44254339,.0069102226,.42899957,.45608717
26,.45355192,.0064770221,.44085717,.46624663
27,.47318166,.0066978741,.46005407,.48630926
28,.5028398,.0093803788,.48445457,.52122498
29,.54401469,.015405307,.51382083,.5742085
30,.59827584,.024767665,.54973209,.64681953
31,.667274,.037662789,.59345627,.74109173
32,.7527411,.054509714,.64590406,.85957819
33,.85649031,.07584253,.70784169,1.0051389
34,.98041576,.10226458,.7799809,1.1808506
35,1.1264931,.13443132,.86301255,1.3899736
36,1.2967789,.17304339,.95762008,1.6359377
37,1.4934109,.21884349,1.0644855,1.9223363
38,1.7186084,.27261502,1.1842928,2.252924
39,1.9746714,.33518121,1.3177283,2.6316144
40,2.2639813,.40740484,1.4654826,3.0624802
41,2.5890009,.49018791,1.6282504,3.5497515
42,2.9522738,.58447152,1.8067307,4.0978169
43,3.356425,.6912359,2.0016277,4.7112226
