inc_log,yhat,se_hi,lowerci_hi,upperci_hi
6.6200733,.89994031,.010714162,.87894094,.92093968
6.7452364,.87757331,.010175867,.85762894,.89751762
6.856462,.85769695,.0097014261,.83868247,.87671137
6.9565454,.83981174,.0092781475,.8216269,.85799658
7.0475173,.82355481,.0088968193,.80611736,.84099221
7.130899,.80865425,.0085505489,.79189545,.82541299
7.20786,.79490107,.0082340436,.77876264,.81103951
7.2793188,.7821312,.0079431515,.76656288,.79769945
7.3460102,.77021319,.0076745548,.75517136,.78525507
7.4085307,.75904059,.0074255657,.74448675,.77359444
7.467371,.74852568,.0071939742,.73442572,.76262563
7.5229411,.73859513,.0069779386,.7249186,.75227165
7.5755849,.72918755,.0067759156,.71590698,.74246806
7.6255951,.72025055,.0065865936,.70734107,.73316002
7.673223,.7117393,.0064088493,.69917816,.72430044
7.7186856,.70361501,.0062417137,.69138145,.71584851
7.7621708,.69584405,.0060843495,.68391895,.70776916
7.8038435,.68839705,.0059360219,.67676264,.7000314
7.8438487,.68124801,.0057960865,.66988784,.69260812
7.8823147,.67437398,.0056639728,.6632728,.68547517
7.9193563,.66775453,.0055391723,.65689796,.6786111
7.9550743,.66137165,.0054212366,.65074623,.67199707
7.9895606,.65520883,.0053097578,.64480191,.66561574
8.0228968,.64925158,.0052043721,.6390512,.65945196
8.0551577,.64348644,.0051047471,.63348132,.65349156
8.0864105,.63790148,.0050105825,.6280809,.64772201
8.1167154,.63248587,.0049216063,.62283969,.64213204
8.1461296,.62722945,.0048375633,.61774802,.63671094
8.1747026,.62212336,.0047582258,.61279744,.63144934
8.2024822,.61715907,.0046833772,.60797983,.62633836
8.2295113,.61232895,.0046128193,.60328799,.6213699
8.2558289,.6076259,.0045463685,.59871519,.61653662
8.2814713,.6030435,.004483853,.59425533,.61183172
8.3064718,.59857583,.0044251112,.58990276,.6072489
8.330864,.59421688,.0043699867,.58565187,.60278189
8.3546743,.58996189,.0043183402,.58149815,.59842569
8.3779316,.58580577,.0042700316,.57743669,.59417486
8.4006596,.58174419,.0042249346,.5734635,.59002495
8.4228821,.57777297,.0041829236,.56957459,.58597136
8.444622,.573888,.0041438797,.56576616,.58200985
8.4658995,.57008564,.0041076895,.56203473,.57813656
8.4867344,.56636238,.0040742438,.55837703,.57434773
8.507143,.56271529,.0040434399,.55479032,.57064027
8.5271435,.55914116,.0040151756,.55127156,.56701076
8.546752,.55563706,.0039893528,.54781806,.56345606
8.5659838,.55220026,.003965877,.54442728,.55997324
8.5848522,.54882842,.0039446577,.54109704,.5565598
8.6033707,.54551911,.0039256066,.53782511,.55321318
8.6215534,.54226983,.0039086365,.53460902,.54993063
8.639411,.53907859,.0038936653,.53144717,.54671007
8.6569548,.53594351,.0038806123,.52833766,.54354936
8.6741972,.53286225,.0038693985,.52527833,.5404461
8.6911469,.52983326,.0038599488,.52226788,.53739864
8.7078133,.52685493,.0038521898,.51930475,.53440505
8.7242069,.5239253,.0038460493,.51638722,.53146344
8.7403364,.52104294,.0038414586,.5135138,.52857208
8.7562103,.51820624,.0038383505,.51068318,.52572924
8.7718353,.515414,.0038366604,.50789428,.52293372
8.78722,.51266468,.0038363256,.50514567,.52018374
8.802372,.50995702,.0038372851,.50243604,.51747793
8.8172979,.50728971,.0038394802,.49976444,.51481491
8.8320036,.50466174,.0038428544,.49712989,.51219362
8.8464966,.5020718,.0038473532,.49453112,.5096125
8.8607826,.49951884,.0038529236,.49196726,.50707042
8.8748674,.49700186,.0038595146,.48943734,.50456637
8.8887568,.49451977,.0038670776,.48694044,.5020991
8.9024553,.49207181,.003875565,.48447582,.49966776
8.9159689,.4896569,.0038849318,.48204255,.49727121
8.9293032,.48727402,.0038951351,.47963968,.49490833
8.942461,.48492268,.0039061313,.47726679,.49257854
8.9554482,.48260182,.0039178813,.47492293,.49028075
8.9682684,.4803108,.0039303461,.47260746,.48801416
8.9809275,.47804859,.0039434899,.47031951,.48577771
8.9934273,.47581485,.0039572753,.46805874,.48357096
9.0057735,.47360852,.0039716703,.46582419,.48139286
9.0179682,.47142932,.0039866404,.46361563,.47924298
