temp,tercile,ref,lrt_eval,yhat,se,lower_ci,upper_ci
-20,1,27,19.39258003234863,181.42516,123.2113,-60.064552,422.91486
-19.9,1,27,19.39258003234863,181.03914,122.94915,-59.936756,422.01505
-19.8,1,27,19.39258003234863,180.65314,122.687,-59.80896,421.11523
-19.7,1,27,19.39258003234863,180.26712,122.42484,-59.681164,420.21542
-19.6,1,27,19.39258003234863,179.88112,122.1627,-59.553368,419.31558
-19.5,1,27,19.39258003234863,179.4951,121.90054,-59.425568,418.41577
-19.4,1,27,19.39258003234863,179.10909,121.63839,-59.297771,417.51596
-19.3,1,27,19.39258003234863,178.72307,121.37624,-59.169975,416.61612
-19.2,1,27,19.39258003234863,178.33707,121.11409,-59.042179,415.71631
-19.1,1,27,19.39258003234863,177.95107,120.85194,-58.914383,414.8165
-19,1,27,19.39258003234863,177.56505,120.58978,-58.786583,413.91669
-18.9,1,27,19.39258003234863,177.17903,120.32763,-58.658787,413.01685
-18.8,1,27,19.39258003234863,176.79301,120.06548,-58.530991,412.11703
-18.7,1,27,19.39258003234863,176.40701,119.80333,-58.403194,411.21722
-18.6,1,27,19.39258003234863,176.021,119.54118,-58.275398,410.31741
-18.5,1,27,19.39258003234863,175.63499,119.27902,-58.147598,409.41757
-18.4,1,27,19.39258003234863,175.24898,119.01687,-58.019802,408.51776
-18.3,1,27,19.39258003234863,174.86296,118.75471,-57.892006,407.61795
-18.2,1,27,19.39258003234863,174.47696,118.49257,-57.76421,406.71814
-18.1,1,27,19.39258003234863,174.09094,118.23042,-57.636414,405.8183
-18,1,27,19.39258003234863,173.70494,117.96826,-57.508614,404.91849
-17.9,1,27,19.39258003234863,173.31892,117.70612,-57.380817,404.01868
-17.8,1,27,19.39258003234863,172.93291,117.44396,-57.253021,403.11884
-17.7,1,27,19.39258003234863,172.54691,117.18181,-57.125225,402.21902
-17.6,1,27,19.39258003234863,172.16089,116.91966,-56.997429,401.31921
-17.5,1,27,19.39258003234863,171.77489,116.65751,-56.869633,400.4194
