temp,ref,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high
-20,27,-3.6350045,6.9784527,-17.312521,10.042512,-19.511534,6.454473,-32.162067,-6.8609986
-19.9,27,-3.6272705,6.9636049,-17.275686,10.021145,-19.47002,6.4407401,-32.093639,-6.8464007
-19.799999,27,-3.6195364,6.9487572,-17.23885,9.9997778,-19.428505,6.4270072,-32.025208,-6.8318028
-19.700001,27,-3.6118023,6.9339099,-17.202015,9.9784107,-19.386992,6.4132748,-31.956779,-6.817205
-19.6,27,-3.6040683,6.9190617,-17.16518,9.9570436,-19.345478,6.3995414,-31.88835,-6.8026071
-19.5,27,-3.5963342,6.9042139,-17.128345,9.9356766,-19.303965,6.3858085,-31.81992,-6.7880092
-19.4,27,-3.5886002,6.8893661,-17.091509,9.9143095,-19.262449,6.3720756,-31.751488,-6.7734113
-19.299999,27,-3.5808661,6.8745184,-17.054674,9.8929424,-19.220936,6.3583426,-31.683058,-6.7588134
-19.200001,27,-3.573132,6.8596706,-17.017839,9.8715754,-19.179422,6.3446097,-31.61463,-6.7442155
-19.1,27,-3.565398,6.8448229,-16.981005,9.8502083,-19.137909,6.3308768,-31.5462,-6.7296176
-19,27,-3.5576639,6.8299751,-16.94417,9.8288412,-19.096394,6.3171439,-31.47777,-6.7150197
-18.9,27,-3.5499299,6.8151274,-16.907333,9.8074741,-19.05488,6.303411,-31.40934,-6.7004218
-18.799999,27,-3.5421958,6.8002796,-16.870499,9.7861071,-19.013367,6.2896781,-31.340908,-6.6858239
-18.700001,27,-3.534462,6.7854319,-16.833664,9.76474,-18.971853,6.2759452,-31.27248,-6.6712265
-18.6,27,-3.5267279,6.7705841,-16.796829,9.7433729,-18.93034,6.2622123,-31.20405,-6.6566286
-18.5,27,-3.5189936,6.7557364,-16.759993,9.7220058,-18.888824,6.2484794,-31.13562,-6.6420307
-18.4,27,-3.5112596,6.7408886,-16.723158,9.7006388,-18.847311,6.2347465,-31.06719,-6.6274323
-18.299999,27,-3.5035255,6.7260408,-16.686323,9.6792717,-18.805798,6.2210135,-30.998758,-6.6128345
-18.200001,27,-3.4957917,6.7111931,-16.649488,9.6579056,-18.764284,6.2072806,-30.93033,-6.598237
-18.1,27,-3.4880576,6.6963453,-16.612654,9.6365376,-18.722769,6.1935477,-30.8619,-6.5836391
-18,27,-3.4803236,6.6814976,-16.575817,9.6151705,-18.681255,6.1798148,-30.79347,-6.5690413
-17.9,27,-3.4725895,6.6666498,-16.538982,9.5938034,-18.639742,6.1660819,-30.72504,-6.5544434
-17.799999,27,-3.4648552,6.6518016,-16.502148,9.5724363,-18.598227,6.152349,-30.656609,-6.5398455
-17.700001,27,-3.4571214,6.6369543,-16.465313,9.5510702,-18.556715,6.1386161,-30.588181,-6.5252476
-17.6,27,-3.4493873,6.6221066,-16.428478,9.5297031,-18.5152,6.1248832,-30.519751,-6.5106497
-17.5,27,-3.4416533,6.6072588,-16.391642,9.5083361,-18.473686,6.1111503,-30.451321,-6.4960518
-17.4,27,-3.4339192,6.5924106,-16.354807,9.486968,-18.432173,6.0974174,-30.382891,-6.4814539
-17.299999,27,-3.4261851,6.5775628,-16.317972,9.465601,-18.390657,6.083684,-30.314461,-6.466856
-17.200001,27,-3.4184511,6.5627155,-16.281137,9.4442348,-18.349144,6.0699515,-30.246031,-6.4522581
-17.1,27,-3.410717,6.5478673,-16.244301,9.4228678,-18.307631,6.0562186,-30.177601,-6.4376602
-17,27,-3.402983,6.5330195,-16.207466,9.4015007,-18.266117,6.0424857,-30.109171,-6.4230623
-16.9,27,-3.3952489,6.5181718,-16.170631,9.3801336,-18.224602,6.0287528,-30.040741,-6.4084644
-16.799999,27,-3.3875148,6.503324,-16.133795,9.3587666,-18.183088,6.0150194,-29.972311,-6.3938665
