temp,ref,mins_worked,T_spline0,T_spline1,T_ref_spline0,T_ref_spline1,yhat,lower_ci,upper_ci
-20,27,0,-20,0,27,0,71.337952,-34.989613,177.66551
-19,27,0,-19,0,27,0,69.820122,-34.245152,173.88539
-18,27,0,-18,0,27,0,68.302292,-33.500694,170.10527
-17,27,0,-17,0,27,0,66.784462,-32.756233,166.32516
-16,27,0,-16,0,27,0,65.266632,-32.011772,162.54504
-15,27,0,-15,0,27,0,63.748806,-31.267313,158.76492
-14,27,0,-14,0,27,0,62.230976,-30.522854,154.9848
-13,27,0,-13,0,27,0,60.71315,-29.778393,151.2047
-12,27,0,-12,0,27,0,59.19532,-29.033934,147.42458
-11,27,0,-11,0,27,0,57.67749,-28.289474,143.64445
-10,27,0,-10,0,27,0,56.159664,-27.545013,139.86433
-9,27,0,-9,0,27,0,54.641834,-26.800554,136.08423
-8,27,0,-8,0,27,0,53.124004,-26.056095,132.30411
-7,27,0,-7,0,27,0,51.606178,-25.311634,128.52399
-6,27,0,-6,0,27,0,50.088348,-24.567175,124.74387
-5,27,0,-5,0,27,0,48.570518,-23.822714,120.96375
-4,27,0,-4,0,27,0,47.052689,-23.078255,117.18363
-3,27,0,-3,0,27,0,45.534863,-22.333796,113.40352
-2,27,0,-2,0,27,0,44.017033,-21.589334,109.6234
-1,27,0,-1,0,27,0,42.499203,-20.844875,105.84328
0,27,0,0,0,27,0,40.981377,-20.100416,102.06316
1,27,0,1,0,27,0,39.463547,-19.355955,98.283051
2,27,0,2,0,27,0,37.945717,-18.611496,94.50293
3,27,0,3,0,27,0,36.427891,-17.867037,90.722816
4,27,0,4,0,27,0,34.910061,-17.122576,86.942696
5,27,0,5,0,27,0,33.392231,-16.378117,83.162582
6,27,0,6,0,27,0,31.874403,-15.633657,79.382462
7,27,0,7,0,27,0,30.356575,-14.889196,75.602348
8,27,0,8,0,27,0,28.838745,-14.144737,71.822227
9,27,0,9,0,27,0,27.320917,-13.400277,68.042114
10,27,0,10,0,27,0,25.803089,-12.655817,64.261993
11,27,0,11,0,27,0,24.285259,-11.911357,60.481876
12,27,0,12,0,27,0,22.767431,-11.166898,56.701759
13,27,0,13,0,27,0,21.249601,-10.422438,52.921642
14,27,0,14,0,27,0,19.731773,-9.6779776,49.141525
15,27,0,15,0,27,0,18.213945,-8.9335184,45.361408
16,27,0,16,0,27,0,16.696115,-8.1890583,41.581291
17,27,0,17,0,27,0,15.178288,-7.4445982,37.801174
18,27,0,18,0,27,0,13.660459,-6.7001386,34.021057
19,27,0,19,0,27,0,12.14263,-5.9556785,30.240938
20,27,0,20,0,27,0,10.624801,-5.2112188,26.460821
21,27,0,21,0,27,0,9.1069727,-4.4667592,22.680704
22,27,0,22,0,27,0,7.5891438,-3.7222991,18.900587
23,27,0,23,0,27,0,6.0713148,-2.9778392,15.120469
24,27,0,24,0,27,0,4.5534863,-2.2333796,11.340352
25,27,0,25,0,27,0,3.0356574,-1.4889196,7.5602345
26,27,0,26,0,27,0,1.5178287,-.74445981,3.7801173
27,27,0,27,0,27,0,0,0,0
28,27,0,28,1,27,0,-1.4368423,-3.6270795,.75339478
29,27,0,29,8,27,0,-2.3877661,-6.3443313,1.568799
30,27,0,30,27,27,0,-2.3668528,-7.3000307,2.5663249
31,27,0,31,64,27,0,-.88818407,-5.8888144,4.1124463
32,27,0,32,125,27,0,2.5341587,-2.5709229,7.6392403
33,27,0,33,216,27,0,8.3860941,.21896859,16.553219
34,27,0,34,343,27,0,17.153542,1.7188636,32.588219
35,27,0,35,512,27,0,29.322416,2.6749806,55.969852
36,27,0,36,729,27,0,45.378639,3.4188683,87.338417
37,27,0,37,1000,27,0,65.808128,4.0618606,127.55441
38,27,0,38,1325,27,0,90.610886,4.6442122,176.57756
39,27,0,39,1680,27,0,117.84324,5.1790485,230.50743
40,27,0,40,2040,27,0,145.48051,5.6814342,285.2796
41,27,0,41,2400,27,0,173.1178,6.1656528,340.06995
42,27,0,42,2760,27,0,200.75508,6.639328,394.87085
43,27,0,43,3120,27,0,228.39236,7.1063423,449.67841
44,27,0,44,3480,27,0,256.02966,7.5688815,504.49042
45,27,0,45,3840,27,0,283.66693,8.0282679,559.3056
46,27,0,46,4200,27,0,311.3042,8.4853525,614.12305
47,27,0,47,4560,27,0,338.9415,8.9407015,668.94226
48,27,0,48,4920,27,0,366.57877,9.3947134,723.76282
49,27,0,49,5280,27,0,394.21606,9.8476706,778.58447
50,27,0,50,5640,27,0,421.85333,10.299782,833.40692
