temp,ref,mins_worked,T_spline0,T_spline1,T_ref_spline0,T_ref_spline1,yhat,lower_ci,upper_ci
-20,27,0,-20,0,27,0,0,0,0
-19,27,0,-19,0,27,0,0,0,0
-18,27,0,-18,0,27,0,0,0,0
-17,27,0,-17,0,27,0,0,0,0
-16,27,0,-16,0,27,0,0,0,0
-15,27,0,-15,0,27,0,0,0,0
-14,27,0,-14,0,27,0,0,0,0
-13,27,0,-13,0,27,0,0,0,0
-12,27,0,-12,0,27,0,0,0,0
-11,27,0,-11,0,27,0,0,0,0
-10,27,0,-10,0,27,0,0,0,0
-9,27,0,-9,0,27,0,0,0,0
-8,27,0,-8,0,27,0,0,0,0
-7,27,0,-7,0,27,0,0,0,0
-6,27,0,-6,0,27,0,0,0,0
-5,27,0,-5,0,27,0,0,0,0
-4,27,0,-4,0,27,0,0,0,0
-3,27,0,-3,0,27,0,0,0,0
-2,27,0,-2,0,27,0,0,0,0
-1,27,0,-1,0,27,0,0,0,0
0,27,0,0,0,27,0,0,0,0
1,27,0,1,0,27,0,0,0,0
2,27,0,2,0,27,0,0,0,0
3,27,0,3,0,27,0,0,0,0
4,27,0,4,0,27,0,0,0,0
5,27,0,5,0,27,0,0,0,0
6,27,0,6,0,27,0,0,0,0
7,27,0,7,0,27,0,0,0,0
8,27,0,8,0,27,0,0,0,0
9,27,0,9,0,27,0,0,0,0
10,27,0,10,0,27,0,0,0,0
11,27,0,11,0,27,0,0,0,0
12,27,0,12,0,27,0,0,0,0
13,27,0,13,0,27,0,0,0,0
14,27,0,14,0,27,0,0,0,0
15,27,0,15,0,27,0,0,0,0
16,27,0,16,0,27,0,0,0,0
17,27,0,17,0,27,0,0,0,0
18,27,0,18,0,27,0,0,0,0
19,27,0,19,0,27,0,0,0,0
20,27,0,20,0,27,0,0,0,0
21,27,0,21,0,27,0,0,0,0
22,27,0,22,0,27,0,0,0,0
23,27,0,23,0,27,0,0,0,0
24,27,0,24,0,27,0,0,0,0
25,27,0,25,0,27,0,0,0,0
26,27,0,26,0,27,0,0,0,0
27,27,0,27,0,27,0,0,0,0
28,27,0,28,1,27,0,0,0,0
29,27,0,29,8,27,0,0,0,0
30,27,0,30,27,27,0,0,0,0
31,27,0,31,64,27,0,0,0,0
32,27,0,32,125,27,0,0,0,0
33,27,0,33,216,27,0,0,0,0
34,27,0,34,343,27,0,0,0,0
35,27,0,35,512,27,0,0,0,0
36,27,0,36,729,27,0,0,0,0
37,27,0,37,1000,27,0,0,0,0
38,27,0,38,1325,27,0,0,0,0
39,27,0,39,1680,27,0,0,0,0
40,27,0,40,2040,27,0,0,0,0
41,27,0,41,2400,27,0,0,0,0
42,27,0,42,2760,27,0,0,0,0
43,27,0,43,3120,27,0,0,0,0
44,27,0,44,3480,27,0,0,0,0
45,27,0,45,3840,27,0,0,0,0
46,27,0,46,4200,27,0,0,0,0
47,27,0,47,4560,27,0,0,0,0
48,27,0,48,4920,27,0,0,0,0
49,27,0,49,5280,27,0,0,0,0
50,27,0,50,5640,27,0,0,0,0
