temp,ref,mins_worked,T_spline0,T_spline1,T_ref_spline0,T_ref_spline1,yhat,lower_ci,upper_ci
-20,27,0,-20,0,27,0,-53.780193,-113.09143,5.5310478
-19,27,0,-19,0,27,0,-52.635933,-110.68523,5.4133658
-18,27,0,-18,0,27,0,-51.491673,-108.27903,5.2956839
-17,27,0,-17,0,27,0,-50.347416,-105.87283,5.1780024
-16,27,0,-16,0,27,0,-49.203156,-103.46663,5.0603204
-15,27,0,-15,0,27,0,-48.058895,-101.06043,4.9426384
-14,27,0,-14,0,27,0,-46.914635,-98.654228,4.8249564
-13,27,0,-13,0,27,0,-45.770378,-96.248032,4.7072749
-12,27,0,-12,0,27,0,-44.626118,-93.841827,4.5895929
-11,27,0,-11,0,27,0,-43.481857,-91.435623,4.471911
-10,27,0,-10,0,27,0,-42.337597,-89.029427,4.354229
-9,27,0,-9,0,27,0,-41.19334,-86.623222,4.2365475
-8,27,0,-8,0,27,0,-40.04908,-84.217026,4.1188655
-7,27,0,-7,0,27,0,-38.904819,-81.810822,4.0011835
-6,27,0,-6,0,27,0,-37.760559,-79.404625,3.8835018
-5,27,0,-5,0,27,0,-36.616302,-76.998421,3.7658198
-4,27,0,-4,0,27,0,-35.472042,-74.592224,3.648138
-3,27,0,-3,0,27,0,-34.327782,-72.18602,3.5304561
-2,27,0,-2,0,27,0,-33.183521,-69.779823,3.4127741
-1,27,0,-1,0,27,0,-32.039265,-67.373619,3.2950923
0,27,0,0,0,27,0,-30.895004,-64.967422,3.1774104
1,27,0,1,0,27,0,-29.750746,-62.561218,3.0597286
2,27,0,2,0,27,0,-28.606485,-60.155018,2.9420466
3,27,0,3,0,27,0,-27.462227,-57.748817,2.8243649
4,27,0,4,0,27,0,-26.317966,-55.342617,2.7066829
5,27,0,5,0,27,0,-25.173708,-52.936417,2.5890012
6,27,0,6,0,27,0,-24.029448,-50.530216,2.4713192
7,27,0,7,0,27,0,-22.885189,-48.124016,2.3536375
8,27,0,8,0,27,0,-21.740929,-45.717812,2.2359555
9,27,0,9,0,27,0,-20.59667,-43.311611,2.1182737
10,27,0,10,0,27,0,-19.45241,-40.905411,2.0005918
11,27,0,11,0,27,0,-18.308151,-38.49921,1.8829099
12,27,0,12,0,27,0,-17.163891,-36.09301,1.765228
13,27,0,13,0,27,0,-16.019632,-33.68681,1.6475462
14,27,0,14,0,27,0,-14.875373,-31.280609,1.5298643
15,27,0,15,0,27,0,-13.731113,-28.874409,1.4121825
16,27,0,16,0,27,0,-12.586854,-26.468208,1.2945006
17,27,0,17,0,27,0,-11.442595,-24.062008,1.1768187
18,27,0,18,0,27,0,-10.298335,-21.655806,1.0591369
19,27,0,19,0,27,0,-9.1540756,-19.249605,.94145495
20,27,0,20,0,27,0,-8.0098162,-16.843405,.82377309
21,27,0,21,0,27,0,-6.8655567,-14.437204,.70609123
22,27,0,22,0,27,0,-5.7212973,-12.031004,.58840936
23,27,0,23,0,27,0,-4.5770378,-9.6248026,.47072747
24,27,0,24,0,27,0,-3.4327784,-7.2186022,.35304561
25,27,0,25,0,27,0,-2.2885189,-4.8124013,.23536374
26,27,0,26,0,27,0,-1.1442595,-2.4062006,.11768187
27,27,0,27,0,27,0,0,0,0
28,27,0,28,1,27,0,1.0918224,-.14599887,2.3296437
29,27,0,29,6.9230766,27,0,1.9254936,-.47604835,4.3270354
30,27,0,30,18.384615,27,0,2.4687445,-1.1277077,6.0651965
31,27,0,31,34.923077,27,0,2.7457767,-2.1955447,7.6870985
32,27,0,32,56.076927,27,0,2.780792,-3.732707,9.2942905
33,27,0,33,81.384613,27,0,2.5979924,-5.7504659,10.946451
34,27,0,34,110.38462,27,0,2.2215788,-8.2289228,12.67208
35,27,0,35,142.61539,27,0,1.6757541,-11.128868,14.480376
36,27,0,36,177.61539,27,0,.98471886,-14.400343,16.369781
37,27,0,37,214.92308,27,0,.17267521,-17.987724,18.333075
38,27,0,38,254.07692,27,0,-.73617476,-21.8325,20.360149
39,27,0,39,294.61539,27,0,-1.7176305,-25.874729,22.439468
40,27,0,40,336.07693,27,0,-2.7474897,-30.053808,24.55883
41,27,0,41,378,27,0,-3.8015497,-34.30888,26.70578
42,27,0,42,420,27,0,-4.8596435,-38.588482,28.869192
43,27,0,43,462,27,0,-5.917738,-42.879364,31.043888
44,27,0,44,504,27,0,-6.975832,-47.178806,33.227142
45,27,0,45,546,27,0,-8.033926,-51.484894,35.417042
46,27,0,46,588,27,0,-9.09202,-55.796238,37.612198
47,27,0,47,630,27,0,-10.150114,-60.111813,39.811584
48,27,0,48,672,27,0,-11.208208,-64.43084,42.014427
49,27,0,49,714,27,0,-12.266302,-68.752724,44.220123
50,27,0,50,756,27,0,-13.324396,-73.077003,46.428207
