temp,ref,mins_worked,T_spline0,T_spline1,T_ref_spline0,T_ref_spline1,yhat,lower_ci,upper_ci
-20,27,0,-20,0,27,0,1.3588945,1.3588945,1.3588945
-19,27,0,-19,0,27,0,1.3299818,1.3299818,1.3299818
-18,27,0,-18,0,27,0,1.3010693,1.3010693,1.3010693
-17,27,0,-17,0,27,0,1.2721566,1.2721566,1.2721566
-16,27,0,-16,0,27,0,1.2432439,1.2432439,1.2432439
-15,27,0,-15,0,27,0,1.2143313,1.2143313,1.2143313
-14,27,0,-14,0,27,0,1.1854186,1.1854186,1.1854186
-13,27,0,-13,0,27,0,1.1565059,1.1565059,1.1565059
-12,27,0,-12,0,27,0,1.1275933,1.1275933,1.1275933
-11,27,0,-11,0,27,0,1.0986806,1.0986806,1.0986806
-10,27,0,-10,0,27,0,1.0697681,1.0697681,1.0697681
-9,27,0,-9,0,27,0,1.0408554,1.0408554,1.0408554
-8,27,0,-8,0,27,0,1.0119427,1.0119427,1.0119427
-7,27,0,-7,0,27,0,.98303008,.98303008,.98303008
-6,27,0,-6,0,27,0,.95411742,.95411742,.95411742
-5,27,0,-5,0,27,0,.92520475,.92520475,.92520475
-4,27,0,-4,0,27,0,.89629215,.89629215,.89629215
-3,27,0,-3,0,27,0,.86737949,.86737949,.86737949
-2,27,0,-2,0,27,0,.83846682,.83846682,.83846682
-1,27,0,-1,0,27,0,.80955416,.80955416,.80955416
0,27,0,0,0,27,0,.78064156,.78064156,.78064156
1,27,0,1,0,27,0,.75172889,.75172889,.75172889
2,27,0,2,0,27,0,.72281623,.72281623,.72281623
3,27,0,3,0,27,0,.69390357,.69390357,.69390357
4,27,0,4,0,27,0,.6649909,.6649909,.6649909
5,27,0,5,0,27,0,.6360783,.6360783,.6360783
6,27,0,6,0,27,0,.60716563,.60716563,.60716563
7,27,0,7,0,27,0,.57825297,.57825297,.57825297
8,27,0,8,0,27,0,.54934031,.54934031,.54934031
9,27,0,9,0,27,0,.5204277,.5204277,.5204277
10,27,0,10,0,27,0,.49151504,.49151504,.49151504
11,27,0,11,0,27,0,.46260238,.46260238,.46260238
12,27,0,12,0,27,0,.43368974,.43368974,.43368974
13,27,0,13,0,27,0,.40477708,.40477708,.40477708
14,27,0,14,0,27,0,.37586445,.37586445,.37586445
15,27,0,15,0,27,0,.34695178,.34695178,.34695178
16,27,0,16,0,27,0,.31803915,.31803915,.31803915
17,27,0,17,0,27,0,.28912649,.28912649,.28912649
18,27,0,18,0,27,0,.26021385,.26021385,.26021385
19,27,0,19,0,27,0,.23130119,.23130119,.23130119
20,27,0,20,0,27,0,.20238854,.20238854,.20238854
21,27,0,21,0,27,0,.17347589,.17347589,.17347589
22,27,0,22,0,27,0,.14456324,.14456324,.14456324
23,27,0,23,0,27,0,.11565059,.11565059,.11565059
24,27,0,24,0,27,0,.086737946,.086737946,.086737946
25,27,0,25,0,27,0,.057825297,.057825297,.057825297
26,27,0,26,0,27,0,.028912649,.028912649,.028912649
27,27,0,27,0,27,0,0,0,0
28,27,0,28,1,27,0,-.029015759,-.029015759,-.029015759
29,27,0,29,8,27,0,-.058650181,-.058650181,-.058650181
30,27,0,30,27,27,0,-.08952193,-.08952193,-.08952193
31,27,0,31,64,27,0,-.12224966,-.12224966,-.12224966
32,27,0,32,125,27,0,-.15745205,-.15745205,-.15745205
33,27,0,33,216,27,0,-.19574775,-.19574775,-.19574775
34,27,0,34,343,27,0,-.23775542,-.23775542,-.23775542
35,27,0,35,512,27,0,-.28409374,-.28409374,-.28409374
36,27,0,36,729,27,0,-.33538133,-.33538133,-.33538133
37,27,0,37,1000,27,0,-.39223692,-.39223692,-.39223692
38,27,0,38,1325,27,0,-.45466045,-.45466045,-.45466045
39,27,0,39,1680,27,0,-.5201773,-.5201773,-.5201773
40,27,0,40,2040,27,0,-.58620971,-.58620971,-.58620971
41,27,0,41,2400,27,0,-.65224212,-.65224212,-.65224212
42,27,0,42,2760,27,0,-.71827447,-.71827447,-.71827447
43,27,0,43,3120,27,0,-.78430688,-.78430688,-.78430688
44,27,0,44,3480,27,0,-.85033929,-.85033929,-.85033929
45,27,0,45,3840,27,0,-.9163717,-.9163717,-.9163717
46,27,0,46,4200,27,0,-.98240411,-.98240411,-.98240411
47,27,0,47,4560,27,0,-1.0484365,-1.0484365,-1.0484365
48,27,0,48,4920,27,0,-1.1144689,-1.1144689,-1.1144689
49,27,0,49,5280,27,0,-1.1805013,-1.1805013,-1.1805013
50,27,0,50,5640,27,0,-1.2465338,-1.2465338,-1.2465338
