temp,ref,mins_worked,T_spline0,T_spline1,T_ref_spline0,T_ref_spline1,yhat,lower_ci,upper_ci
-20,27,0,-20,0,27,0,-10.571198,-10.571198,-10.571198
-19,27,0,-19,0,27,0,-10.346279,-10.346279,-10.346279
-18,27,0,-18,0,27,0,-10.12136,-10.12136,-10.12136
-17,27,0,-17,0,27,0,-9.8964405,-9.8964405,-9.8964405
-16,27,0,-16,0,27,0,-9.6715221,-9.6715221,-9.6715221
-15,27,0,-15,0,27,0,-9.4466028,-9.4466028,-9.4466028
-14,27,0,-14,0,27,0,-9.2216835,-9.2216835,-9.2216835
-13,27,0,-13,0,27,0,-8.9967642,-8.9967642,-8.9967642
-12,27,0,-12,0,27,0,-8.7718458,-8.7718458,-8.7718458
-11,27,0,-11,0,27,0,-8.5469265,-8.5469265,-8.5469265
-10,27,0,-10,0,27,0,-8.3220072,-8.3220072,-8.3220072
-9,27,0,-9,0,27,0,-8.0970879,-8.0970879,-8.0970879
-8,27,0,-8,0,27,0,-7.872169,-7.872169,-7.872169
-7,27,0,-7,0,27,0,-7.6472497,-7.6472497,-7.6472497
-6,27,0,-6,0,27,0,-7.4223309,-7.4223309,-7.4223309
-5,27,0,-5,0,27,0,-7.1974115,-7.1974115,-7.1974115
-4,27,0,-4,0,27,0,-6.9724927,-6.9724927,-6.9724927
-3,27,0,-3,0,27,0,-6.7475734,-6.7475734,-6.7475734
-2,27,0,-2,0,27,0,-6.5226541,-6.5226541,-6.5226541
-1,27,0,-1,0,27,0,-6.2977352,-6.2977352,-6.2977352
0,27,0,0,0,27,0,-6.0728159,-6.0728159,-6.0728159
1,27,0,1,0,27,0,-5.8478971,-5.8478971,-5.8478971
2,27,0,2,0,27,0,-5.6229777,-5.6229777,-5.6229777
3,27,0,3,0,27,0,-5.3980589,-5.3980589,-5.3980589
4,27,0,4,0,27,0,-5.1731396,-5.1731396,-5.1731396
5,27,0,5,0,27,0,-4.9482203,-4.9482203,-4.9482203
6,27,0,6,0,27,0,-4.7233014,-4.7233014,-4.7233014
7,27,0,7,0,27,0,-4.4983821,-4.4983821,-4.4983821
8,27,0,8,0,27,0,-4.2734632,-4.2734632,-4.2734632
9,27,0,9,0,27,0,-4.0485439,-4.0485439,-4.0485439
10,27,0,10,0,27,0,-3.8236248,-3.8236248,-3.8236248
11,27,0,11,0,27,0,-3.5987058,-3.5987058,-3.5987058
12,27,0,12,0,27,0,-3.3737867,-3.3737867,-3.3737867
13,27,0,13,0,27,0,-3.1488676,-3.1488676,-3.1488676
14,27,0,14,0,27,0,-2.9239485,-2.9239485,-2.9239485
15,27,0,15,0,27,0,-2.6990294,-2.6990294,-2.6990294
16,27,0,16,0,27,0,-2.4741101,-2.4741101,-2.4741101
17,27,0,17,0,27,0,-2.249191,-2.249191,-2.249191
18,27,0,18,0,27,0,-2.024272,-2.024272,-2.024272
19,27,0,19,0,27,0,-1.7993529,-1.7993529,-1.7993529
20,27,0,20,0,27,0,-1.5744338,-1.5744338,-1.5744338
21,27,0,21,0,27,0,-1.3495147,-1.3495147,-1.3495147
22,27,0,22,0,27,0,-1.1245955,-1.1245955,-1.1245955
23,27,0,23,0,27,0,-.89967644,-.89967644,-.89967644
24,27,0,24,0,27,0,-.67475736,-.67475736,-.67475736
25,27,0,25,0,27,0,-.44983822,-.44983822,-.44983822
26,27,0,26,0,27,0,-.22491911,-.22491911,-.22491911
27,27,0,27,0,27,0,0,0,0
28,27,0,28,1,27,0,.21978424,.21978424,.21978424
29,27,0,29,8,27,0,.40875927,.40875927,.40875927
30,27,0,30,27,27,0,.53611588,.53611588,.53611588
31,27,0,31,64,27,0,.5710448,.5710448,.5710448
32,27,0,32,125,27,0,.48273692,.48273692,.48273692
33,27,0,33,216,27,0,.24038292,.24038292,.24038292
34,27,0,34,343,27,0,-.18682635,-.18682635,-.18682635
35,27,0,35,512,27,0,-.82970011,-.82970011,-.82970011
36,27,0,36,729,27,0,-1.7190477,-1.7190477,-1.7190477
37,27,0,37,1000,27,0,-2.8856781,-2.8856781,-2.8856781
38,27,0,38,1325,27,0,-4.3295913,-4.3295913,-4.3295913
39,27,0,39,1680,27,0,-5.9275508,-5.9275508,-5.9275508
40,27,0,40,2040,27,0,-7.5511847,-7.5511847,-7.5511847
41,27,0,41,2400,27,0,-9.174818,-9.174818,-9.174818
42,27,0,42,2760,27,0,-10.798452,-10.798452,-10.798452
43,27,0,43,3120,27,0,-12.422086,-12.422086,-12.422086
44,27,0,44,3480,27,0,-14.04572,-14.04572,-14.04572
45,27,0,45,3840,27,0,-15.669353,-15.669353,-15.669353
46,27,0,46,4200,27,0,-17.292988,-17.292988,-17.292988
47,27,0,47,4560,27,0,-18.916622,-18.916622,-18.916622
48,27,0,48,4920,27,0,-20.540255,-20.540255,-20.540255
49,27,0,49,5280,27,0,-22.163889,-22.163889,-22.163889
50,27,0,50,5640,27,0,-23.787523,-23.787523,-23.787523
