temp,ref,mins_worked,T_spline0,T_spline1,T_ref_spline0,T_ref_spline1,yhat,lower_ci,upper_ci
-20,27,0,-20,0,27,0,.17440356,.17440356,.17440356
-19,27,0,-19,0,27,0,.17069285,.17069285,.17069285
-18,27,0,-18,0,27,0,.16698214,.16698214,.16698214
-17,27,0,-17,0,27,0,.16327143,.16327143,.16327143
-16,27,0,-16,0,27,0,.15956071,.15956071,.15956071
-15,27,0,-15,0,27,0,.15584999,.15584999,.15584999
-14,27,0,-14,0,27,0,.15213928,.15213928,.15213928
-13,27,0,-13,0,27,0,.14842857,.14842857,.14842857
-12,27,0,-12,0,27,0,.14471786,.14471786,.14471786
-11,27,0,-11,0,27,0,.14100714,.14100714,.14100714
-10,27,0,-10,0,27,0,.13729642,.13729642,.13729642
-9,27,0,-9,0,27,0,.13358571,.13358571,.13358571
-8,27,0,-8,0,27,0,.129875,.129875,.129875
-7,27,0,-7,0,27,0,.12616429,.12616429,.12616429
-6,27,0,-6,0,27,0,.12245357,.12245357,.12245357
-5,27,0,-5,0,27,0,.11874285,.11874285,.11874285
-4,27,0,-4,0,27,0,.11503214,.11503214,.11503214
-3,27,0,-3,0,27,0,.11132143,.11132143,.11132143
-2,27,0,-2,0,27,0,.10761071,.10761071,.10761071
-1,27,0,-1,0,27,0,.1039,.1039,.1039
0,27,0,0,0,27,0,.10018928,.10018928,.10018928
1,27,0,1,0,27,0,.096478567,.096478567,.096478567
2,27,0,2,0,27,0,.092767857,.092767857,.092767857
3,27,0,3,0,27,0,.08905714,.08905714,.08905714
4,27,0,4,0,27,0,.085346423,.085346423,.085346423
5,27,0,5,0,27,0,.081635714,.081635714,.081635714
6,27,0,6,0,27,0,.077924997,.077924997,.077924997
7,27,0,7,0,27,0,.074214287,.074214287,.074214287
8,27,0,8,0,27,0,.07050357,.07050357,.07050357
9,27,0,9,0,27,0,.066792853,.066792853,.066792853
10,27,0,10,0,27,0,.063082144,.063082144,.063082144
11,27,0,11,0,27,0,.059371427,.059371427,.059371427
12,27,0,12,0,27,0,.055660713,.055660713,.055660713
13,27,0,13,0,27,0,.05195,.05195,.05195
14,27,0,14,0,27,0,.048239283,.048239283,.048239283
15,27,0,15,0,27,0,.04452857,.04452857,.04452857
16,27,0,16,0,27,0,.040817857,.040817857,.040817857
17,27,0,17,0,27,0,.037107144,.037107144,.037107144
18,27,0,18,0,27,0,.033396427,.033396427,.033396427
19,27,0,19,0,27,0,.029685713,.029685713,.029685713
20,27,0,20,0,27,0,.025975,.025975,.025975
21,27,0,21,0,27,0,.022264285,.022264285,.022264285
22,27,0,22,0,27,0,.018553572,.018553572,.018553572
23,27,0,23,0,27,0,.014842857,.014842857,.014842857
24,27,0,24,0,27,0,.011132143,.011132143,.011132143
25,27,0,25,0,27,0,.0074214283,.0074214283,.0074214283
26,27,0,26,0,27,0,.0037107142,.0037107142,.0037107142
27,27,0,27,0,27,0,0,0,0
28,27,0,28,1,27,0,-.0035267149,-.0035267149,-.0035267149
29,27,0,29,8,27,0,-.0059494344,-.0059494344,-.0059494344
30,27,0,30,27,27,0,-.0061641629,-.0061641629,-.0061641629
31,27,0,31,64,27,0,-.0030669051,-.0030669051,-.0030669051
32,27,0,32,125,27,0,.0044463347,.0044463347,.0044463347
33,27,0,33,216,27,0,.017479552,.017479552,.017479552
34,27,0,34,343,27,0,.037136741,.037136741,.037136741
35,27,0,35,512,27,0,.064521901,.064521901,.064521901
36,27,0,36,729,27,0,.10073902,.10073902,.10073902
37,27,0,37,1000,27,0,.1468921,.1468921,.1468921
38,27,0,38,1325,27,0,.20298114,.20298114,.20298114
39,27,0,39,1680,27,0,.26459017,.26459017,.26459017
40,27,0,40,2040,27,0,.32711917,.32711917,.32711917
41,27,0,41,2400,27,0,.3896482,.3896482,.3896482
42,27,0,42,2760,27,0,.4521772,.4521772,.4521772
43,27,0,43,3120,27,0,.51470619,.51470619,.51470619
44,27,0,44,3480,27,0,.57723522,.57723522,.57723522
45,27,0,45,3840,27,0,.63976425,.63976425,.63976425
46,27,0,46,4200,27,0,.70229328,.70229328,.70229328
47,27,0,47,4560,27,0,.7648223,.7648223,.7648223
48,27,0,48,4920,27,0,.82735127,.82735127,.82735127
49,27,0,49,5280,27,0,.8898803,.8898803,.8898803
50,27,0,50,5640,27,0,.95240933,.95240933,.95240933
