temp,ref,mins_worked,T_spline0,T_spline1,T_ref_spline0,T_ref_spline1,yhat,lower_ci,upper_ci
-20,27,0,-20,0,27,0,17.226854,17.226854,17.226854
-19,27,0,-19,0,27,0,16.860325,16.860325,16.860325
-18,27,0,-18,0,27,0,16.493795,16.493795,16.493795
-17,27,0,-17,0,27,0,16.127268,16.127268,16.127268
-16,27,0,-16,0,27,0,15.760738,15.760738,15.760738
-15,27,0,-15,0,27,0,15.39421,15.39421,15.39421
-14,27,0,-14,0,27,0,15.027681,15.027681,15.027681
-13,27,0,-13,0,27,0,14.661152,14.661152,14.661152
-12,27,0,-12,0,27,0,14.294623,14.294623,14.294623
-11,27,0,-11,0,27,0,13.928095,13.928095,13.928095
-10,27,0,-10,0,27,0,13.561565,13.561565,13.561565
-9,27,0,-9,0,27,0,13.195037,13.195037,13.195037
-8,27,0,-8,0,27,0,12.828508,12.828508,12.828508
-7,27,0,-7,0,27,0,12.46198,12.46198,12.46198
-6,27,0,-6,0,27,0,12.09545,12.09545,12.09545
-5,27,0,-5,0,27,0,11.728922,11.728922,11.728922
-4,27,0,-4,0,27,0,11.362393,11.362393,11.362393
-3,27,0,-3,0,27,0,10.995864,10.995864,10.995864
-2,27,0,-2,0,27,0,10.629335,10.629335,10.629335
-1,27,0,-1,0,27,0,10.262807,10.262807,10.262807
0,27,0,0,0,27,0,9.8962774,9.8962774,9.8962774
1,27,0,1,0,27,0,9.5297489,9.5297489,9.5297489
2,27,0,2,0,27,0,9.1632204,9.1632204,9.1632204
3,27,0,3,0,27,0,8.7966909,8.7966909,8.7966909
4,27,0,4,0,27,0,8.4301624,8.4301624,8.4301624
5,27,0,5,0,27,0,8.0636339,8.0636339,8.0636339
6,27,0,6,0,27,0,7.6971049,7.6971049,7.6971049
7,27,0,7,0,27,0,7.3305759,7.3305759,7.3305759
8,27,0,8,0,27,0,6.9640474,6.9640474,6.9640474
9,27,0,9,0,27,0,6.5975184,6.5975184,6.5975184
10,27,0,10,0,27,0,6.2309899,6.2309899,6.2309899
11,27,0,11,0,27,0,5.8644609,5.8644609,5.8644609
12,27,0,12,0,27,0,5.497932,5.497932,5.497932
13,27,0,13,0,27,0,5.1314034,5.1314034,5.1314034
14,27,0,14,0,27,0,4.7648745,4.7648745,4.7648745
15,27,0,15,0,27,0,4.3983455,4.3983455,4.3983455
16,27,0,16,0,27,0,4.031817,4.031817,4.031817
17,27,0,17,0,27,0,3.665288,3.665288,3.665288
18,27,0,18,0,27,0,3.2987592,3.2987592,3.2987592
19,27,0,19,0,27,0,2.9322305,2.9322305,2.9322305
20,27,0,20,0,27,0,2.5657017,2.5657017,2.5657017
21,27,0,21,0,27,0,2.1991727,2.1991727,2.1991727
22,27,0,22,0,27,0,1.832644,1.832644,1.832644
23,27,0,23,0,27,0,1.4661152,1.4661152,1.4661152
24,27,0,24,0,27,0,1.0995864,1.0995864,1.0995864
25,27,0,25,0,27,0,.73305762,.73305762,.73305762
26,27,0,26,0,27,0,.36652881,.36652881,.36652881
27,27,0,27,0,27,0,0,0,0
28,27,0,28,1,27,0,-.36168164,-.36168164,-.36168164
29,27,0,29,8,27,0,-.69428021,-.69428021,-.69428021
30,27,0,30,27,27,0,-.96871263,-.96871263,-.96871263
31,27,0,31,64,27,0,-1.1558959,-1.1558959,-1.1558959
32,27,0,32,125,27,0,-1.2267469,-1.2267469,-1.2267469
33,27,0,33,216,27,0,-1.1521826,-1.1521826,-1.1521826
34,27,0,34,343,27,0,-.90311998,-.90311998,-.90311998
35,27,0,35,512,27,0,-.4504759,-.4504759,-.4504759
36,27,0,36,729,27,0,.23483267,.23483267,.23483267
37,27,0,37,1000,27,0,1.1818888,1.1818888,1.1818888
38,27,0,38,1325,27,0,2.3906925,2.3906925,2.3906925
39,27,0,39,1680,27,0,3.7449114,3.7449114,3.7449114
40,27,0,40,2040,27,0,5.1233664,5.1233664,5.1233664
41,27,0,41,2400,27,0,6.501821,6.501821,6.501821
42,27,0,42,2760,27,0,7.8802762,7.8802762,7.8802762
43,27,0,43,3120,27,0,9.2587309,9.2587309,9.2587309
44,27,0,44,3480,27,0,10.637186,10.637186,10.637186
45,27,0,45,3840,27,0,12.01564,12.01564,12.01564
46,27,0,46,4200,27,0,13.394095,13.394095,13.394095
47,27,0,47,4560,27,0,14.772551,14.772551,14.772551
48,27,0,48,4920,27,0,16.151005,16.151005,16.151005
49,27,0,49,5280,27,0,17.529461,17.529461,17.529461
50,27,0,50,5640,27,0,18.907915,18.907915,18.907915
