temp,ref,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high
-20,27,-111.17177,95.477379,-298.30399,75.960457,-203.02292,140.7666,-478.92041,72.874557
-19.9,27,-110.93523,95.274239,-297.66931,75.798843,-202.59096,140.4671,-477.90143,72.719505
-19.799999,27,-110.69869,95.071091,-297.03461,75.637222,-202.159,140.1676,-476.88245,72.564453
-19.700001,27,-110.46216,94.86795,-296.39993,75.475609,-201.72704,139.8681,-475.86346,72.409401
-19.6,27,-110.22562,94.66481,-295.76523,75.313988,-201.29507,139.56859,-474.84448,72.254349
-19.5,27,-109.98909,94.461662,-295.13055,75.152367,-200.8631,139.26909,-473.8255,72.099297
-19.4,27,-109.75256,94.258522,-294.49585,74.990753,-200.43114,138.96959,-472.80652,71.944244
-19.299999,27,-109.51601,94.055374,-293.86118,74.829132,-199.99918,138.67007,-471.78754,71.789192
-19.200001,27,-109.27948,93.852234,-293.22647,74.667519,-199.56721,138.37057,-470.76855,71.63414
-19.1,27,-109.04295,93.649094,-292.5918,74.505898,-199.13525,138.07108,-469.74957,71.479088
-19,27,-108.80641,93.445946,-291.95709,74.344276,-198.70328,137.77158,-468.73059,71.324036
-18.9,27,-108.56987,93.242805,-291.32242,74.182663,-198.27132,137.47206,-467.71161,71.168983
-18.799999,27,-108.33334,93.039658,-290.68771,74.021042,-197.83936,137.17256,-466.69263,71.013931
-18.700001,27,-108.0968,92.836517,-290.05304,73.859428,-197.40739,136.87306,-465.67368,70.858879
-18.6,27,-107.86027,92.633377,-289.41833,73.697807,-196.97543,136.57356,-464.65469,70.703827
-18.5,27,-107.62373,92.430229,-288.78366,73.536186,-196.54347,136.27405,-463.63571,70.548775
-18.4,27,-107.38719,92.227089,-288.14896,73.374573,-196.1115,135.97455,-462.61673,70.393723
-18.299999,27,-107.15066,92.023941,-287.51428,73.212952,-195.67953,135.67505,-461.59775,70.23867
-18.200001,27,-106.91412,91.820801,-286.87958,73.051338,-195.24757,135.37555,-460.57877,70.083618
-18.1,27,-106.67759,91.617661,-286.2449,72.889717,-194.81561,135.07605,-459.55978,69.928566
-18,27,-106.44106,91.414513,-285.6102,72.728104,-194.38365,134.77654,-458.5408,69.773514
-17.9,27,-106.20451,91.211372,-284.97552,72.566483,-193.95168,134.47704,-457.52182,69.618462
-17.799999,27,-105.96798,91.008224,-284.34082,72.404861,-193.51971,134.17754,-456.50284,69.463409
-17.700001,27,-105.73145,90.805084,-283.70615,72.243248,-193.08775,133.87804,-455.48389,69.308357
-17.6,27,-105.49491,90.601944,-283.07144,72.081627,-192.65579,133.57852,-454.4649,69.153305
-17.5,27,-105.25838,90.398796,-282.43677,71.920013,-192.22383,133.27902,-453.44592,68.998253
-17.4,27,-105.02184,90.195656,-281.80206,71.758392,-191.79187,132.97952,-452.42694,68.843201
-17.299999,27,-104.7853,89.992508,-281.16739,71.596771,-191.35989,132.68001,-451.40793,68.688148
-17.200001,27,-104.54877,89.789368,-280.53268,71.435158,-190.92795,132.38051,-450.38898,68.533096
-17.1,27,-104.31223,89.586227,-279.89801,71.273537,-190.49597,132.08101,-449.37,68.378044
-17,27,-104.0757,89.38308,-279.26331,71.111923,-190.06401,131.78151,-448.35101,68.222992
-16.9,27,-103.83916,89.179932,-278.62863,70.950302,-189.63205,131.48199,-447.33203,68.06794
-16.799999,27,-103.60262,88.976791,-277.99393,70.788681,-189.20007,131.1825,-446.31305,67.912888
-16.700001,27,-103.36609,88.773651,-277.35925,70.627068,-188.76813,130.883,-445.29407,67.757835
-16.6,27,-103.12955,88.570503,-276.72455,70.465446,-188.33615,130.5835,-444.27509,67.602783
-16.5,27,-102.89302,88.367363,-276.08987,70.303833,-187.90419,130.28398,-443.2561,67.447731
-16.4,27,-102.65648,88.164215,-275.45517,70.142212,-187.47223,129.98448,-442.23712,67.292679
-16.299999,27,-102.41994,87.961075,-274.8205,69.980591,-187.04027,129.68498,-441.21814,67.137627
-16.200001,27,-102.18341,87.757935,-274.18579,69.818977,-186.60831,129.38548,-440.19919,66.982574
-16.1,27,-101.94688,87.554787,-273.55112,69.657356,-186.17635,129.08597,-439.18021,66.827522
-16,27,-101.71034,87.351646,-272.91641,69.495743,-185.74437,128.78647,-438.16122,66.67247
-15.9,27,-101.4738,87.148499,-272.28174,69.334122,-185.31241,128.48697,-437.14224,66.517418
-15.8,27,-101.23727,86.945358,-271.64703,69.172501,-184.88045,128.18747,-436.12326,66.362366
-15.7,27,-101.00073,86.742218,-271.01236,69.010887,-184.44849,127.88796,-435.10428,66.207314
-15.6,27,-100.7642,86.53907,-270.37766,68.849266,-184.01653,127.58846,-434.0853,66.052261
-15.5,27,-100.52766,86.33593,-269.74298,68.687653,-183.58455,127.28896,-433.06631,65.897209
-15.4,27,-100.29112,86.132782,-269.10828,68.526031,-183.15259,126.98945,-432.04733,65.742157
-15.3,27,-100.05459,85.929642,-268.4736,68.364418,-182.72063,126.68995,-431.02835,65.587105
-15.2,27,-99.818054,85.726501,-267.8389,68.202797,-182.28867,126.39044,-430.00937,65.432053
-15.1,27,-99.58152,85.523354,-267.20422,68.041176,-181.8567,126.09094,-428.99042,65.277
-15,27,-99.344986,85.320213,-266.56952,67.879562,-181.42474,125.79144,-427.97141,65.121948
-14.9,27,-99.108444,85.117065,-265.93484,67.717941,-180.99277,125.49193,-426.95242,64.966896
-14.8,27,-98.87191,84.913925,-265.30014,67.556328,-180.56081,125.19243,-425.93347,64.811844
-14.7,27,-98.635376,84.710785,-264.66547,67.394707,-180.12885,124.89292,-424.91449,64.656792
-14.6,27,-98.398842,84.507637,-264.03076,67.233086,-179.69688,124.59342,-423.89551,64.50174
-14.5,27,-98.162308,84.304497,-263.39609,67.071472,-179.26492,124.29391,-422.87653,64.346687
-14.4,27,-97.925766,84.101349,-262.76138,66.909851,-178.83295,123.99442,-421.85754,64.191635
-14.3,27,-97.689232,83.898209,-262.12671,66.748238,-178.40099,123.69492,-420.83856,64.036583
-14.2,27,-97.452698,83.695068,-261.492,66.586617,-177.96902,123.39541,-419.81958,63.881527
-14.1,27,-97.216164,83.49192,-260.85733,66.424995,-177.53706,123.09591,-418.8006,63.726475
-14,27,-96.97963,83.28878,-260.22263,66.263382,-177.1051,122.7964,-417.78162,63.571423
-13.9,27,-96.743088,83.085632,-259.58795,66.101761,-176.67314,122.49689,-416.76263,63.41637
-13.8,27,-96.506554,82.882492,-258.95325,65.940147,-176.24118,122.1974,-415.74365,63.261318
-13.7,27,-96.27002,82.679352,-258.31857,65.778526,-175.8092,121.89789,-414.72467,63.106266
-13.6,27,-96.033485,82.476204,-257.68387,65.616905,-175.37724,121.59839,-413.70572,62.951214
-13.5,27,-95.796951,82.273064,-257.04919,65.455292,-174.94528,121.29888,-412.68674,62.796162
-13.4,27,-95.56041,82.069916,-256.41449,65.293671,-174.51332,120.99938,-411.66776,62.641109
-13.3,27,-95.323875,81.866776,-255.77982,65.132057,-174.08136,120.69987,-410.64877,62.486057
-13.2,27,-95.087341,81.663628,-255.14511,64.970436,-173.64938,120.40038,-409.62979,62.331005
-13.1,27,-94.850807,81.460487,-254.51044,64.808815,-173.21742,120.10087,-408.61081,62.175953
-13,27,-94.614273,81.257347,-253.87573,64.647202,-172.78546,119.80137,-407.59183,62.020901
-12.9,27,-94.377731,81.054199,-253.24104,64.48558,-172.3535,119.50186,-406.57285,61.865849
-12.8,27,-94.141197,80.851059,-252.60637,64.323967,-171.92154,119.20236,-405.55386,61.710796
-12.7,27,-93.904663,80.647911,-251.97166,64.162346,-171.48958,118.90285,-404.53488,61.555744
-12.6,27,-93.668129,80.444771,-251.33699,64.000725,-171.05762,118.60336,-403.5159,61.400692
-12.5,27,-93.431595,80.241631,-250.70229,63.839111,-170.62564,118.30385,-402.49692,61.24564
-12.4,27,-93.195053,80.038483,-250.0676,63.67749,-170.19368,118.00435,-401.47794,61.090588
-12.3,27,-92.958519,79.835342,-249.43292,63.515873,-169.76172,117.70484,-400.45898,60.935535
-12.2,27,-92.721985,79.632195,-248.79822,63.354256,-169.32976,117.40534,-399.44,60.780483
-12.1,27,-92.485451,79.429054,-248.16354,63.192638,-168.8978,117.10583,-398.42102,60.625431
-12,27,-92.248917,79.225914,-247.52884,63.031021,-168.46582,116.80634,-397.40204,60.470379
-11.9,27,-92.012375,79.022766,-246.89415,62.8694,-168.03386,116.50683,-396.38306,60.315327
-11.8,27,-91.775841,78.819626,-246.25948,62.707783,-167.6019,116.20733,-395.36407,60.160275
-11.7,27,-91.539307,78.616478,-245.62477,62.546165,-167.16994,115.90782,-394.34509,60.005222
-11.6,27,-91.302773,78.413338,-244.9901,62.384548,-166.73798,115.60832,-393.32611,59.85017
-11.5,27,-91.066238,78.210197,-244.35539,62.222931,-166.30602,115.30882,-392.30713,59.695118
