temp,ref,yhat_low_gdp,se_low_gdp,lowerci_low_gdp,upperci_low_gdp,yhat_ag_gdp,se_ag_gdp,lowerci_ag_gdp,upperci_ag_gdp,yhat_nonag_gdp,se_nonag_gdp,lowerci_nonag_gdp,upperci_nonag_gdp,yhat_low_lrt,se_low_lrt,lowerci_low_lrt,upperci_low_lrt,yhat_ag_lrt,se_ag_lrt,lowerci_ag_lrt,upperci_ag_lrt,yhat_nonag_lrt,se_nonag_lrt,lowerci_nonag_lrt,upperci_nonag_lrt
-20,27,9.5603447,0,9.5603447,9.5603447,-28.038176,0,-28.038176,-28.038176,15.197401,0,15.197401,15.197401,-1.7057507,0,-1.7057507,-1.7057507,-5.9802384,0,-5.9802384,-5.9802384,-.49897397,0,-.49897397,-.49897397
-19.9,27,9.5400038,0,9.5400038,9.5400038,-27.978519,0,-27.978519,-27.978519,15.165067,0,15.165067,15.165067,-1.7021215,0,-1.7021215,-1.7021215,-5.967514,0,-5.967514,-5.967514,-.49791232,0,-.49791232,-.49791232
-19.8,27,9.5196629,0,9.5196629,9.5196629,-27.918863,0,-27.918863,-27.918863,15.132731,0,15.132731,15.132731,-1.6984922,0,-1.6984922,-1.6984922,-5.9547901,0,-5.9547901,-5.9547901,-.49685067,0,-.49685067,-.49685067
-19.7,27,9.4993219,0,9.4993219,9.4993219,-27.859209,0,-27.859209,-27.859209,15.100397,0,15.100397,15.100397,-1.694863,0,-1.694863,-1.694863,-5.9420667,0,-5.9420667,-5.9420667,-.49578902,0,-.49578902,-.49578902
-19.6,27,9.478981,0,9.478981,9.478981,-27.799553,0,-27.799553,-27.799553,15.068062,0,15.068062,15.068062,-1.6912338,0,-1.6912338,-1.6912338,-5.9293427,0,-5.9293427,-5.9293427,-.49472737,0,-.49472737,-.49472737
-19.5,27,9.4586391,0,9.4586391,9.4586391,-27.739897,0,-27.739897,-27.739897,15.035727,0,15.035727,15.035727,-1.6876044,0,-1.6876044,-1.6876044,-5.9166188,0,-5.9166188,-5.9166188,-.49366572,0,-.49366572,-.49366572
-19.4,27,9.4382982,0,9.4382982,9.4382982,-27.680241,0,-27.680241,-27.680241,15.003392,0,15.003392,15.003392,-1.6839752,0,-1.6839752,-1.6839752,-5.9038949,0,-5.9038949,-5.9038949,-.49260408,0,-.49260408,-.49260408
-19.3,27,9.4179573,0,9.4179573,9.4179573,-27.620584,0,-27.620584,-27.620584,14.971057,0,14.971057,14.971057,-1.6803459,0,-1.6803459,-1.6803459,-5.891171,0,-5.891171,-5.891171,-.49154243,0,-.49154243,-.49154243
-19.2,27,9.3976164,0,9.3976164,9.3976164,-27.56093,0,-27.56093,-27.56093,14.938723,0,14.938723,14.938723,-1.6767167,0,-1.6767167,-1.6767167,-5.8784471,0,-5.8784471,-5.8784471,-.49048081,0,-.49048081,-.49048081
-19.1,27,9.3772745,0,9.3772745,9.3772745,-27.501274,0,-27.501274,-27.501274,14.906387,0,14.906387,14.906387,-1.6730875,0,-1.6730875,-1.6730875,-5.8657231,0,-5.8657231,-5.8657231,-.48941916,0,-.48941916,-.48941916
-19,27,9.3569336,0,9.3569336,9.3569336,-27.441618,0,-27.441618,-27.441618,14.874052,0,14.874052,14.874052,-1.6694582,0,-1.6694582,-1.6694582,-5.8529992,0,-5.8529992,-5.8529992,-.48835751,0,-.48835751,-.48835751
-18.9,27,9.3365927,0,9.3365927,9.3365927,-27.381962,0,-27.381962,-27.381962,14.841718,0,14.841718,14.841718,-1.6658289,0,-1.6658289,-1.6658289,-5.8402753,0,-5.8402753,-5.8402753,-.48729584,0,-.48729584,-.48729584
-18.8,27,9.3162508,0,9.3162508,9.3162508,-27.322306,0,-27.322306,-27.322306,14.809382,0,14.809382,14.809382,-1.6621996,0,-1.6621996,-1.6621996,-5.8275514,0,-5.8275514,-5.8275514,-.48623419,0,-.48623419,-.48623419
-18.7,27,9.2959099,0,9.2959099,9.2959099,-27.262651,0,-27.262651,-27.262651,14.777048,0,14.777048,14.777048,-1.6585704,0,-1.6585704,-1.6585704,-5.8148274,0,-5.8148274,-5.8148274,-.48517257,0,-.48517257,-.48517257
-18.6,27,9.275569,0,9.275569,9.275569,-27.202995,0,-27.202995,-27.202995,14.744713,0,14.744713,14.744713,-1.6549412,0,-1.6549412,-1.6549412,-5.8021035,0,-5.8021035,-5.8021035,-.48411092,0,-.48411092,-.48411092
-18.5,27,9.255228,0,9.255228,9.255228,-27.143339,0,-27.143339,-27.143339,14.712378,0,14.712378,14.712378,-1.6513119,0,-1.6513119,-1.6513119,-5.7893796,0,-5.7893796,-5.7893796,-.48304927,0,-.48304927,-.48304927
-18.4,27,9.2348862,0,9.2348862,9.2348862,-27.083685,0,-27.083685,-27.083685,14.680043,0,14.680043,14.680043,-1.6476827,0,-1.6476827,-1.6476827,-5.7766557,0,-5.7766557,-5.7766557,-.48198763,0,-.48198763,-.48198763
-18.3,27,9.2145452,0,9.2145452,9.2145452,-27.024029,0,-27.024029,-27.024029,14.647708,0,14.647708,14.647708,-1.6440533,0,-1.6440533,-1.6440533,-5.7639318,0,-5.7639318,-5.7639318,-.48092598,0,-.48092598,-.48092598
-18.2,27,9.1942043,0,9.1942043,9.1942043,-26.964373,0,-26.964373,-26.964373,14.615374,0,14.615374,14.615374,-1.6404241,0,-1.6404241,-1.6404241,-5.7512078,0,-5.7512078,-5.7512078,-.47986433,0,-.47986433,-.47986433
-18.1,27,9.1738634,0,9.1738634,9.1738634,-26.904716,0,-26.904716,-26.904716,14.583038,0,14.583038,14.583038,-1.6367949,0,-1.6367949,-1.6367949,-5.7384839,0,-5.7384839,-5.7384839,-.47880268,0,-.47880268,-.47880268
-18,27,9.1535215,0,9.1535215,9.1535215,-26.845062,0,-26.845062,-26.845062,14.550703,0,14.550703,14.550703,-1.6331656,0,-1.6331656,-1.6331656,-5.72576,0,-5.72576,-5.72576,-.47774103,0,-.47774103,-.47774103
-17.9,27,9.1331806,0,9.1331806,9.1331806,-26.785406,0,-26.785406,-26.785406,14.518369,0,14.518369,14.518369,-1.6295364,0,-1.6295364,-1.6295364,-5.7130361,0,-5.7130361,-5.7130361,-.47667938,0,-.47667938,-.47667938
