temp,ref,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high
-20,27,-61.562092,94.607353,-246.98909,123.86491,313.58215,944.42291,-1537.4528,2164.6172
-19.9,27,-61.431107,94.406059,-246.46358,123.60137,312.91495,942.41351,-1534.1816,2160.0115
-19.8,27,-61.300125,94.204765,-245.93806,123.33782,312.24777,940.40411,-1530.9104,2155.406
-19.7,27,-61.169144,94.003479,-245.41257,123.07429,311.58057,938.39471,-1527.6393,2150.8005
-19.6,27,-61.038158,93.802185,-244.88705,122.81075,310.91336,936.38531,-1524.368,2146.1948
-19.5,27,-60.907177,93.600891,-244.36156,122.5472,310.24619,934.37585,-1521.0969,2141.5894
-19.4,27,-60.776192,93.399597,-243.83604,122.28365,309.57898,932.36646,-1517.8257,2136.9836
-19.3,27,-60.645206,93.198303,-243.31053,122.02011,308.91177,930.35706,-1514.5546,2132.3782
-19.2,27,-60.514225,92.997017,-242.78503,121.75658,308.2446,928.34766,-1511.2834,2127.7727
-19.1,27,-60.383244,92.795723,-242.25952,121.49303,307.57739,926.33826,-1508.0122,2123.167
-19,27,-60.252258,92.594429,-241.73401,121.22948,306.91019,924.32886,-1504.741,2118.5615
-18.9,27,-60.121277,92.393135,-241.2085,120.96594,306.24301,922.3194,-1501.4698,2113.9558
-18.8,27,-59.990292,92.191841,-240.68298,120.7024,305.57581,920.31,-1498.1986,2109.3503
-18.7,27,-59.85931,91.990555,-240.15749,120.43887,304.9086,918.3006,-1494.9275,2104.7446
-18.6,27,-59.728329,91.789261,-239.63197,120.17532,304.24142,916.2912,-1491.6564,2100.1392
-18.5,27,-59.597343,91.587967,-239.10646,119.91177,303.57422,914.2818,-1488.3851,2095.5337
-18.4,27,-59.466358,91.386673,-238.58095,119.64823,302.90701,912.27234,-1485.1139,2090.928
-18.3,27,-59.335377,91.185379,-238.05544,119.38469,302.23981,910.26294,-1481.8428,2086.3225
-18.2,27,-59.204395,90.984093,-237.52994,119.12115,301.57263,908.25354,-1478.5717,2081.7168
-18.1,27,-59.07341,90.782799,-237.00443,118.8576,300.90543,906.24414,-1475.3004,2077.1113
-18,27,-58.942429,90.581505,-236.47891,118.59406,300.23822,904.23474,-1472.0293,2072.5056
-17.9,27,-58.811443,90.380211,-235.95341,118.33052,299.57104,902.22528,-1468.7581,2067.9001
-17.8,27,-58.680462,90.178925,-235.4279,118.06698,298.90384,900.21588,-1465.4869,2063.2947
-17.7,27,-58.54948,89.977631,-234.90239,117.80344,298.23666,898.20648,-1462.2157,2058.689
-17.6,27,-58.418495,89.776337,-234.37689,117.53989,297.56946,896.19708,-1458.9446,2054.0835
-17.5,27,-58.28751,89.575043,-233.85138,117.27635,296.90225,894.18768,-1455.6733,2049.4778
-17.4,27,-58.156528,89.373756,-233.32587,117.01281,296.23505,892.17828,-1452.4022,2044.8723
-17.3,27,-58.025543,89.172462,-232.80035,116.74927,295.56787,890.16882,-1449.131,2040.2667
-17.2,27,-57.894562,88.971169,-232.27486,116.48573,294.90067,888.15948,-1445.8599,2035.6613
-17.1,27,-57.76358,88.769875,-231.74934,116.22218,294.23346,886.15002,-1442.5887,2031.0557
-17,27,-57.632595,88.568588,-231.22383,115.95864,293.56628,884.14063,-1439.3175,2026.4501
-16.9,27,-57.501614,88.367294,-230.69832,115.6951,292.89908,882.13123,-1436.0463,2021.8445
-16.8,27,-57.370628,88.166,-230.17281,115.43156,292.23187,880.12177,-1432.7751,2017.2389
-16.7,27,-57.239647,87.964706,-229.64731,115.16801,291.5647,878.11243,-1429.504,2012.6334
-16.6,27,-57.108665,87.76342,-229.1218,114.90447,290.89749,876.10297,-1426.2328,2008.0278
-16.5,27,-56.97768,87.562126,-228.59628,114.64093,290.23029,874.09357,-1422.9617,2003.4222
-16.4,27,-56.846695,87.360832,-228.07077,114.37739,289.56311,872.08417,-1419.6904,1998.8167
-16.3,27,-56.715714,87.159538,-227.54527,114.11384,288.8959,870.07471,-1416.4192,1994.2111
-16.2,27,-56.584732,86.958252,-227.01976,113.8503,288.2287,868.06537,-1413.1481,1989.6056
-16.1,27,-56.453747,86.756958,-226.49426,113.58676,287.56152,866.05591,-1409.877,1985
-16,27,-56.322765,86.555664,-225.96875,113.32322,286.89432,864.04651,-1406.6057,1980.3944
-15.9,27,-56.19178,86.35437,-225.44324,113.05968,286.22711,862.03711,-1403.3346,1975.7888
-15.8,27,-56.060799,86.153076,-224.91772,112.79613,285.55994,860.02771,-1400.0634,1971.1832
-15.7,27,-55.929813,85.951782,-224.39221,112.53259,284.89273,858.01831,-1396.7922,1966.5776
-15.6,27,-55.798832,85.750496,-223.86671,112.26905,284.22552,856.00891,-1393.521,1961.9722
-15.5,27,-55.667847,85.549202,-223.3412,112.00551,283.55832,853.99945,-1390.2499,1957.3666
-15.4,27,-55.536865,85.347908,-222.81569,111.74196,282.89114,851.99005,-1386.9786,1952.761
-15.3,27,-55.405884,85.146614,-222.29019,111.47842,282.22394,849.98065,-1383.7075,1948.1554
-15.2,27,-55.274899,84.945328,-221.76468,111.21487,281.55673,847.97125,-1380.4363,1943.5498
-15.1,27,-55.143917,84.744034,-221.23917,110.95134,280.88956,845.96185,-1377.1652,1938.9442
-15,27,-55.012932,84.54274,-220.71365,110.68779,280.22235,843.95239,-1373.8939,1934.3386
-14.9,27,-54.88195,84.341446,-220.18814,110.42425,279.55515,841.94299,-1370.6228,1929.7332
-14.8,27,-54.750965,84.14016,-219.66264,110.16071,278.88797,839.93359,-1367.3517,1925.1276
-14.7,27,-54.619984,83.938866,-219.13713,109.89716,278.22076,837.92419,-1364.0804,1920.522
-14.6,27,-54.488998,83.737572,-218.61162,109.63362,277.55356,835.91479,-1360.8093,1915.9164
-14.5,27,-54.358017,83.536278,-218.08612,109.37008,276.88638,833.90533,-1357.5381,1911.3108
-14.4,27,-54.227032,83.334984,-217.56061,109.10654,276.21918,831.89594,-1354.267,1906.7052
-14.3,27,-54.09605,83.133698,-217.0351,108.84299,275.55197,829.88654,-1350.9957,1902.0997
-14.2,27,-53.965065,82.932404,-216.50958,108.57945,274.8848,827.87714,-1347.7246,1897.4941
-14.1,27,-53.834084,82.73111,-215.98409,108.31591,274.21759,825.86774,-1344.4534,1892.8885
-14,27,-53.703102,82.529816,-215.45857,108.05237,273.55038,823.85828,-1341.1823,1888.283
-13.9,27,-53.572117,82.328522,-214.93306,107.78883,272.88318,821.84888,-1337.911,1883.6774
-13.8,27,-53.441135,82.127235,-214.40755,107.52528,272.216,819.83948,-1334.6399,1879.0719
-13.7,27,-53.31015,81.925941,-213.88205,107.26174,271.5488,817.83008,-1331.3687,1874.4663
-13.6,27,-53.179169,81.724648,-213.35654,106.9982,270.88162,815.82068,-1328.0975,1869.8607
-13.5,27,-53.048183,81.523354,-212.83102,106.73466,270.21442,813.81128,-1324.8263,1865.2551
-13.4,27,-52.917202,81.32206,-212.30551,106.47112,269.54721,811.80182,-1321.5552,1860.6495
-13.3,27,-52.786221,81.120773,-211.78001,106.20757,268.88004,809.79242,-1318.2839,1856.0441
-13.2,27,-52.655235,80.919479,-211.2545,105.94403,268.21283,807.78302,-1315.0128,1851.4385
