temp,ref,yhat_low,se_low,lowerci_low,upperci_low,yhat_hr_ag,se_hr_ag,lowerci_hr_ag,upperci_hr_ag,yhat_hr_noag,se_hr_noag,lowerci_hr_noag,upperci_hr_noag
-20,27,-83.179176,93.12899,-265.70865,99.350288,-455.46426,142.54237,-734.84216,-176.08633,-245.42848,139.19493,-518.24554,27.388569
-19.9,27,-83.002197,92.93084,-265.14331,99.138901,-454.49518,142.23909,-733.27869,-175.71169,-244.9063,138.89877,-517.14288,27.330296
-19.8,27,-82.825226,92.732697,-264.57797,98.927521,-453.52609,141.93581,-731.71515,-175.33704,-244.38411,138.60262,-516.04022,27.27202
-19.7,27,-82.648247,92.534554,-264.01263,98.716141,-452.55704,141.63252,-730.15167,-174.96239,-243.86192,138.30646,-514.93762,27.213749
-19.6,27,-82.471268,92.336403,-263.4473,98.504753,-451.58795,141.32924,-728.5882,-174.58774,-243.33974,138.0103,-513.83496,27.155474
-19.5,27,-82.294296,92.138252,-262.88196,98.293373,-450.6189,141.02596,-727.02472,-174.21309,-242.81754,137.71413,-512.7323,27.0972
-19.4,27,-82.117317,91.940109,-262.31662,98.081985,-449.64981,140.72267,-725.46118,-173.83842,-242.29535,137.41797,-511.62964,27.038927
-19.3,27,-81.940338,91.741959,-261.75128,97.870598,-448.68073,140.4194,-723.89771,-173.46378,-241.77316,137.12181,-510.52698,26.980654
-19.2,27,-81.763367,91.543816,-261.18594,97.659218,-447.71167,140.11612,-722.33423,-173.08913,-241.25098,136.82565,-509.42435,26.92238
-19.1,27,-81.586388,91.345673,-260.62061,97.447838,-446.74258,139.81284,-720.77075,-172.71448,-240.72879,136.5295,-508.32169,26.864107
-19,27,-81.409409,91.147522,-260.05527,97.23645,-445.77353,139.50955,-719.20721,-172.33983,-240.2066,136.23334,-507.21902,26.805834
-18.9,27,-81.23243,90.949371,-259.48993,97.02507,-444.80444,139.20627,-717.64374,-171.96516,-239.68442,135.93718,-506.11639,26.747559
-18.8,27,-81.05545,90.751228,-258.92459,96.813683,-443.83536,138.90298,-716.0802,-171.59052,-239.16222,135.64102,-505.01373,26.689285
-18.7,27,-80.878479,90.553085,-258.35925,96.602303,-442.8663,138.59972,-714.51672,-171.21587,-238.64005,135.34486,-503.9111,26.631012
-18.6,27,-80.7015,90.354935,-257.79391,96.390915,-441.89725,138.29643,-712.95325,-170.84122,-238.11784,135.04871,-502.80844,26.572739
-18.5,27,-80.524521,90.156784,-257.22858,96.179535,-440.92816,137.99315,-711.38977,-170.46657,-237.59566,134.75253,-501.70578,26.514465
-18.4,27,-80.347542,89.958641,-256.66324,95.968147,-439.95908,137.68987,-709.82623,-170.0919,-237.07347,134.45638,-500.60312,26.456192
-18.3,27,-80.17057,89.76049,-256.0979,95.756767,-438.98999,137.38658,-708.26276,-169.71725,-236.55128,134.16022,-499.50049,26.397917
-18.2,27,-79.993591,89.562347,-255.53258,95.545387,-438.02094,137.0833,-706.69928,-169.34261,-236.0291,133.86406,-498.39783,26.339645
-18.1,27,-79.816612,89.364204,-254.96724,95.334,-437.05188,136.78001,-705.1358,-168.96796,-235.50691,133.5679,-497.2952,26.281372
-18,27,-79.639641,89.166054,-254.40189,95.122612,-436.08279,136.47673,-703.57227,-168.59331,-234.98471,133.27174,-496.19254,26.223097
-17.9,27,-79.462662,88.967903,-253.83655,94.911232,-435.11371,136.17345,-702.00879,-168.21866,-234.46252,132.97559,-495.08987,26.164824
-17.8,27,-79.285683,88.76976,-253.27121,94.699844,-434.14465,135.87018,-700.44531,-167.84399,-233.94034,132.67943,-493.98721,26.10655
-17.7,27,-79.108711,88.571617,-252.70589,94.488464,-433.17557,135.56689,-698.88184,-167.46935,-233.41815,132.38327,-492.88458,26.048277
-17.6,27,-78.931732,88.373466,-252.14055,94.277084,-432.20651,135.26361,-697.3183,-167.0947,-232.89597,132.08711,-491.78195,25.990004
-17.5,27,-78.754753,88.175323,-251.57521,94.065697,-431.23743,134.96033,-695.75482,-166.72005,-232.37378,131.79094,-490.67929,25.93173
-17.4,27,-78.577774,87.977173,-251.00987,93.854317,-430.26834,134.65704,-694.19128,-166.3454,-231.85159,131.49478,-489.57663,25.873455
-17.3,27,-78.400795,87.779022,-250.44452,93.642929,-429.29929,134.35376,-692.62781,-165.97073,-231.32939,131.19862,-488.47397,25.815182
-17.2,27,-78.223824,87.580879,-249.8792,93.431549,-428.33023,134.05049,-691.06433,-165.5961,-230.80722,130.90247,-487.37134,25.75691
-17.1,27,-78.046844,87.382736,-249.31386,93.220161,-427.36115,133.74721,-689.50085,-165.22144,-230.28502,130.60631,-486.26868,25.698635
-17,27,-77.869865,87.184586,-248.74852,93.008781,-426.39206,133.44392,-687.93732,-164.84679,-229.76283,130.31015,-485.16605,25.640362
-16.9,27,-77.692894,86.986435,-248.18318,92.797394,-425.42297,133.14064,-686.37384,-164.47214,-229.24065,130.01399,-484.06339,25.582088
-16.8,27,-77.515915,86.788292,-247.61784,92.586014,-424.45392,132.83736,-684.81036,-164.09747,-228.71846,129.71783,-482.96072,25.523815
-16.7,27,-77.338936,86.590149,-247.05251,92.374634,-423.48486,132.53407,-683.24689,-163.72284,-228.19627,129.42168,-481.85809,25.465542
-16.6,27,-77.161964,86.391998,-246.48717,92.163246,-422.51578,132.23079,-681.68335,-163.34818,-227.67409,129.12552,-480.75543,25.407269
-16.5,27,-76.984985,86.193855,-245.92183,91.951859,-421.54669,131.92751,-680.11987,-162.97353,-227.1519,128.82935,-479.65277,25.348993
-16.4,27,-76.808006,85.995705,-245.35649,91.740479,-420.57764,131.62424,-678.5564,-162.59888,-226.6297,128.53319,-478.55014,25.29072
-16.3,27,-76.631027,85.797554,-244.79115,91.529091,-419.60855,131.32095,-676.99286,-162.22423,-226.10751,128.23703,-477.44748,25.232447
