temp,ref,yhat_low,se_low,lowerci_low,upperci_low,yhat_high_noag,se_high,lowerci_high,upperci_high
-20,27,-88.091614,109.93726,-303.5647,127.38146,-71.952278,137.68959,-341.81891,197.91435
-19.9,27,-87.90419,109.70335,-302.91882,127.11044,-71.799194,137.39664,-341.09164,197.49326
-19.8,27,-87.716759,109.46944,-302.27292,126.83941,-71.646103,137.10367,-340.36435,197.07216
-19.7,27,-87.529327,109.23553,-301.62704,126.56839,-71.493011,136.81071,-339.63708,196.65108
-19.6,27,-87.341904,109.00163,-300.98117,126.29736,-71.33992,136.51776,-338.90982,196.22998
-19.5,27,-87.154472,108.76772,-300.3353,126.02634,-71.186829,136.22481,-338.18256,195.80888
-19.4,27,-86.967041,108.53381,-299.68939,125.75532,-71.033745,135.93185,-337.45526,195.38779
-19.3,27,-86.77961,108.2999,-299.04352,125.48429,-70.880653,135.63889,-336.728,194.96669
-19.2,27,-86.592186,108.06599,-298.39764,125.21327,-70.727562,135.34593,-336.00073,194.54559
-19.1,27,-86.404755,107.83208,-297.75177,124.94225,-70.574471,135.05298,-335.27344,194.12451
-19,27,-86.217323,107.59818,-297.10587,124.67122,-70.421379,134.76003,-334.54617,193.70341
-18.9,27,-86.0299,107.36427,-296.45999,124.40019,-70.268288,134.46707,-333.81891,193.28232
-18.8,27,-85.842468,107.13036,-295.81409,124.12917,-70.115204,134.1741,-333.09161,192.86122
-18.7,27,-85.655045,106.89645,-295.16824,123.85815,-69.962112,133.88115,-332.36435,192.44012
-18.6,27,-85.467613,106.66254,-294.52234,123.58712,-69.809021,133.5882,-331.63708,192.01903
-18.5,27,-85.280182,106.42863,-293.87646,123.31609,-69.65593,133.29524,-330.90979,191.59793
-18.4,27,-85.092751,106.19472,-293.23056,123.04507,-69.502838,133.00229,-330.18253,191.17683
-18.3,27,-84.905319,105.96081,-292.58469,122.77405,-69.349754,132.70932,-329.45526,190.75575
-18.2,27,-84.717896,105.72691,-291.93881,122.50302,-69.196663,132.41637,-328.728,190.33466
