temp,ref,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high
-20,27,6.6096859,10.6054,-14.176516,27.395887,-1.5692129,14.631269,-30.245972,27.107546
-19.9,27,6.5956225,10.582835,-14.146353,27.337599,-1.5658741,14.600138,-30.181618,27.04987
-19.799999,27,6.5815592,10.56027,-14.11619,27.279308,-1.5625354,14.569007,-30.117266,26.992195
-19.700001,27,6.5674963,10.537706,-14.086028,27.22102,-1.5591966,14.537877,-30.052914,26.934519
-19.6,27,6.5534329,10.515141,-14.055865,27.162731,-1.5558579,14.506747,-29.98856,26.876844
-19.5,27,6.5393701,10.492577,-14.025702,27.104443,-1.5525191,14.475616,-29.924206,26.819168
-19.4,27,6.5253067,10.470012,-13.995539,27.046152,-1.5491804,14.444486,-29.859852,26.761492
-19.299999,27,6.5112433,10.447447,-13.965376,26.987864,-1.5458416,14.413356,-29.7955,26.703815
-19.200001,27,6.4971805,10.424883,-13.935214,26.929575,-1.5425029,14.382226,-29.731148,26.646141
-19.1,27,6.4831171,10.402318,-13.905051,26.871286,-1.5391642,14.351095,-29.666794,26.588465
-19,27,6.4690542,10.379753,-13.874888,26.812996,-1.5358254,14.319964,-29.60244,26.53079
-18.9,27,6.4549909,10.357188,-13.844725,26.754707,-1.5324866,14.288835,-29.538088,26.473114
-18.799999,27,6.4409275,10.334623,-13.814562,26.696417,-1.5291479,14.257704,-29.473734,26.415438
-18.700001,27,6.4268646,10.312059,-13.7844,26.638128,-1.5258092,14.226574,-29.409382,26.357763
-18.6,27,6.4128013,10.289495,-13.754237,26.57984,-1.5224704,14.195443,-29.345028,26.300087
-18.5,27,6.3987384,10.26693,-13.724074,26.521551,-1.5191317,14.164313,-29.280674,26.242411
-18.4,27,6.384675,10.244365,-13.693911,26.463261,-1.5157928,14.133183,-29.216322,26.184736
-18.299999,27,6.3706117,10.2218,-13.663748,26.404972,-1.512454,14.102052,-29.151968,26.12706
-18.200001,27,6.3565488,10.199236,-13.633586,26.346684,-1.5091153,14.070922,-29.087616,26.069386
-18.1,27,6.3424859,10.176671,-13.603423,26.288395,-1.5057766,14.039792,-29.023262,26.011709
-18,27,6.3284225,10.154106,-13.57326,26.230104,-1.5024378,14.008661,-28.95891,25.954033
-17.9,27,6.3143592,10.131541,-13.543097,26.171816,-1.4990991,13.97753,-28.894556,25.896358
-17.799999,27,6.3002958,10.108976,-13.512934,26.113525,-1.4957603,13.946401,-28.830202,25.838682
-17.700001,27,6.2862329,10.086412,-13.482772,26.055239,-1.4924216,13.91527,-28.76585,25.781008
-17.6,27,6.2721701,10.063848,-13.452609,25.996948,-1.4890828,13.88414,-28.701496,25.723331
-17.5,27,6.2581067,10.041283,-13.422446,25.93866,-1.4857441,13.853009,-28.637144,25.665655
-17.4,27,6.2440434,10.018718,-13.392283,25.880369,-1.4824053,13.821878,-28.57279,25.607979
-17.299999,27,6.2299805,9.9961529,-13.36212,25.822081,-1.4790666,13.790749,-28.508436,25.550304
-17.200001,27,6.2159171,9.9735889,-13.331958,25.763792,-1.4757279,13.759619,-28.444084,25.492628
-17.1,27,6.2018542,9.9510241,-13.301795,25.705503,-1.4723891,13.728488,-28.379732,25.434954
-17,27,6.1877909,9.9284592,-13.271632,25.647213,-1.4690504,13.697357,-28.315378,25.377277
-16.9,27,6.1737275,9.9058943,-13.241469,25.588924,-1.4657116,13.666227,-28.251024,25.319601
-16.799999,27,6.1596646,9.8833294,-13.211307,25.530636,-1.4623728,13.635097,-28.18667,25.261925
-16.700001,27,6.1456013,9.8607655,-13.181144,25.472347,-1.4590341,13.603967,-28.122318,25.20425
-16.6,27,6.1315384,9.8382006,-13.150981,25.414057,-1.4556954,13.572836,-28.057966,25.146574
-16.5,27,6.117475,9.8156357,-13.120818,25.355768,-1.4523566,13.541706,-27.993612,25.0889
-16.4,27,6.1034117,9.7930708,-13.090655,25.29748,-1.4490179,13.510575,-27.929258,25.031223
-16.299999,27,6.0893488,9.7705069,-13.060493,25.239189,-1.4456791,13.479445,-27.864906,24.973547
-16.200001,27,6.0752859,9.747942,-13.03033,25.180901,-1.4423404,13.448315,-27.800552,24.915873
-16.1,27,6.0612226,9.7253771,-13.000167,25.122612,-1.4390016,13.417185,-27.7362,24.858196
-16,27,6.0471592,9.7028122,-12.970004,25.064323,-1.4356629,13.386054,-27.671846,24.80052
-15.9,27,6.0330958,9.6802483,-12.939841,25.006033,-1.4323241,13.354923,-27.607492,24.742846
-15.8,27,6.019033,9.6576834,-12.909678,24.947744,-1.4289854,13.323793,-27.54314,24.685169
-15.7,27,6.0049696,9.6351185,-12.879516,24.889456,-1.4256465,13.292663,-27.478786,24.627493
-15.6,27,5.9909067,9.6125536,-12.849353,24.831165,-1.4223078,13.261533,-27.414434,24.569818
-15.5,27,5.9768434,9.5899897,-12.81919,24.772877,-1.418969,13.230402,-27.35008,24.512142
-15.4,27,5.9627805,9.5674248,-12.789027,24.714588,-1.4156303,13.199272,-27.285727,24.454468
-15.3,27,5.9487171,9.5448599,-12.758864,24.6563,-1.4122916,13.168141,-27.221375,24.396791
-15.2,27,5.9346538,9.522295,-12.728702,24.598009,-1.4089528,13.137011,-27.157021,24.339115
-15.1,27,5.9205909,9.4997301,-12.698539,24.539721,-1.4056141,13.105881,-27.092669,24.281441
-15,27,5.9065275,9.4771662,-12.668376,24.481432,-1.4022753,13.07475,-27.028315,24.223764
-14.9,27,5.8924646,9.4546013,-12.638213,24.423141,-1.3989366,13.04362,-26.963963,24.166088
-14.8,27,5.8784013,9.4320364,-12.60805,24.364853,-1.3955978,13.012489,-26.899609,24.108414
-14.7,27,5.8643379,9.4094715,-12.577888,24.306564,-1.3922591,12.981359,-26.835257,24.050737
-14.6,27,5.850275,9.3869076,-12.547725,24.248276,-1.3889203,12.950229,-26.770903,23.993063
-14.5,27,5.8362117,9.3643427,-12.517562,24.189985,-1.3855816,12.919099,-26.706549,23.935387
-14.4,27,5.8221488,9.3417778,-12.487399,24.131697,-1.3822428,12.887968,-26.642197,23.87771
-14.3,27,5.8080854,9.3192129,-12.457236,24.073408,-1.3789041,12.856838,-26.577843,23.820036
-14.2,27,5.7940226,9.296648,-12.427073,24.015118,-1.3755653,12.825707,-26.513491,23.76236
-14.1,27,5.7799592,9.2740841,-12.396911,23.956829,-1.3722266,12.794578,-26.449137,23.704683
-14,27,5.7658958,9.2515192,-12.366748,23.89854,-1.3688878,12.763447,-26.384785,23.647009
-13.9,27,5.751833,9.2289543,-12.336585,23.84025,-1.3655491,12.732316,-26.320431,23.589333
-13.8,27,5.7377696,9.2063894,-12.306422,23.781961,-1.3622104,12.701186,-26.256077,23.531656
-13.7,27,5.7237067,9.1838245,-12.276259,23.723673,-1.3588716,12.670055,-26.191725,23.473982
-13.6,27,5.7096434,9.1612606,-12.246097,23.665384,-1.3555329,12.638926,-26.127371,23.416306
-13.5,27,5.69558,9.1386957,-12.215934,23.607094,-1.3521941,12.607795,-26.063019,23.358629
-13.4,27,5.6815171,9.1161308,-12.185771,23.548805,-1.3488553,12.576665,-25.998665,23.300955
-13.3,27,5.6674538,9.0935659,-12.155608,23.490517,-1.3455166,12.545534,-25.934313,23.243279
-13.2,27,5.6533909,9.0710011,-12.125445,23.432226,-1.3421779,12.514404,-25.869959,23.185602
-13.1,27,5.6393275,9.0484371,-12.095283,23.373938,-1.3388391,12.483274,-25.805607,23.127928
-13,27,5.6252646,9.0258722,-12.06512,23.315649,-1.3355004,12.452144,-25.741253,23.070251
-12.9,27,5.6112013,9.0033073,-12.034957,23.257359,-1.3321615,12.421013,-25.676899,23.012575
-12.8,27,5.5971379,8.9807425,-12.004794,23.19907,-1.3288229,12.389883,-25.612547,22.954901
-12.7,27,5.583075,8.9581785,-11.974631,23.140781,-1.325484,12.358752,-25.548193,22.897224
-12.6,27,5.5690117,8.9356136,-11.944468,23.082493,-1.3221453,12.327621,-25.483841,22.83955
-12.5,27,5.5549488,8.9130487,-11.914306,23.024202,-1.3188065,12.296492,-25.419487,22.781874
-12.4,27,5.5408854,8.8904839,-11.884143,22.965914,-1.3154678,12.265361,-25.355133,22.724197
-12.3,27,5.5268221,8.8679199,-11.85398,22.907625,-1.312129,12.234231,-25.290781,22.666523
-12.2,27,5.5127592,8.845355,-11.823817,22.849337,-1.3087903,12.2031,-25.226427,22.608847
-12.1,27,5.4986959,8.8227901,-11.793654,22.791046,-1.3054516,12.17197,-25.162075,22.551172
-12,27,5.484633,8.8002253,-11.763492,22.732758,-1.3021128,12.14084,-25.097721,22.493496
-11.9,27,5.4705696,8.7776604,-11.733329,22.674469,-1.298774,12.109709,-25.033367,22.43582
-11.8,27,5.4565067,8.7550964,-11.703166,22.61618,-1.2954353,12.078579,-24.969015,22.378145
-11.7,27,5.4424434,8.7325315,-11.673003,22.55789,-1.2920965,12.047448,-24.904661,22.320469
-11.6,27,5.42838,8.7099667,-11.642841,22.499601,-1.2887578,12.016318,-24.840309,22.262793
-11.5,27,5.4143171,8.6874018,-11.612678,22.441313,-1.2854191,11.985188,-24.775955,22.205118
-11.4,27,5.4002538,8.6648369,-11.582515,22.383022,-1.2820803,11.954058,-24.711603,22.147442
-11.3,27,5.3861909,8.6422729,-11.552353,22.324734,-1.2787416,11.922927,-24.647249,22.089766
-11.2,27,5.3721275,8.6197081,-11.522189,22.266445,-1.2754028,11.891797,-24.582895,22.032091
-11.1,27,5.3580647,8.5971432,-11.492027,22.208157,-1.2720641,11.860666,-24.518543,21.974415
-11,27,5.3440013,8.5745783,-11.461864,22.149866,-1.2687253,11.829536,-24.454189,21.916739
-10.9,27,5.3299379,8.5520134,-11.431701,22.091578,-1.2653866,11.798406,-24.389837,21.859064
-10.8,27,5.3158751,8.5294495,-11.401539,22.033289,-1.2620478,11.767276,-24.325483,21.801388
-10.7,27,5.3018117,8.5068846,-11.371375,21.974998,-1.2587091,11.736145,-24.261131,21.743711
-10.6,27,5.2877488,8.4843197,-11.341213,21.91671,-1.2553703,11.705015,-24.196777,21.686037
-10.5,27,5.2736855,8.4617548,-11.31105,21.858421,-1.2520316,11.673884,-24.132423,21.628361
-10.4,27,5.2596221,8.4391909,-11.280887,21.800131,-1.2486928,11.642754,-24.068071,21.570684
-10.3,27,5.2455592,8.416626,-11.250725,21.741842,-1.2453541,11.611624,-24.003717,21.51301
-10.2,27,5.2314959,8.3940611,-11.220562,21.683554,-1.2420152,11.580493,-23.939365,21.455334
-10.1,27,5.217433,8.3714962,-11.190399,21.625265,-1.2386765,11.549363,-23.875011,21.397659
-10,27,5.2033696,8.3489313,-11.160236,21.566975,-1.2353379,11.518232,-23.810659,21.339983
-9.8999996,27,5.1893063,8.3263674,-11.130073,21.508686,-1.231999,11.487102,-23.746305,21.282307
-9.8000002,27,5.1752434,8.3038025,-11.099911,21.450397,-1.2286603,11.455972,-23.681953,21.224632
-9.6999998,27,5.16118,8.2812376,-11.069748,21.392107,-1.2253215,11.424841,-23.617599,21.166956
-9.6000004,27,5.1471171,8.2586727,-11.039585,21.333818,-1.2219828,11.393711,-23.553246,21.109282
-9.5,27,5.1330538,8.2361088,-11.009422,21.27553,-1.218644,11.36258,-23.488894,21.051605
-9.3999996,27,5.1189904,8.2135439,-10.979259,21.217239,-1.2153053,11.33145,-23.42454,20.993929
-9.3000002,27,5.1049275,8.190979,-10.949097,21.158951,-1.2119665,11.30032,-23.360188,20.936255
-9.1999998,27,5.0908642,8.1684141,-10.918934,21.100662,-1.2086278,11.26919,-23.295834,20.878578
-9.1000004,27,5.0768013,8.1458502,-10.888771,21.042374,-1.205289,11.238059,-23.231482,20.820902
-9,27,5.0627379,8.1232853,-10.858608,20.984083,-1.2019503,11.206929,-23.167128,20.763227
-8.8999996,27,5.0486746,8.1007204,-10.828445,20.925795,-1.1986115,11.175798,-23.102774,20.705551
-8.8000002,27,5.0346117,8.0781555,-10.798283,20.867506,-1.1952728,11.144669,-23.038422,20.647875
-8.6999998,27,5.0205483,8.0555906,-10.76812,20.809216,-1.191934,11.113538,-22.974068,20.5902
-8.6000004,27,5.0064855,8.0330267,-10.737957,20.750927,-1.1885953,11.082408,-22.909716,20.532524
-8.5,27,4.9924221,8.0104618,-10.707794,20.692638,-1.1852565,11.051277,-22.845362,20.474848
-8.3999996,27,4.9783587,7.9878969,-10.677631,20.63435,-1.1819178,11.020146,-22.781008,20.417173
-8.3000002,27,4.9642959,7.965332,-10.647469,20.576059,-1.1785791,10.989017,-22.716656,20.359497
-8.1999998,27,4.9502325,7.9427676,-10.617306,20.517771,-1.1752403,10.957886,-22.652302,20.301821
-8.1000004,27,4.9361696,7.9202027,-10.587143,20.459482,-1.1719016,10.926756,-22.58795,20.244146
-8,27,4.9221063,7.8976383,-10.55698,20.401194,-1.1685628,10.895625,-22.523596,20.18647
-7.9000001,27,4.9080434,7.8750734,-10.526817,20.342903,-1.1652241,10.864495,-22.459244,20.128796
-7.8000002,27,4.89398,7.852509,-10.496655,20.284615,-1.1618853,10.833364,-22.39489,20.071119
-7.6999998,27,4.8799167,7.8299441,-10.466492,20.226326,-1.1585466,10.802235,-22.330536,20.013443
-7.5999999,27,4.8658538,7.8073792,-10.436329,20.168036,-1.1552078,10.771104,-22.266184,19.955769
-7.5,27,4.8517904,7.7848148,-10.406166,20.109747,-1.1518691,10.739973,-22.20183,19.898092
-7.4000001,27,4.8377275,7.7622499,-10.376003,20.051458,-1.1485302,10.708843,-22.137478,19.840416
-7.3000002,27,4.8236642,7.7396855,-10.34584,19.99317,-1.1451916,10.677712,-22.073124,19.782742
-7.1999998,27,4.8096008,7.7171206,-10.315678,19.934879,-1.1418527,10.646583,-22.00877,19.725065
-7.0999999,27,4.7955379,7.6945562,-10.285515,19.876591,-1.138514,10.615452,-21.944418,19.667389
-7,27,4.7814746,7.6719913,-10.255352,19.818302,-1.1351752,10.584322,-21.880064,19.609715
-6.9000001,27,4.7674117,7.6494265,-10.225189,19.760012,-1.1318365,10.553191,-21.815712,19.552038
-6.8000002,27,4.7533484,7.626862,-10.195026,19.701723,-1.1284977,10.522061,-21.751358,19.494364
-6.6999998,27,4.7392855,7.6042972,-10.164864,19.643435,-1.125159,10.490931,-21.687006,19.436687
-6.5999999,27,4.7252221,7.5817327,-10.134701,19.585144,-1.1218202,10.459801,-21.622652,19.379011
-6.5,27,4.7111588,7.5591679,-10.104538,19.526855,-1.1184815,10.42867,-21.558298,19.321337
-6.4000001,27,4.6970959,7.5366035,-10.074375,19.468567,-1.1151428,10.39754,-21.493946,19.26366
-6.3000002,27,4.6830325,7.5140386,-10.044212,19.410278,-1.111804,10.366409,-21.429592,19.205984
-6.1999998,27,4.6689696,7.4914737,-10.01405,19.351988,-1.1084653,10.335279,-21.36524,19.14831
-6.0999999,27,4.6549063,7.4689093,-9.9838867,19.293699,-1.1051265,10.304149,-21.300886,19.090633
-6,27,4.6408429,7.4463444,-9.9537239,19.235411,-1.1017878,10.273018,-21.236534,19.032957
-5.9000001,27,4.62678,7.42378,-9.9235611,19.177122,-1.098449,10.241888,-21.17218,18.975283
-5.8000002,27,4.6127167,7.4012151,-9.8933983,19.118832,-1.0951103,10.210757,-21.107828,18.917606
-5.6999998,27,4.5986538,7.3786507,-9.8632355,19.060543,-1.0917715,10.179627,-21.043474,18.85993
-5.5999999,27,4.5845904,7.3560858,-9.8330727,19.002254,-1.0884328,10.148497,-20.97912,18.802256
-5.5,27,4.5705276,7.3335214,-9.8029099,18.943964,-1.085094,10.117367,-20.914768,18.744579
-5.4000001,27,4.5564642,7.3109565,-9.772747,18.885675,-1.0817553,10.086236,-20.850414,18.686905
-5.3000002,27,4.5424008,7.2883916,-9.7425842,18.827387,-1.0784165,10.055106,-20.786062,18.629229
-5.1999998,27,4.528338,7.2658272,-9.7124214,18.769096,-1.0750778,10.023975,-20.721708,18.571552
