year,placeholder,growth_rate,cons,beta1,beta2,anomalymin,anomalymax,ssp,global_consumption,ratio
2018,"ss","value",0,.0244227,-.0544479,.1313385,.5439752,"SSP3",1.191e+14,
2019,"ss","value",0,.0275953,-.0556734,.1356659,.5908411,"SSP3",1.240e+14,
2020,"ss","value",0,.0432174,-.0836174,.1499573,.6357951,"SSP3",1.293e+14,
2021,"ss","value",0,.0382272,-.0450104,.1627564,.6857845,"SSP3",1.334e+14,
2022,"ss","value",0,.0557477,-.0651094,.185022,.7193935,"SSP3",1.378e+14,
2023,"ss","value",0,.0751344,-.0832332,.2035401,.7588283,"SSP3",1.424e+14,
2024,"ss","value",0,.0843782,-.0767692,.2167926,.8046947,"SSP3",1.471e+14,
2025,"ss","value",0,.0867407,-.0617061,.2303988,.8440318,"SSP3",1.521e+14,
2026,"ss","value",0,.0938616,-.0722727,.25,.8832209,"SSP3",1.560e+14,
2027,"ss","value",0,.1084505,-.0865719,.27,.9260995,"SSP3",1.599e+14,
2028,"ss","value",0,.0961203,-.0574077,.2737382,.983,"SSP3",1.640e+14,
2029,"ss","value",0,.0766924,-.0265606,.2793244,1.043,"SSP3",1.682e+14,
2030,"ss","value",0,.0683955,-.0100216,.296344,1.103,"SSP3",1.725e+14,
2031,"ss","value",0,.0734999,-.0044162,.3052537,1.173,"SSP3",1.758e+14,
2032,"ss","value",0,.0841571,-.0070591,.3230438,1.233,"SSP3",1.793e+14,
2033,"ss","value",0,.0809879,-.0018456,.34,1.303,"SSP3",1.828e+14,
2034,"ss","value",0,.0931797,-.01279,.3436951,1.363,"SSP3",1.863e+14,
2035,"ss","value",0,.0913177,-.0044702,.3410126,1.443,"SSP3",1.900e+14,
2036,"ss","value",0,.0930522,-.0024237,.3475724,1.513,"SSP3",1.930e+14,
2037,"ss","value",0,.0910402,.0009899,.3653474,1.593,"SSP3",1.960e+14,
2038,"ss","value",0,.1016815,-.0012716,.3843217,1.663,"SSP3",1.991e+14,
2039,"ss","value",0,.1158993,-.0071543,.4037126,1.733,"SSP3",2.023e+14,
2040,"ss","value",0,.1158564,-.0037691,.4052308,1.813,"SSP3",2.055e+14,
2041,"ss","value",0,.1131574,.0032087,.4187425,1.893,"SSP3",2.082e+14,
2042,"ss","value",0,.1167642,.0074307,.4325287,1.983,"SSP3",2.109e+14,
2043,"ss","value",0,.1065269,.0194479,.46,2.073,"SSP3",2.137e+14,
2044,"ss","value",0,.0974453,.0300019,.47,2.173,"SSP3",2.165e+14,
2045,"ss","value",0,.0953324,.0348634,.48,2.273,"SSP3",2.193e+14,
2046,"ss","value",0,.0879291,.0431443,.49,2.353,"SSP3",2.216e+14,
2047,"ss","value",0,.0883863,.0461087,.5,2.443,"SSP3",2.240e+14,
2048,"ss","value",0,.0877408,.0491878,.51,2.533,"SSP3",2.263e+14,
2049,"ss","value",0,.0822935,.0557364,.52,2.623,"SSP3",2.287e+14,
2050,"ss","value",0,.0782176,.0608509,.53,2.703,"SSP3",2.312e+14,
2051,"ss","value",0,.075259,.0675159,.54,2.783,"SSP3",2.333e+14,
2052,"ss","value",0,.0826422,.0637164,.55,2.863,"SSP3",2.354e+14,
2053,"ss","value",0,.0860151,.065524,.56,2.983,"SSP3",2.376e+14,
2054,"ss","value",0,.0928521,.0638213,.57,3.083,"SSP3",2.398e+14,
2055,"ss","value",0,.0930872,.0661267,.58,3.173,"SSP3",2.420e+14,
2056,"ss","value",0,.0841911,.0703716,.59,3.273,"SSP3",2.441e+14,
2057,"ss","value",0,.0793699,.0751537,.59,3.373,"SSP3",2.462e+14,
2058,"ss","value",0,.0760391,.0789041,.6,3.463,"SSP3",2.483e+14,
2059,"ss","value",0,.0748831,.0819082,.61,3.583,"SSP3",2.504e+14,
2060,"ss","value",0,.0785372,.0812795,.61,3.713,"SSP3",2.526e+14,
2061,"ss","value",0,.0796347,.0827095,.62,3.803,"SSP3",2.547e+14,
2062,"ss","value",0,.0813876,.0839209,.63,3.903,"SSP3",2.568e+14,
2063,"ss","value",0,.0748095,.0864863,.63,3.993,"SSP3",2.589e+14,
2064,"ss","value",0,.0765672,.0866728,.64,4.123,"SSP3",2.611e+14,
2065,"ss","value",0,.0729091,.090153,.64,4.263,"SSP3",2.633e+14,
2066,"ss","value",0,.0660786,.0948711,.65,4.423,"SSP3",2.654e+14,
2067,"ss","value",0,.0693804,.0946374,.65,4.603,"SSP3",2.675e+14,
2068,"ss","value",0,.0720507,.0947028,.66,4.753,"SSP3",2.697e+14,
2069,"ss","value",0,.0594046,.100368,.66,4.863,"SSP3",2.719e+14,
2070,"ss","value",0,.0546612,.1036898,.66,4.983,"SSP3",2.741e+14,
2071,"ss","value",0,.0576359,.1025602,.67,5.093,"SSP3",2.762e+14,
2072,"ss","value",0,.0595546,.102829,.67,5.203,"SSP3",2.784e+14,
2073,"ss","value",0,.0597429,.1040789,.67,5.313,"SSP3",2.806e+14,
2074,"ss","value",0,.0600567,.1053398,.67,5.423,"SSP3",2.829e+14,
2075,"ss","value",0,.0533737,.1092638,.68,5.553,"SSP3",2.851e+14,
2076,"ss","value",0,.0604316,.1077847,.68,5.703,"SSP3",2.873e+14,
2077,"ss","value",0,.0549228,.1109777,.68,5.863,"SSP3",2.895e+14,
2078,"ss","value",0,.0529922,.1144949,.68,6.043,"SSP3",2.918e+14,
2079,"ss","value",0,.0540044,.11538,.68,6.243,"SSP3",2.941e+14,
2080,"ss","value",0,.0519489,.1162675,.68,6.403,"SSP3",2.964e+14,
2081,"ss","value",0,.0417945,.121707,.68,6.573,"SSP3",2.987e+14,
2082,"ss","value",0,.0407288,.1230399,.68,6.723,"SSP3",3.010e+14,
2083,"ss","value",0,.0273124,.1268284,.68,6.883,"SSP3",3.033e+14,
2084,"ss","value",0,.026813,.12854,.68,7.033,"SSP3",3.057e+14,
2085,"ss","value",0,.0283661,.128637,.68,7.183,"SSP3",3.081e+14,
2086,"ss","value",0,.0264608,.1292225,.68,7.303,"SSP3",3.105e+14,
2087,"ss","value",0,.0208007,.1318151,.68,7.433,"SSP3",3.129e+14,
2088,"ss","value",0,.023631,.1323321,.69,7.553,"SSP3",3.154e+14,
2089,"ss","value",0,.0234917,.132664,.69,7.773,"SSP3",3.179e+14,
2090,"ss","value",0,.0217846,.1351091,.69,7.902999,"SSP3",3.204e+14,
2091,"ss","value",0,.0194741,.1368232,.69,8.033,"SSP3",3.230e+14,
2092,"ss","value",0,.0209459,.1368455,.69,8.163,"SSP3",3.256e+14,
2093,"ss","value",0,.0160834,.1391571,.69,8.283,"SSP3",3.282e+14,
2094,"ss","value",0,.016471,.1397766,.69,8.403,"SSP3",3.309e+14,
2095,"ss","value",0,.0180846,.139271,.69,8.513,"SSP3",3.337e+14,
2096,"ss","value",0,.0249614,.1387624,.69,8.653,"SSP3",3.364e+14,
2097,"ss","value",0,.0292883,.1392928,.69,8.873,"SSP3",3.391e+14,
2098,"ss","value",0,.0339614,.138026,.69,9.073,"SSP3",3.419e+14,
2099,"ss","value",0,.035575,.1383846,.69,9.243,"SSP3",3.447e+14,
2100,"ss","value",0,.0357343,.1390043,0,11,"SSP3",3.463e+14,1.004478
2101,"ss","value",0,.0358943,.1396267,0,11,"SSP3",3.478e+14,1.008976
2102,"ss","value",0,.0360551,.1402519,0,11,"SSP3",3.494e+14,1.013494
2103,"ss","value",0,.0362165,.14088,0,11,"SSP3",3.509e+14,1.018032
2104,"ss","value",0,.0363787,.1415108,0,11,"SSP3",3.525e+14,1.022591
2105,"ss","value",0,.0365416,.1421445,0,11,"SSP3",3.541e+14,1.02717
2106,"ss","value",0,.0367052,.142781,0,11,"SSP3",3.557e+14,1.031769
2107,"ss","value",0,.0368696,.1434203,0,11,"SSP3",3.573e+14,1.036389
2108,"ss","value",0,.0370347,.1440625,0,11,"SSP3",3.589e+14,1.04103
2109,"ss","value",0,.0372005,.1447076,0,11,"SSP3",3.605e+14,1.045692
2110,"ss","value",0,.0373671,.1453556,0,11,"SSP3",3.621e+14,1.050374
2111,"ss","value",0,.0375344,.1460065,0,11,"SSP3",3.637e+14,1.055078
2112,"ss","value",0,.0377025,.1466603,0,11,"SSP3",3.653e+14,1.059802
2113,"ss","value",0,.0378713,.147317,0,11,"SSP3",3.670e+14,1.064548
2114,"ss","value",0,.0380409,.1479767,0,11,"SSP3",3.686e+14,1.069315
2115,"ss","value",0,.0382112,.1486393,0,11,"SSP3",3.703e+14,1.074103
2116,"ss","value",0,.0383824,.1493049,0,11,"SSP3",3.719e+14,1.078913
2117,"ss","value",0,.0385542,.1499735,0,11,"SSP3",3.736e+14,1.083744
2118,"ss","value",0,.0387269,.150645,0,11,"SSP3",3.753e+14,1.088597
2119,"ss","value",0,.0389003,.1513196,0,11,"SSP3",3.769e+14,1.093471
2120,"ss","value",0,.0390745,.1519972,0,11,"SSP3",3.786e+14,1.098368
2121,"ss","value",0,.0392494,.1526778,0,11,"SSP3",3.803e+14,1.103286
2122,"ss","value",0,.0394252,.1533615,0,11,"SSP3",3.820e+14,1.108226
2123,"ss","value",0,.0396017,.1540482,0,11,"SSP3",3.837e+14,1.113189
2124,"ss","value",0,.0397791,.154738,0,11,"SSP3",3.855e+14,1.118174
2125,"ss","value",0,.0399572,.1554309,0,11,"SSP3",3.872e+14,1.123181
2126,"ss","value",0,.0401361,.1561269,0,11,"SSP3",3.889e+14,1.12821
2127,"ss","value",0,.0403158,.156826,0,11,"SSP3",3.907e+14,1.133262
2128,"ss","value",0,.0404964,.1575283,0,11,"SSP3",3.924e+14,1.138337
2129,"ss","value",0,.0406777,.1582337,0,11,"SSP3",3.942e+14,1.143434
2130,"ss","value",0,.0408598,.1589422,0,11,"SSP3",3.959e+14,1.148554
2131,"ss","value",0,.0410428,.1596539,0,11,"SSP3",3.977e+14,1.153697
2132,"ss","value",0,.0412266,.1603688,0,11,"SSP3",3.995e+14,1.158863
2133,"ss","value",0,.0414112,.1610869,0,11,"SSP3",4.013e+14,1.164052
2134,"ss","value",0,.0415966,.1618083,0,11,"SSP3",4.031e+14,1.169265
2135,"ss","value",0,.0417829,.1625328,0,11,"SSP3",4.049e+14,1.174501
2136,"ss","value",0,.04197,.1632606,0,11,"SSP3",4.067e+14,1.17976
2137,"ss","value",0,.0421579,.1639917,0,11,"SSP3",4.085e+14,1.185043
2138,"ss","value",0,.0423467,.164726,0,11,"SSP3",4.103e+14,1.190349
2139,"ss","value",0,.0425363,.1654636,0,11,"SSP3",4.122e+14,1.195679
2140,"ss","value",0,.0427268,.1662045,0,11,"SSP3",4.140e+14,1.201033
2141,"ss","value",0,.0429181,.1669488,0,11,"SSP3",4.159e+14,1.206411
2142,"ss","value",0,.0431103,.1676963,0,11,"SSP3",4.177e+14,1.211813
2143,"ss","value",0,.0433033,.1684472,0,11,"SSP3",4.196e+14,1.21724
2144,"ss","value",0,.0434972,.1692015,0,11,"SSP3",4.215e+14,1.22269
2145,"ss","value",0,.043692,.1699592,0,11,"SSP3",4.234e+14,1.228166
2146,"ss","value",0,.0438877,.1707202,0,11,"SSP3",4.253e+14,1.233665
2147,"ss","value",0,.0440842,.1714847,0,11,"SSP3",4.272e+14,1.239189
2148,"ss","value",0,.0442816,.1722526,0,11,"SSP3",4.291e+14,1.244738
2149,"ss","value",0,.0444799,.1730239,0,11,"SSP3",4.310e+14,1.250312
2150,"ss","value",0,.0446791,.1737987,0,11,"SSP3",4.329e+14,1.255911
2151,"ss","value",0,.0448791,.1745769,0,11,"SSP3",4.349e+14,1.261534
2152,"ss","value",0,.0450801,.1753587,0,11,"SSP3",4.368e+14,1.267183
2153,"ss","value",0,.0452819,.1761439,0,11,"SSP3",4.388e+14,1.272858
2154,"ss","value",0,.0454847,.1769326,0,11,"SSP3",4.407e+14,1.278557
2155,"ss","value",0,.0456884,.1777249,0,11,"SSP3",4.427e+14,1.284282
2156,"ss","value",0,.045893,.1785207,0,11,"SSP3",4.447e+14,1.290033
2157,"ss","value",0,.0460985,.1793201,0,11,"SSP3",4.467e+14,1.29581
2158,"ss","value",0,.0463049,.1801231,0,11,"SSP3",4.487e+14,1.301612
2159,"ss","value",0,.0465122,.1809297,0,11,"SSP3",4.507e+14,1.307441
2160,"ss","value",0,.0467205,.1817398,0,11,"SSP3",4.527e+14,1.313295
2161,"ss","value",0,.0469297,.1825536,0,11,"SSP3",4.547e+14,1.319176
