temp,risk,bins,poly_2,poly_3,poly_4,spline
-20,high,-100.39586,-356.4115,46.024433,17.680792,-34.139645
-20,low,-18.214924,-44.972332,32.528564,-136.77319,-2.3498528
-19.9,high,-100.39586,-355.09308,44.061787,16.042187,-34.067009
-19.9,low,-18.214924,-44.871136,31.942245,-135.30251,-2.3448532
-19.799999,high,-100.39586,-353.77704,42.113441,14.415239,-33.99437
-19.799999,low,-18.214924,-44.769966,31.359653,-133.84583,-2.3398535
-19.700001,high,-100.39586,-352.46344,40.179394,12.799951,-33.921734
-19.700001,low,-18.214924,-44.668819,30.78079,-132.40306,-2.3348539
-19.6,high,-100.39586,-351.15219,38.259529,11.196232,-33.849094
-19.6,low,-18.214924,-44.567696,30.205624,-130.97409,-2.329854
-19.5,high,-100.39586,-349.84332,36.353844,9.6040888,-33.776459
-19.5,low,-18.214924,-44.466599,29.634153,-129.55887,-2.3248544
-19.4,high,-100.39586,-348.53683,34.462299,8.0234928,-33.703819
-19.4,low,-18.214924,-44.36552,29.066372,-128.15727,-2.3198547
-19.299999,high,-100.39586,-347.23276,32.584854,6.4544177,-33.631184
-19.299999,low,-18.214924,-44.264469,28.50227,-126.76925,-2.3148551
-19.200001,high,-100.39586,-345.93106,30.7215,4.8968658,-33.558544
-19.200001,low,-18.214924,-44.163441,27.941845,-125.39472,-2.3098555
-19.1,high,-100.39586,-344.63177,28.872128,3.3507504,-33.485909
-19.1,low,-18.214924,-44.062435,27.385069,-124.03356,-2.3048556
-19,high,-100.39586,-343.33484,27.036732,1.8160743,-33.413269
-19,low,-18.214924,-43.961452,26.831942,-122.6857,-2.2998559
-18.9,high,-100.39586,-342.04031,25.215271,0.29280993,-33.340633
-18.9,low,-18.214924,-43.860493,26.282454,-121.35106,-2.2948563
-18.799999,high,-100.39586,-340.74817,23.407705,-1.2190696,-33.267994
-18.799999,low,-18.214924,-43.759556,25.736593,-120.02955,-2.2898567
-18.700001,high,-100.39586,-339.45844,21.614029,-2.7195632,-33.195358
-18.700001,low,-18.214924,-43.658646,25.194365,-118.72112,-2.284857
-18.6,high,-100.39586,-338.17105,19.834131,-4.2087555,-33.122719
-18.6,low,-18.214924,-43.557758,24.655735,-117.42562,-2.2798572
-18.5,high,-100.39586,-336.88608,18.068005,-5.6866446,-33.050083
-18.5,low,-18.214924,-43.456894,24.120707,-116.14301,-2.2748575
-18.4,high,-100.39586,-335.60349,16.315613,-7.1532588,-32.977444
-18.4,low,-18.214924,-43.356049,23.589266,-114.87318,-2.2698579
-18.299999,high,-100.39586,-334.32327,14.57691,-8.6086245,-32.904808
-18.299999,low,-18.214924,-43.255234,23.061407,-113.61607,-2.2648582
-18.200001,high,-100.39586,-333.0455,12.851892,-10.052743,-32.832169
-18.200001,low,-18.214924,-43.154438,22.53713,-112.37162,-2.2598586
-18.1,high,-100.39586,-331.77008,11.14045,-11.485696,-32.759533
-18.1,low,-18.214924,-43.053669,22.016403,-111.13969,-2.2548587
-18,high,-100.39586,-330.49704,9.4425783,-12.907483,-32.686893
-18,low,-18.214924,-42.952919,21.499228,-109.92023,-2.2498591
-17.9,high,-100.39586,-329.22638,7.7582345,-14.318132,-32.614258
-17.9,low,-18.214924,-42.852196,20.985594,-108.71314,-2.2448595
-17.799999,high,-100.39586,-327.95813,6.0873785,-15.717671,-32.541618
-17.799999,low,-18.214924,-42.751495,20.475491,-107.51835,-2.2398598
-17.700001,high,-100.39586,-326.69226,4.4300013,-17.1061,-32.468983
-17.700001,low,-18.214924,-42.650822,19.968922,-106.3358,-2.2348602
-17.6,high,-100.39586,-325.42877,2.7859988,-18.483501,-32.396343
-17.6,low,-18.214924,-42.550167,19.465853,-105.16537,-2.2298603
-17.5,high,-100.39586,-324.16769,1.1553618,-19.849876,-32.323708
-17.5,low,-18.214924,-42.449535,18.966288,-104.00698,-2.2248607
-17.4,high,-100.39586,-322.909,-0.46195012,-21.20525,-32.251068
-17.4,low,-18.214924,-42.34893,18.470215,-102.86057,-2.219861
-17.299999,high,-100.39586,-321.65268,-2.0659778,-22.549652,-32.178432
-17.299999,low,-18.214924,-42.248344,17.977625,-101.72604,-2.2148612
-17.200001,high,-100.39586,-320.39877,-3.6567316,-23.883085,-32.105793
-17.200001,low,-18.214924,-42.147789,17.488518,-100.60336,-2.2098618
-17.1,high,-100.39586,-319.14722,-5.234313,-25.205627,-32.033157
-17.1,low,-18.214924,-42.047253,17.002865,-99.492371,-2.2048619
-17,high,-100.39586,-317.89807,-6.7987323,-26.517282,-31.96052
-17,low,-18.214924,-41.946739,16.520666,-98.393044,-2.1998622
-16.9,high,-100.39586,-316.65131,-8.3500299,-27.818075,-31.887882
-16.9,low,-18.214924,-41.846249,16.04191,-97.305275,-2.1948626
-16.799999,high,-100.39586,-315.40692,-9.8882465,-29.108036,-31.815243
-16.799999,low,-18.214924,-41.745785,15.56659,-96.229004,-2.1898627
-16.700001,high,-100.39586,-314.16495,-11.413395,-30.387169,-31.742607
-16.700001,low,-18.214924,-41.645344,15.094703,-95.164154,-2.1848633
-16.6,high,-100.39586,-312.92535,-12.925572,-31.655548,-31.66997
-16.6,low,-18.214924,-41.544926,14.626222,-94.110619,-2.1798635
-16.5,high,-100.39586,-311.68814,-14.424791,-32.913181,-31.597332
-16.5,low,-18.214924,-41.444527,14.161144,-93.068336,-2.1748638
-16.4,high,-100.39586,-310.45331,-15.911093,-34.160091,-31.524694
-16.4,low,-18.214924,-41.344158,13.699463,-92.037224,-2.1698642
-16.299999,high,-100.39586,-309.22089,-17.384516,-35.396309,-31.452055
-16.299999,low,-18.214924,-41.243809,13.241167,-91.017204,-2.1648643
-16.200001,high,-100.39586,-307.99088,-18.845076,-36.621841,-31.379419
-16.200001,low,-18.214924,-41.143486,12.786256,-90.008224,-2.1598649
-16.1,high,-100.39586,-306.76321,-20.292868,-37.836761,-31.306782
-16.1,low,-18.214924,-41.043182,12.334702,-89.010162,-2.154865
-16,high,-100.39586,-305.53793,-21.727903,-39.041073,-31.234144
-16,low,-18.214924,-40.942905,11.886503,-88.022957,-2.1498654
-15.9,high,-100.39586,-304.31506,-23.150227,-40.234802,-31.161507
-15.9,low,-18.214924,-40.842651,11.441651,-87.046539,-2.1448658
-15.8,high,-100.39586,-303.09457,-24.559862,-41.417973,-31.088869
-15.8,low,-18.214924,-40.74242,11.00014,-86.080833,-2.1398661
-15.7,high,-100.39586,-301.87646,-25.956877,-42.59063,-31.016232
-15.7,low,-18.214924,-40.642212,10.561953,-85.125748,-2.1348662
-15.6,high,-100.39586,-300.66077,-27.341288,-43.752781,-30.943594
-15.6,low,-18.214924,-40.54203,10.127086,-84.181221,-2.1298666
-15.5,high,-100.39586,-299.44745,-28.71316,-44.904476,-30.870956
-15.5,low,-18.214924,-40.441868,9.6955223,-83.247154,-2.124867
-15.4,high,-100.39586,-298.23651,-30.072519,-46.045734,-30.798319
-15.4,low,-18.214924,-40.341732,9.2672567,-82.323494,-2.1198673
