temp,ref,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high
-20,27,-2.7806814,10.567204,-23.49202,17.930658,-32.078354,12.881872,-57.326359,-6.8303475
-19.9,27,-2.774765,10.544721,-23.442038,17.892508,-32.010101,12.854464,-57.204388,-6.8158145
-19.8,27,-2.7688487,10.522237,-23.392054,17.854357,-31.941849,12.827055,-57.082417,-6.8012819
-19.7,27,-2.7629323,10.499754,-23.342072,17.816206,-31.873598,12.799647,-56.960445,-6.7867494
-19.6,27,-2.7570159,10.47727,-23.292088,17.778057,-31.805346,12.772239,-56.838474,-6.7722168
-19.5,27,-2.7510996,10.454786,-23.242105,17.739906,-31.737093,12.744831,-56.716503,-6.7576842
-19.4,27,-2.7451832,10.432303,-23.192122,17.701756,-31.668842,12.717422,-56.594532,-6.7431517
-19.3,27,-2.7392669,10.40982,-23.142139,17.663605,-31.60059,12.690014,-56.472561,-6.7286186
-19.2,27,-2.7333508,10.387337,-23.092157,17.625456,-31.532339,12.662606,-56.35059,-6.7140865
-19.1,27,-2.7274344,10.364853,-23.042173,17.587305,-31.464087,12.635198,-56.228619,-6.6995535
-19,27,-2.721518,10.34237,-22.992189,17.549154,-31.395834,12.60779,-56.106647,-6.6850209
-18.9,27,-2.7156014,10.319886,-22.942207,17.511003,-31.327583,12.580381,-55.984676,-6.6704884
-18.8,27,-2.7096851,10.297402,-22.892223,17.472853,-31.259331,12.552973,-55.862705,-6.6559553
-18.7,27,-2.703769,10.27492,-22.842241,17.434704,-31.19108,12.525565,-55.740738,-6.6414232
-18.6,27,-2.6978526,10.252436,-22.792257,17.396553,-31.122828,12.498157,-55.618763,-6.6268902
-18.5,27,-2.6919363,10.229953,-22.742275,17.358402,-31.054575,12.470749,-55.496792,-6.6123576
-18.4,27,-2.6860199,10.207469,-22.692291,17.320251,-30.986324,12.44334,-55.374821,-6.5978251
-18.3,27,-2.6801035,10.184985,-22.642309,17.282101,-30.918072,12.415932,-55.25285,-6.583292
-18.2,27,-2.6741872,10.162502,-22.592327,17.243952,-30.849821,12.388524,-55.130882,-6.5687599
