temp,no_wgt_comm,risk_adj_sample_wgt_comm,pop_adj_sample_wgt_comm,no_wgt_low,risk_adj_sample_wgt_low,pop_adj_sample_wgt_low,no_wgt_high,risk_adj_sample_wgt_high,pop_adj_sample_wgt_high
9.199999999999999,3,3.82412510547e-08,2.01536463074e-08,3,3.82412510547e-08,2.01536463074e-08,0,0,0
11.5,6,4.09696074399e-07,2.15915273216e-07,6,4.09696074399e-07,2.15915273216e-07,0,0,0
11.8,36,2.01870680017e-06,1.19442344193e-06,35,2.01601196892e-06,1.06246504039e-06,1,2.69483124704e-09,1.31958401539e-07
11.9,18,2.56179131991e-07,2.53760003233e-07,7,2.53727652222e-07,1.33717846573e-07,11,2.45147976918e-09,1.20042156659e-07
12,2,1.41634259876e-07,7.46431361165e-08,2,1.41634259876e-07,7.46431361165e-08,0,0,0
12.1,187,5.37515999888e-06,2.85087791640e-06,186,5.37478639728e-06,2.83258368450e-06,1,3.73601594106e-10,1.82942319071e-08
12.2,72,3.13930441820e-06,1.65445512224e-06,72,3.13930441820e-06,1.65445512224e-06,0,0,0
12.7,82,.0000120288164978,6.35659271886e-06,80,.0000120284604535,6.33915821524e-06,2,3.56044360661e-10,1.74345036186e-08
12.8,14,3.61903587653e-09,1.77214135810e-07,0,0,0,14,3.61903587653e-09,1.77214135810e-07
12.9,1,7.01848392737e-08,3.69883395024e-08,1,7.01848392737e-08,3.69883395024e-08,0,0,0
13,27,5.85053837199e-06,3.08331128451e-06,27,5.85053837199e-06,3.08331128451e-06,0,0,0
13.1,20,7.00280625612e-07,3.77957509734e-07,18,7.00096887130e-07,3.68960345831e-07,2,1.83738482762e-10,8.99716390279e-09
13.4,2,1.97276310843e-08,1.03967225940e-08,2,1.97276310843e-08,1.03967225940e-08,0,0,0
13.5,111,.0000100169352587,5.38123355387e-06,101,.000010014825941,5.27794611838e-06,10,2.10931773437e-09,1.03287435493e-07
13.6,17,5.11803682574e-07,2.80051711599e-07,16,5.11590545926e-07,2.69615001436e-07,1,2.13136647220e-10,1.04367101628e-08
13.7,97,.0000105011702699,5.55116667833e-06,94,.0000105008211668,5.53407206705e-06,3,3.49103121411e-10,1.70946112821e-08
13.8,11,1.61897698026e-08,1.12814434683e-07,1,1.40369671442e-08,7.39766781166e-09,10,2.15280265836e-09,1.05416766871e-07
13.9,15,1.64307654982e-07,9.08446962100e-08,14,1.64219868815e-07,8.65460512145e-08,1,8.77861672244e-11,4.29864499552e-09
14,27,5.23230214280e-07,4.06795085617e-07,16,5.20524903180e-07,2.74323515903e-07,11,2.70531110014e-09,1.32471569714e-07
14.1,48,3.62346231361e-06,1.95598667485e-06,46,3.62250496799e-06,1.90910811915e-06,2,9.57345619446e-10,4.68785557040e-08
14.2,64,.0000129783017044,6.83973708604e-06,64,.0000129783017044,6.83973708604e-06,0,0,0
14.3,84,4.39484898954e-06,2.32844593562e-06,83,4.39459502211e-06,2.31600985590e-06,1,2.53967430419e-10,1.24360797216e-08
14.4,43,1.01211764549e-06,6.24449794095e-07,35,1.01023800081e-06,5.32408811704e-07,8,1.87964467602e-09,9.20409823912e-08
14.5,343,.0000129443900202,7.41965429585e-06,325,.000012932049259,6.81536147962e-06,18,1.23407611768e-08,6.04292816231e-07
14.6,20,4.71654740153e-07,2.48568304606e-07,20,4.71654740153e-07,2.48568304606e-07,0,0,0
14.7,250,.0000154684371139,8.65480163137e-06,230,.0000154580587477,8.14660184911e-06,20,1.03783661942e-08,5.08199782256e-07
14.9,419,8.33972922725e-06,4.54125835869e-06,408,8.33671292177e-06,4.39355825543e-06,11,3.01630547622e-09,1.47700103259e-07
15,247,7.27083829721e-06,4.44067675387e-06,228,7.25826922388e-06,3.82520412101e-06,19,1.25690733377e-08,6.15472632859e-07
15.1,73,2.22439647909e-06,1.30117315478e-06,51,2.22173574160e-06,1.17088422980e-06,22,2.66073749144e-09,1.30288924982e-07
15.2,75,2.12846258082e-06,1.32800801245e-06,59,2.12420413526e-06,1.11948374792e-06,16,4.25844556839e-09,2.08524264522e-07
15.3,309,.000013411523731,7.71882331563e-06,279,.0000133980891812,7.06097069703e-06,30,1.34345498060e-08,6.57852618602e-07
15.4,221,4.22135897463e-06,2.42473228296e-06,211,4.21722975830e-06,2.22253602589e-06,10,4.12921633691e-09,2.02196257071e-07
15.5,409,.0000261529119716,.000014142794758,385,.0000261454829484,.0000137790161063,24,7.42902318829e-09,3.63778651646e-07
15.6,473,.0000272247021306,.0000145639186728,457,.0000272202401437,.0000143454275499,16,4.46198689108e-09,2.18491122972e-07
15.7,76,3.96071312120e-06,2.41320924310e-06,49,3.95398604702e-06,2.08380309363e-06,27,6.72707417548e-09,3.29406149469e-07
15.8,204,5.38352027493e-06,2.92579431749e-06,200,5.38169105635e-06,2.83622255504e-06,4,1.82921858216e-09,8.95717624516e-08
15.9,523,.0000143017764115,8.51997073426e-06,463,.0000142814886201,7.52653390723e-06,60,2.02877913358e-08,9.93436827024e-07
16,2057,.0000652808935907,.0000321815947502,2000,.0000652675262636,.0000314096041814,57,1.33673271055e-08,7.71990568804e-07
16.1,474,.0000112210198421,7.81846190856e-06,403,.0000111816964043,5.89290225461e-06,71,3.93234377005e-08,1.92555965395e-06
16.2,73,1.33646377551e-06,1.53738533504e-06,37,1.31926626157e-06,6.95270817364e-07,36,1.71975139407e-08,8.42114517674e-07
16.3,448,.0000160727908059,9.35551071679e-06,409,.0000160545221641,8.46094605800e-06,39,1.82686417868e-08,8.94564658793e-07
16.4,286,.0000115756421676,7.00100289008e-06,260,.0000115570525283,6.09071986868e-06,26,1.85896392446e-08,9.10283021405e-07
16.5,750,.0000296800955466,.0000173412365507,674,.000029645012452,.0000156233147908,76,3.50830946516e-08,1.71792175996e-06
16.6,811,.0000368702871623,.0000319051596867,800,.0000351034833486,.0000185000012189,11,1.76680381372e-06,.0000134051584677
16.7,2303,.0000957634275273,.0000477189778066,2273,.0000957610393497,.0000473331033796,30,2.38817754201e-09,3.85874427078e-07
16.8,563,.0000146966884862,8.86526191901e-06,522,.0000146735690127,7.73316547886e-06,41,2.31194734954e-08,1.13209644015e-06
16.9,2256,.0000845099542589,.0000415096052772,2236,.0000845075885307,.0000412103845444,20,2.36572814203e-09,2.99220732747e-07
17,1155,.0000643653242933,.0000349817121124,1096,.0000643434347789,.0000339098433286,59,2.18895143539e-08,1.07186878373e-06
17.1,2914,.0000871450740375,.0000449215151218,2813,.0000871210809095,.0000435852517756,101,2.39931280226e-08,1.33626334620e-06
17.2,1985,.000068850302325,.0000351053804337,1877,.0000688159753208,.0000332821875069,108,3.43270042166e-08,1.82319292685e-06
17.3,791,.0000349328783189,.0000208386605274,681,.0000348827428898,.000018383667812,110,5.01354291693e-08,2.45499271534e-06
17.4,4163,.0001329897929227,.0000660926030391,4046,.0001329611077798,.0000640610535172,117,2.86851428856e-08,2.03154952194e-06
17.5,2566,.0000711458770601,.0000369166612377,2434,.0000711168707486,.0000352907003249,132,2.90063115749e-08,1.62596091280e-06
17.6,1211,.0000281297432552,.000017499036704,1112,.000028074535217,.0000147956523012,99,5.52080381411e-08,2.70338440278e-06
17.7,463,.0000146984537193,8.85583491783e-06,382,.0000146755480626,7.73420849187e-06,81,2.29056567602e-08,1.12162642596e-06
17.8,730,.0000255761856527,.000017965603017,659,.0000254835639637,.0000134301760892,71,9.26216890060e-08,4.53542692780e-06
17.9,3894,.0000907756925036,.0000485994193118,3729,.0000907159792998,.0000455216350039,165,5.97132038642e-08,3.07778430786e-06
18,6510,.0001735201949674,.0000847955355283,6406,.0001735000362784,.0000833257195736,104,2.01586890275e-08,1.46981595472e-06
18.1,3734,.0000852471055408,.0000455418019086,3587,.0000851878029994,.0000424552560115,147,5.93025414400e-08,3.08654589709e-06
18.2,6040,.0001829171243908,.0001315792371497,5841,.000177759330569,.0000882845718331,199,5.15779382186e-06,.0000432946653166
18.3,2176,.0000610368591562,.0000348482941044,2036,.0000609815113406,.0000321380651864,140,5.53478156327e-08,2.71022891796e-06
18.4,4919,.0001305173039481,.0000800919308479,4690,.0001290883911782,.0000635189714043,229,1.42891276992e-06,.0000165729594436
18.5,4796,.0001272771376951,.0000689808859146,4615,.000127179148335,.000063964809622,181,9.79893600280e-08,5.01607629255e-06
18.6,10065,.0003226019145767,.0001797264849073,9829,.0003203122132882,.00015943312813,236,2.28970128848e-06,.0000202933567772
18.7,8077,.0002409142334741,.0001422453904698,7885,.0002389329190635,.0001228057175724,192,1.98131441057e-06,.0000194396728974
18.8,2017,.0000642408671153,.0000386030803985,1856,.0000641428640022,.0000338041399583,161,9.80031130970e-08,4.79894044014e-06
18.9,2194,.0000579226103129,.0000325419878185,2100,.0000578809919126,.0000305040502707,94,4.16184002434e-08,2.03793754783e-06
19,10717,.0003348673428095,.0001682486698483,10463,.0003347792846552,.000163509515522,254,8.80581543356e-08,4.73915432631e-06
19.1,1953,.000051578525555,.0000324987213939,1794,.0000514687788288,.0000271247289118,159,1.09746726212e-07,5.37399248213e-06
19.2,4440,.0001551597021424,.0000864850413862,4145,.0001550121718072,.0000791271839561,295,1.47530335157e-07,7.35785743011e-06
19.3,5261,.0001425203208484,.0000742066867386,5100,.0001424403964573,.0000700690218973,161,7.99243910815e-08,4.13766484131e-06
19.4,4518,.0001513616664672,.0000851688783114,4266,.0001511974369678,.0000769863667371,252,1.64229499440e-07,8.18251157431e-06
19.5,7184,.000335286969579,.0001922801793374,6906,.0003319985755453,.0001604680068298,278,3.28839403372e-06,.0000318121725076
19.6,13369,.0003806504390274,.0002152703377465,12967,.0003779101222212,.0001844421037598,402,2.74031680619e-06,.0000308282339867
19.7,7564,.0002415112879288,.0002268668159032,7238,.0002294294908936,.0001306590414533,326,.0000120817970352,.0000962077744499
19.8,11162,.0003375761222531,.0001769989020521,10680,.0003373723630711,.0001662986285325,482,2.03759182067e-07,.0000107002735196
19.9,8961,.000243341583922,.0001307914930879,8683,.0002426102113356,.0001205413693356,278,7.31372586350e-07,.0000102501237523
20,9582,.0002900152143589,.0001566383456857,9186,.0002898072911307,.0001458605761733,396,2.07923228229e-07,.0000107777695124
20.1,4360,.0001139993119525,.0000709386833693,4014,.0001137751276552,.000059961000658,346,2.24184297258e-07,.0000109776827113
20.2,11879,.00047482579281,.0002441618847998,11442,.0004746002623005,.0002321145792522,437,2.25530509530e-07,.0000120473055476
20.3,6372,.0001718699940312,.000096315795071,6045,.0001717099099018,.0000883416557202,327,1.60084129407e-07,7.97413935083e-06
20.4,17028,.0008288677303509,.0004141094392427,16570,.0008286202016403,.0004001056860916,458,2.47528710566e-07,.0000140037531511
20.5,8561,.0002318540623598,.0001642019544723,8165,.000226834638123,.0001192396000942,396,5.01942423675e-06,.0000449623543781
20.6,17389,.0006562414192873,.0003312919088672,16829,.00065600979183,.0003180828726246,560,2.31627457342e-07,.0000132090362426
20.7,13222,.0006249784106951,.0003236160786596,12683,.0006246703245891,.000306745766302,539,3.08086105977e-07,.0000168703123576
20.8,14631,.0009902511589514,.0004984224027192,14041,.0009899015048236,.000479806656097,590,3.49654127832e-07,.0000186157466222
20.9,14974,.0005942628454132,.0003055008957558,14481,.0005939690800384,.0002898348609881,493,2.93765374827e-07,.0000156660347677
21,10797,.0004034538716884,.0002498480223395,10198,.0003990364569931,.000201417184493,599,4.41741469527e-06,.0000484308378464
21.1,21794,.0007868242354093,.0003996169745391,21230,.0007865574852629,.0003848393374855,564,2.66750146386e-07,.0000147776370536
21.2,8807,.0002951485356779,.0001823177276741,8179,.0002936561279805,.0001554107195235,628,1.49240769745e-06,.0000269070081506
21.3,16657,.0008395113514496,.0004581456278691,15983,.0008358186260287,.0004129607668157,674,3.69272542095e-06,.0000451848610533
21.4,10965,.0004218616657374,.0002369485074596,10369,.0004214503510831,.00021645274718,596,4.11314654306e-07,.0000204957602796
21.5,17728,.0011572774525824,.0005859225933594,17134,.001156877485204,.0005638180039179,594,3.99967378453e-07,.0000221045894415
21.6,20455,.0013159010490192,.0006667436241743,19631,.0013153438101938,.0006365235410807,824,5.57238825422e-07,.0000302200830936
21.7,28603,.0013499141665173,.0006858339033382,27762,.0013487776410581,.000652921136288,841,1.13652545921e-06,.0000329127670502
