temp,no_wgt_comm,risk_adj_sample_wgt_comm,pop_adj_sample_wgt_comm,no_wgt_low,risk_adj_sample_wgt_low,pop_adj_sample_wgt_low,no_wgt_high,risk_adj_sample_wgt_high,pop_adj_sample_wgt_high
12.4,1,3.13852041245e-07,2.34641356656e-06,0,0,0,1,3.13852041245e-07,2.34641356656e-06
15.2,17,2.63793817012e-07,1.39022839019e-07,17,2.63793817012e-07,1.39022839019e-07,0,0,0
15.3,43,7.62344676608e-07,1.05253819704e-06,13,7.48910126802e-07,3.94685578442e-07,30,1.34345498060e-08,6.57852618602e-07
15.6,16,7.98019141324e-07,3.63626659095e-06,7,3.49431967805e-07,1.84155283911e-07,9,4.48587173518e-07,3.45211130703e-06
15.9,26,4.65369731195e-07,2.45256014164e-07,26,4.65369731195e-07,2.45256014164e-07,0,0,0
16,26,3.70752977652e-07,1.95391732127e-07,26,3.70752977652e-07,1.95391732127e-07,0,0,0
16.3,32,5.88714254146e-06,3.38563272351e-06,30,5.88129965706e-06,3.09952291389e-06,2,5.84288439853e-09,2.86109809622e-07
16.5,29,8.99328056442e-07,5.79064132644e-07,24,8.97158241031e-07,4.72814290831e-07,5,2.16981541068e-09,1.06249841814e-07
16.6,21,5.78588606359e-07,3.04923872818e-07,21,5.78588606359e-07,3.04923872818e-07,0,0,0
16.8,204,1.75987044709e-06,9.29690250340e-07,203,1.75982471662e-06,9.27450956256e-07,1,4.57304680235e-11,2.23929408349e-09
16.9,1,2.29144010433e-08,1.20761933786e-08,1,2.29144010433e-08,1.20761933786e-08,0,0,0
17.1,73,6.10938120019e-06,3.48618429680e-06,67,6.10388041000e-06,3.21682588211e-06,6,5.50079018447e-09,2.69358414684e-07
17.3,86,.0001101518394881,.000262223984052,59,.0000953237271677,.0001511766283135,27,.0000148281123204,.0001110473557384
17.4,17,3.91491518398e-07,3.81479731359e-07,7,3.87875545016e-07,2.04415558258e-07,10,3.61597338183e-09,1.77064173101e-07
17.5,88,1.48634697943e-06,8.34920113491e-07,81,1.48528184063e-06,7.82763221796e-07,7,1.06513880355e-09,5.21568916945e-08
17.6,44,1.82000670032e-06,1.19409355115e-06,34,1.81515688880e-06,9.56611749814e-07,10,4.84981152460e-09,2.37481801335e-07
17.7,68,6.66441657970e-07,7.18856718152e-07,34,6.58852237656e-07,3.47223869213e-07,34,7.58942031442e-09,3.71632848939e-07
17.8,26,1.87388448580e-06,9.87562005506e-07,26,1.87388448580e-06,9.87562005506e-07,0,0,0
17.9,90,3.46959741132e-06,2.47480981663e-06,50,3.45625547915e-06,1.82149244310e-06,40,1.33419321702e-08,6.53317373533e-07
18,66,.000073129881105,.0002028588974561,46,.0000582974211731,.000091856835212,20,.0000148324599319,.0001110020622441
18.1,106,.0000117726749756,.0000404300411494,78,7.87327618834e-06,.0000106997178084,28,3.89939878721e-06,.000029730323341
18.2,232,.0000332073817276,.0000768034533558,221,.0000281084981131,.0000384986197193,11,5.09888361455e-06,.0000383048336365
18.3,281,7.74614525178e-06,4.85307675224e-06,251,7.73023377088e-06,4.07393572188e-06,30,1.59114809037e-08,7.79141030360e-07
18.4,104,.0000123912688688,.0000139313804701,76,.0000123007756558,.0000129255441923,28,9.04932129786e-08,1.00583627782e-06
18.5,155,.0000221954119042,.0001232645717515,96,6.31110887728e-06,3.32603813824e-06,59,.0000158843030269,.0001199385336133
18.6,464,.0000582986765571,.0002082920773216,426,.0000369600738961,.0000483626141057,38,.000021338602661,.000159929463216
18.7,105,9.51963111835e-06,.0000138709746298,64,9.47363919757e-06,.0000116188779491,41,4.59919207857e-08,2.25209668070e-06
18.8,271,.0000261329252365,.0000764797984263,244,.0000188303188011,.0000206604593895,27,7.30260643537e-06,.0000558193390368
18.9,194,.000033811792781,.0001109460193969,154,.0000229425196432,.0000291462627424,40,.0000108692731378,.0000817997566545
19,175,.0000601747828,.0001082768593292,144,.0000552411457448,.0000708222974737,31,4.93363705514e-06,.0000374545618556
19.1,199,.0000375624130184,.0002154313097211,111,.0000105120080107,.0000120581758143,88,.0000270504050077,.0002033731339068
19.2,635,.0000929425241127,.0002279759898242,572,.0000775959462849,.0001120511231106,63,.0000153465778278,.0001159248667135
19.3,174,.000019160032454,.0000384275337186,138,.0000163175171117,.0000166114159583,36,2.84251534227e-06,.0000218161177603
19.4,201,.0000108998509527,.000018103389567,151,9.92182399084e-06,9.27827185615e-06,50,9.78026961904e-07,8.82511771083e-06
19.5,592,.0000484482175883,.0001577983769145,528,.0000323432346934,.0000367404749186,64,.0000161049828949,.0001210579019959
19.6,654,.0000237991330685,.0000513091891783,563,.0000188484356944,.000011719859514,91,4.95069737403e-06,.0000395893296643
