bin_code,temp_mid,low,se_low,high,se_high,diff,se_diff,is_ref,ord
below9,3,-8.070858156296449,7.702562078182003,-128.668960484162,69.66235090197159,-120.5981023278655,70.03037723563337,0,-999
9,10.5,16.75319778653698,9.570708091400958,5.182876201904657,56.78903616223763,-11.5703215846323,57.82925631886668,0,10.5
12,13.5,-15.79852233652988,10.53462134625974,-92.80111220180271,61.02071131464209,-77.00258986527282,61.91024457844287,0,13.5
15,16.5,4.467776879431344,6.016425775609977,52.02645726108886,79.76380826237974,47.55868038165752,79.95614051390463,0,16.5
18,19.5,6.607033438754945,3.144323055689883,-101.7130609788687,31.42586899209393,-108.3200944176237,31.65830262734555,0,19.5
21,22.5,-2.381569406970862,1.871243535262833,9.814008402764447,14.31228491244385,12.19557780973531,14.43310284057263,0,22.5
24,25.5,.249669394596078,1.399995806087521,-35.59999344083933,17.68843635065548,-35.84966283543541,17.86065619297832,0,25.5
27,28.5,0,,0,,0,,1,28.5
30,31.5,.1586727452685421,1.610348345570811,4.163686694016285,15.66328397253109,4.005013948747742,15.68474154131012,0,31.5
33,34.5,-1.99853935231446,2.617534945571819,-21.46963720935388,15.80930957652674,-19.47109785703942,15.93608271570206,0,34.5
36,37.5,3.240297166801004,4.642736589539285,5.964154622765163,19.72471581709952,2.723857455964156,19.61965059290948,0,37.5
39,40.5,-26.52396242054426,9.516077324958573,-64.88510678871992,20.30291604196204,-38.36114436817567,24.45337246736502,0,40.5
above42,45,22.12977420218888,20.31783967504757,-38.03327908221509,46.50057867288804,-60.16305328440397,49.98283892496234,0,999
