bin_code,temp_mid,low,se_low,high,se_high,diff,se_diff,is_ref,ord
below0,-1.5,8.790978151447995,17.82992207825352,36.4983860284695,26.84415981540621,27.70740787702151,32.21149179433253,0,-999
14,1.5,4.283457231461169,23.70369753082821,-41.72807832965407,37.88455076496778,-46.01153556111524,45.36558299056406,0,1.5
15,4.5,4.102872095665329,18.79881574794452,-18.87696503288524,29.25574289115765,-22.97983712855058,35.58538956038086,0,4.5
16,7.5,-26.28539405225179,15.71722480196684,26.34942691744394,20.1208506752055,52.63482096969572,26.5838569898155,0,7.5
17,10.5,28.90895520454846,13.05292614202308,-25.10269297674442,18.22256237767633,-54.01164818129288,22.63677276843747,0,10.5
18,13.5,8.724236844801219,12.79546950347289,-32.15865238468494,17.72443087569331,-40.88288922948617,21.78145903075426,0,13.5
19,16.5,7.36099407995961,12.61922157690851,-11.45803096643966,9.619739930259025,-18.81902504639927,15.9186715410197,0,16.5
20,19.5,13.27944031791055,7.42552530005738,9.12631158903358,4.984553841303931,-4.153128728876968,8.526771450596069,0,19.5
21,22.5,6.483552871087643,5.553097681575727,-2.188785266211488,2.561229800267908,-8.672338137299127,5.9548603729206,0,22.5
22,25.5,0,,0,,0,,1,25.5
23,28.5,1.21820824439226,4.119445792587223,.5891247953319159,1.881191919909779,-.6290834490603459,4.508545665756377,0,28.5
24,31.5,3.701498854583355,4.10888158982024,.6033371004338983,2.133003631038043,-3.098161754149453,4.599310632991543,0,31.5
25,34.5,-.4109105767567383,4.868609334691565,-4.622826353284461,3.353379599557314,-4.211915776527727,5.868499461650019,0,34.5
26,37.5,7.646080940608337,6.802668996883057,3.640473084875522,6.427831175730682,-4.005607855732816,7.553393503648992,0,37.5
27,40.5,-16.69741706061977,9.950182766478317,-14.97373271424313,9.284396920302159,1.723684346376647,12.22729773641157,0,40.5
above42,43.5,.446484880945242,12.53856724277085,-13.63536924756982,18.1114262761778,-14.08185412851507,18.98168922194552,0,999
