temp,ref,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high
-20,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-19.9,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-19.799999,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-19.700001,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-19.6,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-19.5,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-19.4,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-19.299999,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-19.200001,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-19.1,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-19,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-18.9,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-18.799999,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-18.700001,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-18.6,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-18.5,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-18.4,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-18.299999,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-18.200001,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-18.1,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-18,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-17.9,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-17.799999,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-17.700001,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-17.6,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-17.5,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-17.4,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-17.299999,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-17.200001,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-17.1,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-17,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-16.9,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-16.799999,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-16.700001,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-16.6,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-16.5,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-16.4,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-16.299999,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-16.200001,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-16.1,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-16,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-15.9,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-15.8,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-15.7,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-15.6,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-15.5,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-15.4,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-15.3,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-15.2,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-15.1,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-15,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-14.9,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-14.8,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-14.7,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-14.6,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-14.5,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-14.4,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-14.3,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-14.2,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-14.1,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-14,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
-13.9,22,73.959846,206.57558,-330.92084,478.84055,-37.498283,231.01715,-490.28357,415.28702
