temp,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high
-20,-18.731977,28.108095,-73.82283,36.358879,-205.35907,78.352715,-358.92755,-51.790565
-19.9,-18.636379,27.993017,-73.501686,36.228928,-204.4231,78.01165,-357.32312,-51.523075
-19.8,-18.541019,27.878193,-73.181274,36.099236,-203.48927,77.671371,-355.72235,-51.256172
-19.7,-18.445898,27.763622,-72.861595,35.969803,-202.55756,77.331886,-354.12527,-50.989853
-19.6,-18.351013,27.649305,-72.542656,35.84063,-201.62798,76.993179,-352.53183,-50.724117
-19.5,-18.256367,27.535242,-72.224449,35.711716,-200.70053,76.655266,-350.94211,-50.458969
-19.4,-18.161959,27.421432,-71.906975,35.583061,-199.77521,76.318138,-349.35602,-50.194405
-19.3,-18.067787,27.307877,-71.59024,35.454666,-198.85202,75.981804,-347.77362,-49.930424
-19.2,-17.973852,27.194574,-71.274239,35.32653,-197.93095,75.646248,-346.19485,-49.667027
-19.1,-17.880157,27.081526,-70.958969,35.198658,-197.01201,75.311485,-344.61981,-49.404217
-19,-17.786699,26.968729,-70.64444,35.071041,-196.0952,74.977501,-343.0484,-49.141991
-18.9,-17.69348,26.856188,-70.330643,34.943684,-195.18051,74.644318,-341.48068,-48.880352
-18.8,-17.600496,26.7439,-70.017578,34.816586,-194.26796,74.311913,-339.91663,-48.619297
-18.7,-17.507751,26.631866,-69.705254,34.689751,-193.35754,73.980293,-338.35626,-48.358826
-18.6,-17.415243,26.520086,-69.393661,34.563171,-192.44925,73.649467,-336.79953,-48.098938
-18.5,-17.322975,26.40856,-69.082802,34.436852,-191.54308,73.319427,-335.24652,-47.839638
-18.4,-17.230942,26.297287,-68.772675,34.310791,-190.63902,72.990173,-333.69714,-47.580921
-18.3,-17.139149,26.186268,-68.463287,34.184994,-189.73712,72.661705,-332.15146,-47.322788
-18.2,-17.047592,26.0755,-68.154633,34.059452,-188.83733,72.33403,-330.60944,-47.065239
-18.1,-16.956272,25.964989,-67.846718,33.93417,-187.93967,72.007141,-329.07108,-46.808277
-18,-16.865192,25.854731,-67.539528,33.809147,-187.04414,71.681038,-327.53638,-46.551899
-17.9,-16.774349,25.744724,-67.233086,33.684383,-186.15074,71.355721,-326.00537,-46.296104
-17.8,-16.683743,25.634974,-66.927368,33.559879,-185.25948,71.031189,-324.47806,-46.040897
-17.7,-16.593374,25.525475,-66.622383,33.435635,-184.37033,70.707451,-322.95438,-45.78627
