temp,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high
-20,-34.329308,46.903347,-126.25818,57.599564,289.04996,115.90134,61.887531,516.2124
-19.9,-34.086716,46.552841,-125.32861,57.155174,286.43155,114.97463,61.085407,511.77771
-19.799999,-33.845169,46.20433,-124.40399,56.71365,283.82733,114.05289,60.287773,507.36685
-19.700001,-33.604679,45.857819,-123.48435,56.274998,281.23727,113.13609,59.494625,502.97995
-19.6,-33.365223,45.51329,-122.56963,55.839188,278.66132,112.2242,58.705921,498.6167
-19.5,-33.126816,45.170746,-121.65985,55.406223,276.0994,111.31722,57.921658,494.27716
-19.4,-32.889442,44.830185,-120.75499,54.976101,273.55154,110.41515,57.141819,489.96127
-19.299999,-32.653114,44.491596,-119.85504,54.548813,271.0177,109.51798,56.366398,485.66898
-19.200001,-32.41782,44.154987,-118.96001,54.124363,268.49786,108.6257,55.595387,481.40033
-19.1,-32.183559,43.820335,-118.06984,53.702721,265.99188,107.73828,54.828743,477.15506
-19,-31.950331,43.487648,-117.18456,53.283894,263.49985,106.85572,54.066467,472.9332
-18.9,-31.718132,43.156918,-116.30414,52.867874,261.02164,105.97801,53.30854,468.73471
-18.799999,-31.486961,42.828144,-115.42858,52.454659,258.55725,105.10515,52.554951,464.55954
-18.700001,-31.256819,42.501324,-114.55788,52.044243,256.10669,104.23712,51.805698,460.40771
-18.6,-31.027699,42.176441,-113.692,51.636604,253.66986,103.3739,51.060738,456.27899
-18.5,-30.799599,41.853497,-112.83095,51.23175,251.24673,102.51549,50.320068,452.1734
-18.4,-30.572517,41.53249,-111.9747,50.82967,248.83728,101.66187,49.583672,448.09088
-18.299999,-30.346455,41.213417,-111.12327,50.430355,246.44147,100.81304,48.85154,444.0314
-18.200001,-30.12141,40.896275,-110.27663,50.033813,244.05931,99.969009,48.123661,439.99496
-18.1,-29.897377,40.581047,-109.43477,49.640018,241.69069,99.129723,47.399998,435.98138
-18,-29.674353,40.267742,-108.59767,49.24897,239.33559,98.295189,46.68055,431.99063
-17.9,-29.452339,39.956348,-107.76534,48.860661,236.99399,97.465408,45.965298,428.02267
-17.799999,-29.231331,39.646862,-106.93775,48.47509,234.66585,96.64035,45.25423,424.07745
-17.700001,-29.011333,39.339291,-106.11492,48.092255,232.35117,95.820038,44.54734,420.155
-17.6,-28.792334,39.033611,-105.29681,47.712135,230.04985,95.004425,43.844589,416.2551
-17.5,-28.574335,38.729828,-104.4834,47.334732,227.76187,94.193512,43.145973,412.37778
-17.4,-28.357336,38.427937,-103.67471,46.960033,225.48721,93.387299,42.451473,408.52295
-17.299999,-28.141333,38.127934,-102.8707,46.588039,223.22583,92.585762,41.761082,404.69058
-17.200001,-27.926329,37.829815,-102.0714,46.21875,220.97774,91.78891,41.074787,400.88071
-17.1,-27.712311,37.533573,-101.27676,45.852142,218.74281,90.996704,40.392551,397.09308
-17,-27.499285,37.239204,-100.48679,45.488213,216.52107,90.20916,39.714371,393.32776
-16.9,-27.287247,36.946705,-99.701462,45.126965,214.31245,89.426247,39.04023,389.58469
-16.799999,-27.076195,36.656071,-98.920776,44.768383,212.11693,88.647964,38.37011,385.86374
-16.700001,-26.866133,36.367302,-98.144737,44.412472,209.93452,87.874321,37.704014,382.16504
-16.6,-26.657045,36.080387,-97.373306,44.059212,207.76509,87.105278,37.041893,378.48828
-16.5,-26.44894,35.795322,-96.606483,43.708599,205.60866,86.340828,36.383747,374.83356
-16.4,-26.241812,35.512104,-95.844254,43.36063,203.46518,85.580971,35.729561,371.20081
-16.299999,-26.03566,35.230728,-95.086617,43.015301,201.33461,84.825691,35.079315,367.5899
-16.200001,-25.830484,34.951199,-94.333572,42.672604,199.21698,84.074997,34.433006,364.00095
-16.1,-25.626278,34.673496,-93.585083,42.332527,197.11214,83.32885,33.790596,360.43369
-16,-25.42304,34.397625,-92.841141,41.995064,195.02013,82.587257,33.152077,356.88815
-15.9,-25.22077,34.123577,-92.101753,41.660213,192.94087,81.850197,32.517433,353.36432
-15.8,-25.019466,33.851353,-91.366898,41.327969,190.87437,81.117676,31.886656,349.86209
-15.7,-24.819124,33.580944,-90.636566,40.998318,188.82057,80.389671,31.259714,346.38144
-15.6,-24.619745,33.312351,-89.910751,40.671261,186.77945,79.666183,30.636604,342.9223
-15.5,-24.421322,33.045559,-89.18943,40.346783,184.75093,78.947182,30.017298,339.48456
-15.4,-24.223858,32.780571,-88.472603,40.024883,182.73502,78.232681,29.401783,336.06824
-15.3,-24.027349,32.517387,-87.760254,39.705559,180.73167,77.522659,28.790049,332.67328
-15.2,-23.831791,32.255993,-87.052376,39.38879,178.74083,76.817108,28.182066,329.29959
-15.1,-23.637186,31.996389,-86.348961,39.074585,176.7625,76.11602,27.577829,325.94714
-15,-23.443529,31.738571,-85.649986,38.762928,174.79659,75.41938,26.97731,322.61584
