temp,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high
-20,-4.5384226,38.570019,-80.13427,71.057426,175.91916,1649.63,-3057.2964,3409.1345
-19.9,-4.5670328,38.289795,-79.613655,70.479591,172.72502,1639.6816,-3040.9919,3386.4419
-19.8,-4.5952191,38.011112,-79.095634,69.905197,169.55191,1629.7731,-3024.7446,3363.8484
-19.7,-4.622982,37.733963,-78.580193,69.334229,166.39972,1619.9043,-3008.5544,3341.3538
-19.6,-4.6503234,37.458347,-78.067337,68.766685,163.26842,1610.0752,-2992.4211,3318.958
-19.5,-4.6772456,37.184258,-77.557053,68.20256,160.15794,1600.2859,-2976.3447,3296.6606
-19.4,-4.7037497,36.911694,-77.049339,67.641838,157.06824,1590.536,-2960.325,3274.4614
-19.3,-4.7298379,36.640648,-76.544189,67.084511,153.99924,1580.8257,-2944.3621,3252.3606
-19.2,-4.7555113,36.37112,-76.041595,66.530571,150.9509,1571.1547,-2928.4558,3230.3574
-19.1,-4.7807717,36.103104,-75.541557,65.980011,147.92314,1561.5231,-2912.6057,3208.4521
-19,-4.8056207,35.836601,-75.044067,65.432823,144.91594,1551.9307,-2896.8123,3186.644
-18.9,-4.8300605,35.571602,-74.549118,64.889,141.92921,1542.3774,-2881.075,3164.9333
-18.8,-4.8540921,35.308105,-74.056709,64.348526,138.96291,1532.8633,-2865.394,3143.3198
-18.7,-4.877718,35.046112,-73.566833,63.811398,136.01695,1523.3882,-2849.769,3121.803
-18.6,-4.900939,34.78561,-73.079483,63.277607,133.09132,1513.9519,-2834.2,3100.3826
-18.5,-4.9237571,34.526604,-72.594658,62.747143,130.18594,1504.5546,-2818.6868,3079.0588
-18.4,-4.9461741,34.269085,-72.112343,62.219997,127.30075,1495.196,-2803.2295,3057.8311
-18.3,-4.9681916,34.01305,-71.632545,61.696163,124.4357,1485.8761,-2787.8279,3036.6992
-18.2,-4.9898114,33.758499,-71.155258,61.175632,121.59072,1476.5948,-2772.4819,3015.6633
-18.1,-5.0110354,33.505424,-70.680466,60.658394,118.76577,1467.3521,-2757.1914,2994.7229
-18,-5.0318646,33.253826,-70.208168,60.14444,115.96078,1458.1477,-2741.9563,2973.8777
-17.9,-5.0523009,33.0037,-69.738365,59.633762,113.17569,1448.9818,-2726.7764,2953.1277
-17.8,-5.0723462,32.755039,-69.271042,59.126354,110.41045,1439.8541,-2711.6519,2932.4727
-17.7,-5.0920019,32.507843,-68.806206,58.622204,107.66499,1430.7646,-2696.5823,2911.9121
-17.6,-5.11127,32.262112,-68.343842,58.121304,104.93928,1421.7134,-2681.5676,2891.4463
-17.5,-5.1301522,32.017834,-67.883949,57.623646,102.23324,1412.7001,-2666.6082,2871.0745
-17.4,-5.1486497,31.775007,-67.426521,57.129219,99.546814,1403.7249,-2651.7034,2850.7969
-17.3,-5.1667647,31.533634,-66.97155,56.63802,96.879951,1394.7875,-2636.8533,2830.613
-17.2,-5.1844983,31.293705,-66.519035,56.150036,94.23259,1385.8879,-2622.0579,2810.5229
-17.1,-5.2018528,31.055222,-66.06897,55.66526,91.604675,1377.0261,-2607.3169,2790.5261
-17,-5.2188296,30.818174,-65.621346,55.183685,88.99614,1368.2019,-2592.6304,2770.6226
