temp,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high
-20,-44.972332,37.747986,-118.95702,29.012363,-356.4115,96.571838,-545.68884,-167.13419
-19.9,-44.871136,37.59713,-118.56016,28.817883,-355.09308,96.190994,-543.62396,-166.56219
-19.799999,-44.769966,37.446632,-118.16402,28.624088,-353.77704,95.811066,-541.56329,-165.99081
-19.700001,-44.668819,37.296505,-117.76862,28.430983,-352.46344,95.43206,-539.50684,-165.42004
-19.6,-44.567696,37.146732,-117.37395,28.238562,-351.15219,95.053947,-537.45447,-164.84987
-19.5,-44.466599,36.997322,-116.98002,28.046825,-349.84332,94.67675,-535.40631,-164.2803
-19.4,-44.36552,36.848278,-116.58681,27.855776,-348.53683,94.300453,-533.3623,-163.71135
-19.299999,-44.264469,36.699593,-116.19434,27.665411,-347.23276,93.925072,-531.32251,-163.14299
-19.200001,-44.163441,36.551273,-115.80262,27.475737,-345.93106,93.550606,-529.28687,-162.57526
-19.1,-44.062435,36.403309,-115.41161,27.286743,-344.63177,93.17704,-527.25543,-162.00812
-19,-43.961452,36.255711,-115.02134,27.098436,-343.33484,92.804382,-525.22809,-161.44159
-18.9,-43.860493,36.108475,-114.6318,26.910816,-342.04031,92.432632,-523.20496,-160.87567
-18.799999,-43.759556,35.961597,-114.243,26.723881,-340.74817,92.061798,-521.18597,-160.31036
-18.700001,-43.658646,35.815086,-113.85493,26.537634,-339.45844,91.691872,-519.1712,-159.74567
-18.6,-43.557758,35.668934,-113.46758,26.352068,-338.17105,91.322845,-517.16052,-159.18158
-18.5,-43.456894,35.523144,-113.08097,26.167187,-336.88608,90.954727,-515.15405,-158.61809
-18.4,-43.356049,35.377712,-112.69509,25.982992,-335.60349,90.587517,-513.15173,-158.05522
-18.299999,-43.255234,35.232643,-112.30994,25.79948,-334.32327,90.221214,-511.15363,-157.49295
-18.200001,-43.154438,35.08794,-111.92554,25.616659,-333.0455,89.855827,-509.15967,-156.9313
-18.1,-43.053669,34.943596,-111.54185,25.434517,-331.77008,89.491341,-507.16986,-156.37027
-18,-42.952919,34.79961,-111.15891,25.253061,-330.49704,89.127754,-505.18423,-155.80984
-17.9,-42.852196,34.655987,-110.77668,25.072289,-329.22638,88.765083,-503.20273,-155.25002
-17.799999,-42.751495,34.512726,-110.3952,24.8922,-327.95813,88.403313,-501.22543,-154.69081
-17.700001,-42.650822,34.369827,-110.01444,24.712801,-326.69226,88.04245,-499.25232,-154.13223
-17.6,-42.550167,34.227287,-109.63441,24.534081,-325.42877,87.682495,-497.28333,-153.57425
-17.5,-42.449535,34.085106,-109.25512,24.356045,-324.16769,87.323441,-495.31848,-153.01689
-17.4,-42.34893,33.943287,-108.87655,24.178692,-322.909,86.965294,-493.35782,-152.46013
-17.299999,-42.248344,33.80183,-108.49872,24.002024,-321.65268,86.608055,-491.40134,-151.90399
-17.200001,-42.147789,33.660736,-108.12162,23.826042,-320.39877,86.251724,-489.44904,-151.34848
-17.1,-42.047253,33.52,-107.74524,23.65074,-319.14722,85.896294,-487.50085,-150.79358
-17,-41.946739,33.379623,-107.3696,23.476122,-317.89807,85.541771,-485.55685,-150.23927
-16.9,-41.846249,33.239609,-106.99468,23.302187,-316.65131,85.188148,-483.617,-149.68561
-16.799999,-41.745785,33.099953,-106.6205,23.128933,-315.40692,84.835426,-481.6813,-149.13254
-16.700001,-41.645344,32.960663,-106.24706,22.956367,-314.16495,84.48362,-479.74982,-148.58011
-16.6,-41.544926,32.821728,-105.87433,22.784481,-312.92535,84.132706,-477.82245,-148.02827
-16.5,-41.444527,32.683155,-105.50233,22.613276,-311.68814,83.7827,-475.89923,-147.47707
-16.4,-41.344158,32.544941,-105.13107,22.442753,-310.45331,83.433594,-473.98016,-146.92648
-16.299999,-41.243809,32.407085,-104.76053,22.272913,-309.22089,83.085396,-472.06528,-146.37651
-16.200001,-41.143486,32.269596,-104.39073,22.10376,-307.99088,82.738106,-470.15457,-145.82716
-16.1,-41.043182,32.132462,-104.02165,21.935284,-306.76321,82.391708,-468.24799,-145.27843
-16,-40.942905,31.995687,-103.6533,21.767488,-305.53793,82.046219,-466.34558,-144.73032
-15.9,-40.842651,31.859272,-103.28568,21.600376,-304.31506,81.701622,-464.4473,-144.18282
-15.8,-40.74242,31.723219,-102.91879,21.433947,-303.09457,81.357941,-462.55322,-143.63596
-15.7,-40.642212,31.587524,-102.55263,21.268198,-301.87646,81.015152,-460.66324,-143.08969
-15.6,-40.54203,31.45219,-102.18719,21.10313,-300.66077,80.673264,-458.77747,-142.54407
-15.5,-40.441868,31.317215,-101.82248,20.938742,-299.44745,80.332283,-456.89581,-141.99907
-15.4,-40.341732,31.182598,-101.4585,20.775036,-298.23651,79.992195,-455.01834,-141.45468
-15.3,-40.241619,31.048342,-101.09525,20.612011,-297.02798,79.653015,-453.14502,-140.91092
-15.2,-40.141529,30.914442,-100.73273,20.449665,-295.82181,79.314735,-451.27582,-140.36778
