temp,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high
-20,-343.09955,37.020451,-415.65829,-270.5408,814.83917,244.26003,336.0983,1293.58
-19.9,-341.14441,36.713089,-413.10074,-269.18808,808.91956,242.15923,334.29617,1283.5428
-19.8,-339.19681,36.407364,-410.55392,-267.83969,803.02747,240.06929,332.50027,1273.5546
-19.7,-337.25671,36.103279,-408.01782,-266.49557,797.16278,237.99022,330.71057,1263.6151
-19.6,-335.3241,35.800823,-405.4924,-265.15576,791.32556,235.92195,328.92706,1253.7241
-19.5,-333.39896,35.499996,-402.97766,-263.82022,785.51569,233.86447,327.14975,1243.8816
-19.4,-331.48126,35.200794,-400.47354,-262.48898,779.73303,231.81776,325.37857,1234.0875
-19.3,-329.57101,34.903214,-397.98007,-261.16199,773.97766,229.78181,323.61359,1224.3417
-19.2,-327.66821,34.607243,-395.49716,-259.83926,768.24939,227.75656,321.85474,1214.644
-19.1,-325.77283,34.312889,-393.02484,-258.52081,762.54822,225.74202,320.10202,1204.9945
-19,-323.88483,34.020142,-390.56308,-257.20657,756.87408,223.73814,318.35541,1195.3928
-18.9,-322.00424,33.728996,-388.11185,-255.89661,751.22693,221.7449,316.6149,1185.8389
-18.8,-320.13098,33.439453,-385.67111,-254.59087,745.60663,219.76228,314.88049,1176.3328
-18.7,-318.26511,33.151508,-383.24088,-253.28935,740.01318,217.79025,313.15216,1166.8743
-18.6,-316.40659,32.86515,-380.82111,-251.99207,734.44653,215.8288,311.42987,1157.4633
-18.5,-314.55536,32.580383,-378.41174,-250.69899,728.90662,213.87788,309.71368,1148.0996
-18.4,-312.71146,32.297199,-376.01282,-249.41013,723.39331,211.93748,308.00351,1138.7832
-18.3,-310.87488,32.015598,-373.6243,-248.12546,717.90662,210.00758,306.29935,1129.5139
-18.2,-309.04556,31.735569,-371.24612,-246.84499,712.44647,208.08813,304.60123,1120.2917
-18.1,-307.22351,31.457115,-368.87833,-245.5687,707.01276,206.17915,302.90909,1111.1165
-18,-305.40872,31.180229,-366.52084,-244.29659,701.60553,204.28058,301.22293,1101.988
-17.9,-303.60114,30.904905,-364.17365,-243.02864,696.22455,202.3924,299.54276,1092.9064
-17.8,-301.80081,30.631144,-361.83676,-241.76488,690.86993,200.51459,297.86856,1083.8712
-17.7,-300.00769,30.358938,-359.51013,-240.50526,685.54144,198.64711,296.20029,1074.8827
-17.6,-298.22177,30.088285,-357.19373,-239.2498,680.2392,196.78996,294.53796,1065.9404
-17.5,-296.44302,29.819181,-354.88754,-237.99849,674.96301,194.94312,292.88153,1057.0444
-17.4,-294.67142,29.551622,-352.59155,-236.75131,669.71289,193.10652,291.23105,1048.1947
-17.3,-292.90698,29.285604,-350.30573,-235.50827,664.48871,191.28018,289.58643,1039.391
-17.2,-291.14969,29.021122,-348.03006,-234.26935,659.29041,189.46407,287.94769,1030.6332
-17.1,-289.39954,28.758173,-345.7645,-233.03453,654.11804,187.65814,286.31482,1021.9212
-17,-287.65646,28.496754,-343.50906,-231.80385,648.97137,185.86238,284.68781,1013.2549
-16.9,-285.92047,28.236858,-341.2637,-230.57724,643.85046,184.07677,283.06665,1004.6343
-16.8,-284.19156,27.978485,-339.02838,-229.35475,638.75525,182.30128,281.45129,996.0592
-16.7,-282.46973,27.72163,-336.80313,-228.13634,633.68561,180.53589,279.84174,987.52948
-16.6,-280.75494,27.466288,-334.58786,-226.92201,628.64148,178.78058,278.23801,979.04498
-16.5,-279.04718,27.212454,-332.3826,-225.71175,623.62286,177.03531,276.64005,970.60571
-16.4,-277.34644,26.960127,-330.18732,-224.50557,618.62964,175.30006,275.04785,962.21149
-16.3,-275.65271,26.709301,-328.00198,-223.30344,613.6618,173.57481,273.46143,953.86218
-16.2,-273.96594,26.459974,-325.82654,-222.10536,608.71924,171.85954,271.88074,945.55774
-16.1,-272.28619,26.212141,-323.66104,-220.91133,603.80188,170.15422,270.30576,937.29803
-16,-270.61337,25.965797,-321.5054,-219.72134,598.90973,168.45883,268.73651,929.08295
-15.9,-268.94751,25.720942,-319.35962,-218.53539,594.04266,166.77333,267.17294,920.91241
-15.8,-267.28854,25.477566,-317.22366,-217.35344,589.20062,165.09772,265.61505,912.78619
-15.7,-265.63654,25.235672,-315.09753,-216.17552,584.38361,163.43195,264.06287,904.70435
-15.6,-263.99139,24.995251,-312.9812,-215.00162,579.59149,161.77602,262.5163,896.66663
-15.5,-262.35318,24.756302,-310.87463,-213.83171,574.82422,160.12988,260.9754,888.67303
-15.4,-260.7218,24.518818,-308.7778,-212.6658,570.08173,158.49355,259.44009,880.72339
-15.3,-259.09729,24.282799,-306.6907,-211.50388,565.36401,156.86694,257.91043,872.81757
-15.2,-257.47961,24.048241,-304.61331,-210.34593,560.6709,155.25009,256.38635,864.95551
-15.1,-255.86877,23.815136,-302.54559,-209.19197,556.00244,153.64294,254.86784,857.13708
-15,-254.26476,23.583485,-300.48752,-208.04196,551.35852,152.04547,253.35489,849.36218
-14.9,-252.66751,23.353281,-298.43912,-206.89592,546.73914,150.45767,251.8475,841.63074
-14.8,-251.07707,23.124523,-296.4003,-205.75383,542.1441,148.8795,250.34564,833.94257
-14.7,-249.49339,22.897203,-294.37109,-204.61569,537.57349,147.31094,248.8493,826.29761
-14.6,-247.91646,22.671322,-292.35144,-203.48148,533.0271,145.75198,247.35847,818.69574
-14.5,-246.34627,22.446875,-290.34134,-202.35121,528.505,144.20259,245.87312,811.1369
-14.4,-244.78281,22.223856,-288.34076,-201.22485,524.00708,142.66273,244.39325,803.62091
-14.3,-243.22604,22.002262,-286.3497,-200.1024,519.53326,141.1324,242.91882,796.14764
-14.2,-241.67599,21.782091,-284.3681,-198.98387,515.0835,139.61156,241.44984,788.7171
-14.1,-240.13261,21.563337,-282.39597,-197.86925,510.65768,138.10019,239.98628,781.3291
-14,-238.59589,21.345999,-280.43329,-196.7585,506.25583,136.59827,238.52814,773.98352
-13.9,-237.06583,21.13007,-278.48001,-195.65166,501.87784,135.10577,237.07538,766.6803
-13.8,-235.5424,20.915548,-276.53613,-194.54868,497.52365,133.62268,235.62799,759.41931
-13.7,-234.02559,20.702431,-274.60162,-193.44957,493.19321,132.14897,234.18596,752.20044
-13.6,-232.5154,20.490711,-272.67645,-192.35434,488.88641,130.68462,232.74928,745.02356
-13.5,-231.01178,20.28039,-270.76062,-191.26295,484.60327,129.2296,231.31792,737.88861
-13.4,-229.51476,20.071459,-268.8541,-190.17542,480.34366,127.78388,229.89186,730.79547
-13.3,-228.02428,19.863918,-266.95685,-189.09172,476.10754,126.34746,228.47108,723.74402
-13.2,-226.54036,19.657761,-265.06888,-188.01186,471.89487,124.9203,227.05559,716.73419
-13.1,-225.06297,19.452986,-263.19012,-186.93582,467.70557,123.50238,225.64536,709.76581
-13,-223.5921,19.249588,-261.32059,-185.8636,463.53958,122.09368,224.24034,702.83881
-12.9,-222.12773,19.047565,-259.46027,-184.7952,459.39682,120.69418,222.84056,695.95306
-12.8,-220.66986,18.846912,-257.60913,-183.73059,455.27722,119.30386,221.44597,689.10852
-12.7,-219.21844,18.647627,-255.76712,-182.66977,451.18079,117.92268,220.05656,682.30499
-12.6,-217.7735,18.449703,-253.93427,-181.61275,447.10739,116.55064,218.67233,675.54242
-12.5,-216.33501,18.253141,-252.1105,-180.55951,443.05698,115.18771,217.29323,668.82074
-12.4,-214.90294,18.057934,-250.29584,-179.51004,439.02951,113.83385,215.91927,662.13977
-12.3,-213.47728,17.86408,-248.49023,-178.46432,435.02493,112.48907,214.5504,655.49945
-12.2,-212.05803,17.671576,-246.69368,-177.42238,431.04315,111.15333,213.18663,648.89966
-12.1,-210.64516,17.480417,-244.90614,-176.38417,427.08411,109.82661,211.82791,642.34033
-12,-209.23866,17.2906,-243.12761,-175.34972,423.14777,108.50889,210.47426,635.82129
-11.9,-207.83853,17.102121,-241.35806,-174.31898,419.23404,107.20014,209.12563,629.34247
-11.8,-206.44473,16.914978,-239.59747,-173.29198,415.3429,105.90036,207.782,622.90375
-11.7,-205.05725,16.729166,-237.84583,-172.26869,411.47421,104.60951,206.44336,616.50513
-11.6,-203.6761,16.544683,-236.10307,-171.24911,407.62799,103.32758,205.10968,610.14636
-11.5,-202.30124,16.361525,-234.36923,-170.23323,403.80417,102.05453,203.78094,603.82739
-11.4,-200.93266,16.179688,-232.64426,-169.22105,400.00262,100.79037,202.45714,597.54816
-11.3,-199.57034,15.999169,-230.92815,-168.21255,396.22336,99.535057,201.13823,591.30847
-11.2,-198.21429,15.819965,-229.22086,-167.20773,392.46628,98.288582,199.82419,585.10834
-11.1,-196.86447,15.642073,-227.52237,-166.20657,388.73132,97.050911,198.51501,578.94763
-11,-195.52089,15.465487,-225.83269,-165.20909,385.01843,95.822044,197.21068,572.82617
-10.9,-194.1835,15.290208,-224.15175,-164.21524,381.32755,94.601944,195.91113,566.74396
-10.8,-192.85231,15.116229,-222.47957,-163.22505,377.6586,93.390594,194.61638,560.70081
-10.7,-191.5273,14.943548,-220.81612,-162.23848,374.01154,92.187988,193.3264,554.69666
-10.6,-190.20847,14.772162,-219.16136,-161.25555,370.38629,90.994087,192.04114,548.73145
-10.5,-188.89577,14.602068,-217.51529,-160.27625,366.78281,89.808891,190.7606,542.80499
-10.4,-187.58922,14.433262,-215.87788,-159.30054,363.20099,88.63237,189.48474,536.91724
-10.3,-186.28877,14.265741,-214.24911,-158.32845,359.64084,87.464508,188.21355,531.06812
-10.2,-184.99445,14.099503,-212.62897,-157.35992,356.10223,86.30529,186.94699,525.25751
-10.1,-183.70621,13.934543,-211.01741,-156.395,352.58517,85.154694,185.68503,519.48529
-10,-182.42406,13.770859,-209.41444,-155.43367,349.08954,84.012703,184.42766,513.7514
-9.9,-181.14796,13.608447,-207.82002,-154.47589,345.61526,82.879295,183.17484,508.05573
-9.800000000000001,-179.87791,13.447305,-206.23415,-153.52168,342.16235,81.754463,181.92653,502.39816
-9.699999999999999,-178.61389,13.287429,-204.65677,-152.57101,338.73068,80.638191,180.68272,496.77863
-9.6,-177.3559,13.128817,-203.08791,-151.62389,335.32022,79.530457,179.44339,491.19702
-9.5,-176.1039,12.971464,-201.52751,-150.6803,331.93088,78.431236,178.20848,485.65329
-9.4,-174.85789,12.81537,-199.97556,-149.74023,328.56262,77.34053,176.97797,480.14728
-9.300000000000001,-173.61787,12.66053,-198.43205,-148.80368,325.21536,76.258308,175.75183,474.67889
-9.199999999999999,-172.38379,12.506942,-196.89696,-147.87064,321.88907,75.18457,174.53003,469.24811
-9.1,-171.15567,12.354602,-195.37024,-146.9411,318.58368,74.119286,173.31253,463.8548
-9,-169.93347,12.203507,-193.85191,-146.01505,315.29907,73.062454,172.0993,458.49887
-8.9,-168.71719,12.053657,-192.34192,-145.09245,312.03528,72.014053,170.89032,453.18021
-8.800000000000001,-167.50682,11.905046,-190.84027,-144.17336,308.79214,70.974068,169.68553,447.89877
-8.699999999999999,-166.30232,11.757672,-189.34694,-143.25771,305.56967,69.942497,168.48491,442.65445
-8.6,-165.1037,11.611533,-187.86189,-142.3455,302.3678,68.919319,167.28841,437.44717
-8.5,-163.91093,11.466627,-186.3851,-141.43675,299.1864,67.904518,166.09599,432.27682
-8.4,-162.72401,11.322949,-184.91658,-140.53143,296.02548,66.898094,164.90762,427.14334
-8.300000000000001,-161.54291,11.180498,-183.45628,-139.62953,292.88495,65.900032,163.72327,422.04663
-8.199999999999999,-160.36763,11.039271,-182.0042,-138.73105,289.76474,64.910316,162.54286,416.98663
-8.1,-159.19814,10.899266,-180.56032,-137.83597,286.66483,63.928947,161.36638,411.96326
-8,-158.03444,10.760481,-179.12459,-136.94429,283.58508,62.955906,160.19379,406.97641
-7.9,-156.87651,10.622911,-177.69702,-136.05598,280.52551,61.991192,159.02501,402.026
-7.8,-155.72432,10.486556,-176.2776,-135.17105,277.48602,61.03479,157.86002,397.112
-7.7,-154.57788,10.351412,-174.86627,-134.28949,274.46652,60.086697,156.69876,392.23428
-7.6,-153.43716,10.217478,-173.46306,-133.41127,271.46701,59.146912,155.5412,387.39282
-7.5,-152.30215,10.084751,-172.0679,-132.53641,268.4874,58.21542,154.38727,382.58752
-7.4,-151.17285,9.953229,-170.68082,-131.66487,265.52759,57.292221,153.23691,377.8183
-7.3,-150.04921,9.8229094,-169.30176,-130.79666,262.58759,56.377316,152.09007,373.08508
-7.2,-148.93124,9.6937904,-167.93073,-129.93176,259.66727,55.470695,150.94672,368.38785
-7.1,-147.81892,9.5658703,-166.56769,-129.07018,256.76663,54.572361,149.80675,363.72647
-7,-146.71225,9.439146,-165.21263,-128.21187,253.88554,53.682312,148.67015,359.10095
-6.9,-145.61119,9.3136158,-163.86554,-127.35683,251.024,52.800549,147.53682,354.51117
-6.8,-144.51573,9.1892786,-162.5264,-126.50508,248.18192,51.927074,146.40672,349.95709
-6.7,-143.42587,9.0661316,-161.19518,-125.65659,245.35922,51.061886,145.27977,345.43869
-6.6,-142.3416,8.9441738,-159.87186,-124.81133,242.55588,50.204994,144.1559,340.95587
-6.5,-141.26288,8.8234024,-158.55643,-123.96932,239.77182,49.356403,143.03505,336.50858
-6.4,-140.1897,8.7038164,-157.24887,-123.13053,237.00696,48.516113,141.91711,332.0968
-6.3,-139.12207,8.5854139,-155.94916,-122.29496,234.26126,47.684143,140.80205,327.72046
-6.2,-138.05994,8.4681931,-154.6573,-121.46259,231.53464,46.860493,139.68976,323.37952
-6.1,-137.00333,8.3521528,-153.37325,-120.63341,228.82706,46.045181,138.58017,319.07394
-6,-135.95219,8.2372923,-152.097,-119.8074,226.13844,45.238216,137.47318,314.80371
-5.9,-134.90654,8.1236086,-150.82852,-118.98457,223.46873,44.439613,136.36868,310.56879
-5.8,-133.86635,8.0111008,-149.56783,-118.16488,220.81786,43.649391,135.26662,306.36911
-5.7,-132.8316,7.8997679,-148.31487,-117.34834,218.18578,42.867569,134.16687,302.20465
-5.6,-131.80228,7.7896085,-147.06964,-116.53493,215.5724,42.094166,133.06935,298.07544
-5.5,-130.77838,7.6806221,-145.83212,-115.72464,212.97768,41.329205,131.97394,293.98145
-5.4,-129.75987,7.5728068,-144.60231,-114.91745,210.40157,40.572708,130.88051,289.92261
-5.3,-128.74677,7.4661622,-143.38017,-114.11335,207.84398,39.824711,129.78897,285.89896
-5.2,-127.73901,7.3606868,-142.1657,-113.31233,205.30486,39.085236,128.6992,281.91052
-5.1,-126.73663,7.2563806,-140.95888,-112.51438,202.78415,38.354317,127.61106,277.95721
-5,-125.73959,7.1532421,-139.75967,-111.71949,200.28178,37.631996,126.52443,274.03912
-4.9,-124.74786,7.0512705,-138.5681,-110.92763,197.7977,36.918304,125.43916,270.15625
-4.8,-123.76146,6.9504662,-137.38412,-110.13879,195.33185,36.213287,124.35511,266.30859
-4.7,-122.78035,6.8508272,-136.20773,-109.35297,192.88416,35.516987,123.27213,262.49615
-4.6,-121.80453,6.7523541,-135.03889,-108.57015,190.45456,34.829456,122.19007,258.71902
-4.5,-120.83397,6.6550465,-133.87762,-107.79032,188.043,34.150745,121.10876,254.97722
-4.4,-119.86867,6.5589037,-132.72388,-107.01345,185.6494,33.480911,120.02803,251.27078
-4.3,-118.90861,6.4639254,-131.57767,-106.23955,183.27373,32.820011,118.94769,247.59976
-4.2,-117.95377,6.3701115,-130.43895,-105.46857,180.91591,32.16811,117.86757,243.96425
-4.1,-117.00414,6.277462,-129.30774,-104.70054,178.57587,31.525276,116.78747,240.36427
-4,-116.0597,6.1859775,-128.18399,-103.93541,176.25356,30.891584,115.70717,236.79996
-3.9,-115.12045,6.0956569,-127.06772,-103.17318,173.94891,30.267111,114.62647,233.27136
-3.8,-114.18636,6.0065017,-125.95889,-102.41383,171.66188,29.651939,113.54514,229.77861
-3.7,-113.25742,5.9185109,-124.85749,-101.65736,169.39238,29.046158,112.46295,226.32179
-3.6,-112.33363,5.8316855,-123.76352,-100.90373,167.14035,28.44986,111.37965,222.90105
-3.5,-111.41494,5.7460256,-122.67695,-100.15294,164.90575,27.863146,110.29498,219.51649
-3.4,-110.50137,5.6615319,-121.59777,-99.404968,162.68849,27.286118,109.20868,216.1683
-3.3,-109.59289,5.5782051,-120.52597,-98.659813,160.48853,26.718891,108.12046,212.8566
-3.2,-108.68948,5.4960451,-119.46154,-97.917435,158.3058,26.161581,107.03004,209.58156
-3.1,-107.79115,5.4150529,-118.40446,-97.177834,156.14023,25.614311,105.9371,206.34337
-3,-106.89785,5.3352294,-117.35471,-96.440994,153.99178,25.077215,104.84134,203.14221
-2.9,-106.0096,5.2565756,-116.31229,-95.706894,151.86037,24.550426,103.74242,199.97832
-2.8,-105.12635,5.179091,-115.27718,-94.975525,149.74594,24.03409,102.63998,196.85188
-2.7,-104.24812,5.102778,-114.24937,-94.246857,147.64842,23.528358,101.53369,193.76317
-2.6,-103.37487,5.0276365,-113.22886,-93.520882,145.56778,23.03339,100.42316,190.71239
-2.5,-102.5066,4.9536676,-112.21561,-92.797585,143.50392,22.549349,99.308014,187.69983
-2.4,-101.64328,4.8808727,-111.20962,-92.07695,141.4568,22.076405,98.187851,184.72577
-2.3,-100.78491,4.8092518,-110.21088,-91.358955,139.42636,21.614738,97.062248,181.79047
-2.2,-99.931473,4.7388067,-109.21937,-90.643585,137.41252,21.164532,95.930801,178.89424
-2.1,-99.082954,4.669538,-108.23508,-89.930824,135.41524,20.725979,94.79306,176.0374
-2,-98.239334,4.6014466,-107.258,-89.220665,133.43443,20.299273,93.64859,173.22028
-1.9,-97.400597,4.534533,-106.28812,-88.513077,131.47005,19.884613,92.496925,170.44318
-1.8,-96.566734,4.4687986,-105.32542,-87.808052,129.52203,19.482204,91.337616,167.70645
