temp,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high
-20,-281.40631,41.996769,-363.71848,-199.09416,-32.398643,118.109,-263.88803,199.09074
-19.9,-279.90424,41.644985,-361.52692,-198.28159,-32.129524,117.12032,-261.68112,197.42207
-19.8,-278.40753,41.295101,-359.34442,-197.47061,-31.861448,116.13679,-259.48538,195.76248
-19.7,-276.91611,40.947121,-357.17099,-196.66124,-31.59441,115.15841,-257.30075,194.11192
-19.6,-275.43002,40.601036,-355.00659,-195.85347,-31.328411,114.18517,-255.12723,192.47041
-19.5,-273.94928,40.25684,-352.85123,-195.0473,-31.063448,113.21705,-252.96478,190.83789
-19.4,-272.47379,39.914532,-350.70483,-194.24275,-30.799522,112.25404,-250.8134,189.21436
-19.3,-271.00363,39.574104,-348.56744,-193.4398,-30.536631,111.29613,-248.67303,187.59978
-19.2,-269.53873,39.235554,-346.439,-192.63846,-30.274771,110.34331,-246.54369,185.99414
-19.1,-268.0791,38.898876,-344.31952,-191.83871,-30.013947,109.39556,-244.42531,184.39742
-19,-266.62476,38.564068,-342.20892,-191.04057,-29.75415,108.45287,-242.31789,182.80957
-18.9,-265.17566,38.231117,-340.10727,-190.24403,-29.495386,107.51524,-240.22139,181.23061
-18.8,-263.73178,37.900028,-338.0145,-189.44911,-29.23765,106.58265,-238.1358,179.66049
-18.7,-262.29318,37.570789,-335.93057,-188.65578,-28.98094,105.65508,-236.0611,178.09921
-18.6,-260.85977,37.243401,-333.8555,-187.86404,-28.725258,104.73253,-233.99724,176.54672
-18.5,-259.43158,36.917858,-331.78928,-187.07393,-28.4706,103.81498,-231.94421,175.00302
-18.4,-258.00861,36.594151,-329.73184,-186.2854,-28.216967,102.90242,-229.90201,173.46808
-18.3,-256.59085,36.272282,-327.6832,-185.49847,-27.964357,101.99484,-227.87057,171.94186
-18.2,-255.17825,35.95224,-325.64334,-184.71315,-27.712769,101.09223,-225.8499,170.42438
-18.1,-253.77083,35.634022,-323.61224,-183.92944,-27.462198,100.19458,-223.83997,168.91557
-18,-252.36859,35.317627,-321.58987,-183.14732,-27.212648,99.301872,-221.84074,167.41545
-17.9,-250.9715,35.003044,-319.5762,-182.36679,-26.964117,98.414093,-219.8522,165.92397
-17.8,-249.57956,34.690277,-317.57126,-181.58788,-26.716602,97.531242,-217.87433,164.44112
-17.7,-248.19276,34.379314,-315.57498,-180.81055,-26.470102,96.653297,-215.90707,162.96687
-17.6,-246.8111,34.070152,-313.58737,-180.03484,-26.224617,95.780243,-213.95045,161.50121
-17.5,-245.43456,33.762787,-311.6084,-179.26071,-25.980145,94.912079,-212.00441,160.04411
-17.4,-244.06311,33.457214,-309.63806,-178.48817,-25.736685,94.04879,-210.06892,158.59555
-17.3,-242.69678,33.153431,-307.6763,-177.71725,-25.494236,93.190361,-208.14398,157.15552
-17.2,-241.33554,32.851433,-305.72318,-176.94792,-25.252796,92.336784,-206.22957,155.72397
-17.1,-239.97937,32.551208,-303.77856,-176.18018,-25.012363,91.488045,-204.32564,154.3009
-17,-238.6283,32.252762,-301.84253,-175.41403,-24.77294,90.644135,-202.43217,152.88629
-16.9,-237.28226,31.956083,-299.91504,-174.64949,-24.534521,89.805031,-200.54915,151.48012
-16.8,-235.9413,31.661169,-297.99603,-173.88655,-24.297108,88.970741,-198.67656,150.08234
-16.7,-234.60536,31.368013,-296.08554,-173.12518,-24.060698,88.141243,-196.81435,148.69296
-16.6,-233.27448,31.076614,-294.18353,-172.36543,-23.825289,87.316521,-194.96252,147.31194
-16.5,-231.94861,30.786968,-292.28995,-171.60725,-23.590881,86.496567,-193.12103,145.93927
-16.4,-230.62776,30.499065,-290.40482,-170.85069,-23.357475,85.681374,-191.28987,144.57492
-16.3,-229.3119,30.212906,-288.52811,-170.0957,-23.125067,84.870918,-189.46901,143.21889
-16.2,-228.00107,29.928482,-286.65982,-169.34232,-22.893656,84.065208,-187.65843,141.87112
