temp,ref,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high
-20,27,-.4043254,12.479545,-24.863783,24.055132,-25.250511,33.794876,-91.487251,40.986233
-19.9,27,-.40346512,12.452992,-24.810881,24.00395,-25.196787,33.722973,-91.292603,40.899029
-19.799999,27,-.40260485,12.426439,-24.757978,23.95277,-25.143061,33.65107,-91.097946,40.811821
-19.700001,27,-.40174457,12.399888,-24.705078,23.901588,-25.089338,33.579166,-90.903297,40.724617
-19.6,27,-.40088433,12.373336,-24.652176,23.850409,-25.035612,33.507263,-90.708641,40.637413
-19.5,27,-.40002406,12.346784,-24.599274,23.799227,-24.981888,33.435356,-90.513985,40.550209
-19.4,27,-.39916378,12.32023,-24.546373,23.748045,-24.928164,33.363453,-90.319328,40.463005
-19.299999,27,-.39830351,12.293678,-24.493471,23.696863,-24.874439,33.29155,-90.12468,40.375797
-19.200001,27,-.39744326,12.267127,-24.440571,23.645683,-24.820715,33.219646,-89.930023,40.288593
-19.1,27,-.39658299,12.240575,-24.387669,23.594501,-24.766991,33.147743,-89.735374,40.201389
-19,27,-.39572272,12.214022,-24.334766,23.543322,-24.713266,33.075836,-89.540718,40.114185
-18.9,27,-.39486244,12.187469,-24.281864,23.49214,-24.659542,33.003933,-89.346062,40.026981
-18.799999,27,-.39400217,12.160917,-24.228962,23.440958,-24.605816,32.93203,-89.151405,39.939774
-18.700001,27,-.39314193,12.134366,-24.176062,23.389778,-24.552094,32.860126,-88.956757,39.85257
-18.6,27,-.39228165,12.107814,-24.123159,23.338596,-24.498367,32.788223,-88.7621,39.765366
-18.5,27,-.39142138,12.081261,-24.070257,23.287415,-24.444643,32.716316,-88.567451,39.678162
-18.4,27,-.3905611,12.054708,-24.017357,23.236235,-24.390919,32.644413,-88.372795,39.590958
-18.299999,27,-.38970083,12.028156,-23.964455,23.185053,-24.337194,32.57251,-88.178139,39.50375
-18.200001,27,-.38884059,12.001605,-23.911552,23.133873,-24.28347,32.500607,-87.98349,39.416546
-18.1,27,-.38798031,11.975052,-23.858652,23.082691,-24.229746,32.428703,-87.788834,39.329342
-18,27,-.38712004,11.9485,-23.80575,23.031509,-24.176022,32.356796,-87.594177,39.242138
-17.9,27,-.38625976,11.921947,-23.752848,22.980328,-24.122295,32.284893,-87.399521,39.154934
