temp,ref,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high
-20,27,1.2061558,12.467741,-23.230167,25.642479,-25.529146,35.474937,-95.058739,44.00045
-19.9,27,1.2035894,12.441214,-23.180742,25.587921,-25.474829,35.399456,-94.856491,43.906834
-19.799999,27,1.2010231,12.414686,-23.131315,25.533361,-25.420511,35.323978,-94.654236,43.813213
-19.700001,27,1.1984569,12.38816,-23.08189,25.478804,-25.366194,35.248501,-94.451988,43.719597
-19.6,27,1.1958905,12.361632,-23.032465,25.424246,-25.311876,35.173023,-94.249733,43.62598
-19.5,27,1.1933243,12.335105,-22.983038,25.369686,-25.257559,35.097542,-94.047478,43.53236
-19.4,27,1.190758,12.308578,-22.933613,25.315128,-25.203241,35.022064,-93.845222,43.438744
-19.299999,27,1.1881917,12.282051,-22.884186,25.260569,-25.148924,34.946587,-93.642975,43.345123
-19.200001,27,1.1856254,12.255525,-22.834761,25.206011,-25.094606,34.871109,-93.44072,43.251507
-19.1,27,1.1830591,12.228997,-22.785336,25.151453,-25.040289,34.795628,-93.238472,43.15789
-19,27,1.1804929,12.20247,-22.735909,25.096893,-24.985971,34.72015,-93.036217,43.06427
-18.9,27,1.1779265,12.175942,-22.686483,25.042336,-24.931654,34.644672,-92.833961,42.970654
-18.799999,27,1.1753602,12.149415,-22.637056,24.987778,-24.877337,34.569191,-92.631706,42.877033
-18.700001,27,1.172794,12.122889,-22.587631,24.93322,-24.823021,34.493713,-92.429459,42.783417
-18.6,27,1.1702276,12.096361,-22.538206,24.87866,-24.768703,34.418236,-92.227203,42.6898
-18.5,27,1.1676614,12.069835,-22.488779,24.824102,-24.714386,34.342758,-92.024956,42.59618
-18.4,27,1.1650951,12.043307,-22.439354,24.769543,-24.660069,34.267277,-91.822701,42.502563
-18.299999,27,1.1625288,12.01678,-22.389927,24.714985,-24.605751,34.191799,-91.620445,42.408943
-18.200001,27,1.1599625,11.990253,-22.340502,24.660427,-24.551434,34.116322,-91.418198,42.315327
-18.1,27,1.1573962,11.963726,-22.291077,24.605867,-24.497116,34.040844,-91.215942,42.22171
-18,27,1.15483,11.937199,-22.24165,24.55131,-24.442799,33.965363,-91.013687,42.12809
-17.9,27,1.1522636,11.910671,-22.192225,24.496752,-24.388481,33.889885,-90.81144,42.034473
-17.799999,27,1.1496973,11.884145,-22.142797,24.442192,-24.334164,33.814407,-90.609184,41.940857
-17.700001,27,1.1471311,11.857617,-22.093372,24.387634,-24.279848,33.73893,-90.406937,41.847237
-17.6,27,1.1445647,11.83109,-22.043947,24.333076,-24.225531,33.663448,-90.204681,41.75362
-17.5,27,1.1419985,11.804564,-21.99452,24.278517,-24.171211,33.587971,-90.002426,41.660004
-17.4,27,1.1394322,11.778036,-21.945095,24.223959,-24.116894,33.512493,-89.800171,41.566383
-17.299999,27,1.1368659,11.751509,-21.895668,24.169399,-24.062576,33.437012,-89.597916,41.472767
-17.200001,27,1.1342996,11.724982,-21.846243,24.114841,-24.008261,33.361538,-89.395668,41.37915
-17.1,27,1.1317334,11.698455,-21.796818,24.060284,-23.953943,33.286057,-89.193413,41.28553
-17,27,1.1291671,11.671927,-21.747391,24.005726,-23.899626,33.210579,-88.991165,41.191914
-16.9,27,1.1266007,11.6454,-21.697966,23.951166,-23.845308,33.135101,-88.78891,41.098293
-16.799999,27,1.1240344,11.618874,-21.648539,23.896608,-23.790991,33.05962,-88.586655,41.004677
-16.700001,27,1.1214682,11.592346,-21.599113,23.842051,-23.736673,32.984142,-88.384407,40.91106
-16.6,27,1.118902,11.56582,-21.549688,23.787491,-23.682356,32.908665,-88.182152,40.81744
-16.5,27,1.1163356,11.539292,-21.500261,23.732933,-23.628038,32.833187,-87.979897,40.723824
-16.4,27,1.1137693,11.512765,-21.450836,23.678373,-23.573721,32.757706,-87.777649,40.630203
-16.299999,27,1.1112031,11.486238,-21.401409,23.623816,-23.519403,32.682228,-87.575394,40.536587
-16.200001,27,1.1086367,11.459711,-21.351984,23.569258,-23.465088,32.60675,-87.373146,40.44297
-16.1,27,1.1060705,11.433184,-21.302559,23.514698,-23.41077,32.531273,-87.170891,40.34935
