temp,ref,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high
-20,27,-2.5172169,13.458082,-28.894573,23.86014,-34.227909,33.303707,-99.501976,31.04616
-19.9,27,-2.5118611,13.429448,-28.833096,23.809374,-34.155083,33.232849,-99.290268,30.980104
-19.799999,27,-2.5065053,13.400814,-28.771618,23.758608,-34.082256,33.161991,-99.078568,30.914049
-19.700001,27,-2.5011497,13.37218,-28.71014,23.707842,-34.009434,33.091133,-98.866859,30.847994
-19.6,27,-2.4957938,13.343546,-28.648663,23.657076,-33.936607,33.020271,-98.655151,30.781939
-19.5,27,-2.490438,13.314912,-28.587185,23.606308,-33.863781,32.949413,-98.443443,30.715881
-19.4,27,-2.4850821,13.286277,-28.525707,23.555542,-33.790955,32.878555,-98.231743,30.649826
-19.299999,27,-2.4797263,13.257643,-28.46423,23.504776,-33.718132,32.807693,-98.020035,30.583771
-19.200001,27,-2.4743707,13.229009,-28.402752,23.45401,-33.645306,32.736839,-97.808327,30.517715
-19.1,27,-2.4690149,13.200375,-28.341274,23.403244,-33.572479,32.665977,-97.596619,30.45166
-19,27,-2.463659,13.171741,-28.279797,23.352478,-33.499657,32.595119,-97.384918,30.385603
-18.9,27,-2.4583032,13.143106,-28.218317,23.301712,-33.42683,32.524261,-97.17321,30.319548
-18.799999,27,-2.4529474,13.114471,-28.156839,23.250944,-33.354004,32.4534,-96.961502,30.253492
-18.700001,27,-2.4475918,13.085838,-28.095364,23.20018,-33.281181,32.382542,-96.749794,30.187437
-18.6,27,-2.4422359,13.057203,-28.033884,23.149412,-33.208355,32.311684,-96.538094,30.121382
-18.5,27,-2.4368801,13.028569,-27.972406,23.098646,-33.135529,32.240826,-96.326385,30.055326
-18.4,27,-2.4315243,12.999935,-27.910929,23.04788,-33.062702,32.169964,-96.114677,29.989269
-18.299999,27,-2.4261687,12.9713,-27.849451,22.997114,-32.989876,32.099106,-95.902969,29.923214
-18.200001,27,-2.4208128,12.942667,-27.787973,22.946348,-32.917053,32.028248,-95.691269,29.857159
-18.1,27,-2.415457,12.914033,-27.726496,22.895582,-32.844227,31.957388,-95.479561,29.791103
-18,27,-2.4101012,12.885398,-27.665018,22.844814,-32.7714,31.88653,-95.267853,29.725048
-17.9,27,-2.4047456,12.856764,-27.60354,22.794048,-32.698578,31.81567,-95.056145,29.658991
-17.799999,27,-2.3993897,12.82813,-27.542061,22.743282,-32.625751,31.74481,-94.844437,29.592936
-17.700001,27,-2.3940339,12.799496,-27.480585,22.692516,-32.552925,31.673954,-94.632736,29.52688
-17.6,27,-2.3886781,12.770862,-27.419107,22.64175,-32.480103,31.603094,-94.421028,29.460825
-17.5,27,-2.3833225,12.742227,-27.357628,22.590984,-32.407276,31.532234,-94.20932,29.39477
-17.4,27,-2.3779666,12.713593,-27.29615,22.540216,-32.33445,31.461376,-93.997612,29.328712
-17.299999,27,-2.3726108,12.684958,-27.234673,22.48945,-32.261623,31.390516,-93.785904,29.262657
-17.200001,27,-2.367255,12.656324,-27.173195,22.438684,-32.188801,31.319658,-93.574203,29.196602
-17.1,27,-2.3618994,12.62769,-27.111717,22.387918,-32.115974,31.248798,-93.362495,29.130547
-17,27,-2.3565435,12.599056,-27.05024,22.337152,-32.043148,31.17794,-93.150787,29.064491
-16.9,27,-2.3511877,12.570421,-26.988762,22.286386,-31.970324,31.10708,-92.939079,28.998434
-16.799999,27,-2.3458319,12.541787,-26.927284,22.235619,-31.897497,31.036221,-92.727371,28.932379
-16.700001,27,-2.3404763,12.513153,-26.865807,22.184855,-31.824673,30.965364,-92.515671,28.866323
-16.6,27,-2.3351204,12.484519,-26.804329,22.134089,-31.751848,30.894505,-92.303963,28.800268
-16.5,27,-2.3297646,12.455885,-26.742851,22.083321,-31.679022,30.823645,-92.092255,28.734213
-16.4,27,-2.3244088,12.427251,-26.681372,22.032555,-31.606195,30.752787,-91.880547,28.668156
-16.299999,27,-2.3190529,12.398616,-26.619894,21.981789,-31.533371,30.681927,-91.668839,28.6021
-16.200001,27,-2.3136973,12.369983,-26.558418,21.931023,-31.460546,30.611069,-91.457138,28.536045
-16.1,27,-2.3083415,12.341348,-26.496939,21.880257,-31.38772,30.540209,-91.24543,28.46999
-16,27,-2.3029857,12.312714,-26.435461,21.829491,-31.314896,30.469351,-91.033722,28.403934
-15.9,27,-2.2976298,12.28408,-26.373983,21.778723,-31.242069,30.398491,-90.822014,28.337877
-15.8,27,-2.2922742,12.255445,-26.312506,21.727957,-31.169245,30.327633,-90.610313,28.271822
-15.7,27,-2.2869184,12.226811,-26.251028,21.677191,-31.096418,30.256773,-90.398605,28.205767
-15.6,27,-2.2815626,12.198177,-26.18955,21.626425,-31.023594,30.185915,-90.186897,28.139711
