temp,ref,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high
-20,27,-89.480072,4.7107959,-98.713066,-80.247086,12.864504,16.48579,-19.447052,45.17606
-19.9,27,-89.289688,4.7007728,-98.503036,-80.076347,12.837132,16.450714,-19.405676,45.079941
-19.799999,27,-89.099304,4.6907496,-98.293007,-79.905602,12.809761,16.415638,-19.364298,44.983822
-19.700001,27,-88.908928,4.680727,-98.082985,-79.734871,12.782391,16.380562,-19.322922,44.887703
-19.6,27,-88.718544,4.6707039,-97.872955,-79.564133,12.755019,16.345486,-19.281546,44.791584
-19.5,27,-88.52816,4.6606808,-97.662926,-79.393394,12.727648,16.31041,-19.240168,44.695465
-19.4,27,-88.337776,4.6506581,-97.452896,-79.222649,12.700276,16.275333,-19.198792,44.599342
-19.299999,27,-88.147392,4.640635,-97.242867,-79.05191,12.672905,16.240257,-19.157415,44.503223
-19.200001,27,-87.957008,4.6306124,-97.032845,-78.88118,12.645535,16.205181,-19.116039,44.407108
-19.1,27,-87.766624,4.6205893,-96.822815,-78.710434,12.618163,16.170105,-19.074661,44.310986
-19,27,-87.576241,4.6105661,-96.612785,-78.539696,12.590792,16.135029,-19.033285,44.214867
-18.9,27,-87.385857,4.600543,-96.402756,-78.368958,12.56342,16.099953,-18.991907,44.118748
-18.799999,27,-87.195473,4.5905199,-96.192726,-78.198219,12.536049,16.064877,-18.950531,44.022629
-18.700001,27,-87.005096,4.5804973,-95.982704,-78.027481,12.508677,16.0298,-18.909155,43.92651
-18.6,27,-86.814713,4.5704741,-95.772675,-77.856743,12.481306,15.994724,-18.867779,43.830391
-18.5,27,-86.624329,4.5604515,-95.562645,-77.686005,12.453935,15.959648,-18.826401,43.734272
-18.4,27,-86.433945,4.5504284,-95.352615,-77.515266,12.426563,15.924572,-18.785025,43.638153
-18.299999,27,-86.243561,4.5404053,-95.142586,-77.344528,12.399192,15.889496,-18.743649,43.54203
-18.200001,27,-86.053177,4.5303826,-94.932564,-77.17379,12.371821,15.854421,-18.702272,43.445915
-18.1,27,-85.862793,4.5203595,-94.722534,-77.003052,12.34445,15.819344,-18.660894,43.349792
-18,27,-85.672409,4.5103364,-94.512505,-76.832314,12.317079,15.784267,-18.619518,43.253674
-17.9,27,-85.482025,4.5003133,-94.302483,-76.661575,12.289707,15.749191,-18.57814,43.157555
-17.799999,27,-85.291641,4.4902906,-94.092453,-76.490837,12.262336,15.714115,-18.536764,43.061436
-17.700001,27,-85.101265,4.4802675,-93.882423,-76.320099,12.234964,15.67904,-18.495388,42.965317
-17.6,27,-84.910881,4.4702444,-93.672394,-76.149361,12.207593,15.643963,-18.454012,42.869198
-17.5,27,-84.720497,4.4602218,-93.462372,-75.978622,12.180222,15.608887,-18.412634,42.773079
-17.4,27,-84.530113,4.4501987,-93.252342,-75.807884,12.15285,15.573811,-18.371258,42.67696
-17.299999,27,-84.339729,4.4401755,-93.042313,-75.637146,12.12548,15.538734,-18.32988,42.580837
-17.200001,27,-84.149345,4.4301529,-92.832283,-75.466408,12.098108,15.503658,-18.288504,42.484722
