temp,ref,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high
-20,27,-3.4310329,13.196973,-29.296625,22.434559,-1.5830472,33.88063,-67.987862,64.82177
-19.9,27,-3.4237328,13.168894,-29.234291,22.386826,-1.5796789,33.808544,-67.843208,64.683846
-19.799999,27,-3.4164326,13.140816,-29.171957,22.339092,-1.5763108,33.736458,-67.698555,64.545929
-19.700001,27,-3.4091327,13.112737,-29.109625,22.291359,-1.5729426,33.664371,-67.553902,64.408012
-19.6,27,-3.4018326,13.084659,-29.047291,22.243626,-1.5695744,33.592285,-67.409241,64.270096
-19.5,27,-3.3945327,13.05658,-28.984959,22.195892,-1.5662062,33.520199,-67.264587,64.132172
-19.4,27,-3.3872325,13.028501,-28.922625,22.148159,-1.562838,33.448112,-67.119934,63.994255
-19.299999,27,-3.3799324,13.000422,-28.860291,22.100426,-1.5594698,33.376026,-66.975273,63.856335
-19.200001,27,-3.3726325,12.972343,-28.797958,22.052694,-1.5561017,33.30394,-66.83062,63.718418
-19.1,27,-3.3653324,12.944265,-28.735626,22.004961,-1.5527334,33.231853,-66.685966,63.580502
-19,27,-3.3580322,12.916186,-28.673292,21.957228,-1.5493653,33.159767,-66.541313,63.442581
-18.9,27,-3.3507321,12.888107,-28.610958,21.909494,-1.545997,33.087681,-66.39666,63.304661
-18.799999,27,-3.3434319,12.860028,-28.548626,21.861761,-1.5426289,33.015591,-66.251999,63.166744
-18.700001,27,-3.336132,12.83195,-28.486292,21.814028,-1.5392607,32.943508,-66.107346,63.028828
-18.6,27,-3.3288319,12.803872,-28.42396,21.766294,-1.5358925,32.871422,-65.962692,62.890907
-18.5,27,-3.3215318,12.775793,-28.361626,21.718561,-1.5325243,32.799335,-65.818039,62.752987
-18.4,27,-3.3142319,12.747714,-28.299292,21.670828,-1.5291561,32.727245,-65.673378,62.61507
-18.299999,27,-3.3069317,12.719635,-28.236959,21.623095,-1.5257879,32.655159,-65.528725,62.47715
-18.200001,27,-3.2996318,12.691557,-28.174627,21.575363,-1.5224198,32.583076,-65.384071,62.339233
-18.1,27,-3.2923317,12.663478,-28.112293,21.52763,-1.5190516,32.510986,-65.239418,62.201313
-18,27,-3.2850316,12.6354,-28.049959,21.479897,-1.5156834,32.4389,-65.094765,62.063396
-17.9,27,-3.2777314,12.607321,-27.987627,21.432163,-1.5123152,32.366814,-64.950104,61.925476
-17.799999,27,-3.2704313,12.579242,-27.925293,21.38443,-1.508947,32.294727,-64.80545,61.787556
-17.700001,27,-3.2631314,12.551164,-27.862961,21.336699,-1.5055789,32.222641,-64.660797,61.649639
-17.6,27,-3.2558312,12.523085,-27.800627,21.288965,-1.5022106,32.150555,-64.516144,61.511723
-17.5,27,-3.2485311,12.495007,-27.738293,21.241232,-1.4988425,32.078468,-64.37149,61.373802
-17.4,27,-3.241231,12.466928,-27.675961,21.193499,-1.4954742,32.006382,-64.22683,61.235882
-17.299999,27,-3.2339311,12.438848,-27.613626,21.145765,-1.4921061,31.934296,-64.082176,61.097965
-17.200001,27,-3.2266309,12.41077,-27.551294,21.098032,-1.4887379,31.862211,-63.937523,60.960049
-17.1,27,-3.219331,12.382691,-27.48896,21.050299,-1.4853698,31.790123,-63.792866,60.822128
-17,27,-3.2120309,12.354613,-27.426628,21.002565,-1.4820015,31.718037,-63.648212,60.684208
-16.9,27,-3.2047307,12.326534,-27.364294,20.954832,-1.4786334,31.64595,-63.503555,60.546288
-16.799999,27,-3.1974306,12.298455,-27.30196,20.907099,-1.4752651,31.573864,-63.358902,60.408371
-16.700001,27,-3.1901307,12.270377,-27.239628,20.859367,-1.471897,31.501778,-63.214249,60.270454
-16.6,27,-3.1828306,12.242298,-27.177294,20.811634,-1.4685289,31.429691,-63.069592,60.132534
-16.5,27,-3.1755304,12.21422,-27.114962,20.763901,-1.4651606,31.357605,-62.924938,59.994614
-16.4,27,-3.1682303,12.186141,-27.052628,20.716167,-1.4617925,31.285519,-62.780281,59.856697
-16.299999,27,-3.1609304,12.158062,-26.990294,20.668434,-1.4584242,31.21343,-62.635624,59.718777
-16.200001,27,-3.1536303,12.129984,-26.927961,20.620701,-1.4550561,31.141346,-62.490971,59.58086
-16.1,27,-3.1463301,12.101905,-26.865627,20.572968,-1.4516879,31.06926,-62.346317,59.44294
-16,27,-3.1390302,12.073826,-26.803295,20.525234,-1.4483197,30.997173,-62.20166,59.305023
-15.9,27,-3.1317301,12.045748,-26.740961,20.477501,-1.4449515,30.925085,-62.057007,59.167103
-15.8,27,-3.1244299,12.017669,-26.678629,20.429768,-1.4415833,30.853001,-61.91235,59.029186
-15.7,27,-3.1171298,11.989591,-26.616295,20.382034,-1.4382151,30.780912,-61.767696,58.891266
-15.6,27,-3.1098299,11.961512,-26.553963,20.334303,-1.434847,30.708826,-61.623043,58.753349
-15.5,27,-3.1025298,11.933433,-26.491629,20.28657,-1.4314787,30.63674,-61.478386,58.615429
-15.4,27,-3.0952296,11.905354,-26.429295,20.238836,-1.4281106,30.564653,-61.333729,58.477509
-15.3,27,-3.0879297,11.877275,-26.366962,20.191103,-1.4247425,30.492567,-61.189075,58.339592
-15.2,27,-3.0806296,11.849196,-26.304628,20.14337,-1.4213742,30.420481,-61.044422,58.201672
-15.1,27,-3.0733294,11.821118,-26.242296,20.095636,-1.4180061,30.348394,-60.899765,58.063755
-15,27,-3.0660293,11.793039,-26.179962,20.047903,-1.4146378,30.276308,-60.755112,57.925835
-14.9,27,-3.0587294,11.764961,-26.117628,20.00017,-1.4112697,30.204222,-60.610455,57.787918
-14.8,27,-3.0514293,11.736882,-26.055296,19.952436,-1.4079015,30.132135,-60.465801,57.649998
-14.7,27,-3.0441291,11.708803,-25.992962,19.904703,-1.4045333,30.060049,-60.321144,57.512077
-14.6,27,-3.0368292,11.680725,-25.93063,19.856972,-1.4011651,29.987963,-60.176491,57.374161
-14.5,27,-3.0295291,11.652646,-25.868296,19.809238,-1.3977969,29.915876,-60.031837,57.23624
-14.4,27,-3.022229,11.624567,-25.805964,19.761505,-1.3944287,29.843788,-59.88718,57.098324
-14.3,27,-3.0149291,11.596489,-25.743629,19.713772,-1.3910606,29.771704,-59.742527,56.960403
