temp,ref,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high
-20,27,-.2362621,10.00541,-19.846506,19.373981,-180.22348,78.876572,-334.81873,-25.628248
-19.9,27,-.23575941,9.9841223,-19.804279,19.332762,-179.84003,78.708748,-334.10635,-25.573721
-19.799999,27,-.23525672,9.9628344,-19.762053,19.29154,-179.45657,78.540924,-333.39395,-25.519192
-19.700001,27,-.23475404,9.9415464,-19.719828,19.250319,-179.07312,78.373108,-332.68158,-25.464664
-19.6,27,-.23425135,9.9202585,-19.677601,19.209097,-178.68967,78.205284,-331.96921,-25.410135
-19.5,27,-.23374867,9.8989697,-19.635374,19.167875,-178.30621,78.03746,-331.25684,-25.355608
-19.4,27,-.23324598,9.8776817,-19.593147,19.126656,-177.92276,77.869637,-330.54443,-25.301079
-19.299999,27,-.23274329,9.8563938,-19.55092,19.085434,-177.53931,77.701813,-329.83206,-25.246552
-19.200001,27,-.23224062,9.8351059,-19.508694,19.044212,-177.15585,77.533989,-329.11969,-25.192024
-19.1,27,-.23173793,9.813818,-19.466467,19.002991,-176.7724,77.366165,-328.40732,-25.137495
-19,27,-.23123524,9.7925291,-19.42424,18.961769,-176.38895,77.198349,-327.69492,-25.082966
-18.9,27,-.23073256,9.7712412,-19.382013,18.920549,-176.00549,77.030525,-326.98254,-25.028439
-18.799999,27,-.23022987,9.7499533,-19.339787,18.879328,-175.62202,76.862701,-326.27014,-24.973909
-18.700001,27,-.22972719,9.7286654,-19.297562,18.838106,-175.23859,76.694878,-325.55777,-24.919382
-18.6,27,-.2292245,9.7073774,-19.255335,18.796885,-174.85513,76.527054,-324.8454,-24.864855
-18.5,27,-.22872181,9.6860886,-19.213108,18.755663,-174.47168,76.35923,-324.13303,-24.810326
-18.4,27,-.22821912,9.6648006,-19.170881,18.714443,-174.08821,76.191406,-323.42062,-24.755796
-18.299999,27,-.22771645,9.6435127,-19.128654,18.673222,-173.70476,76.02359,-322.70825,-24.701269
-18.200001,27,-.22721377,9.6222248,-19.086428,18.632,-173.32132,75.855766,-321.99588,-24.646742
-18.1,27,-.22671108,9.6009369,-19.044201,18.590778,-172.93785,75.687943,-321.28351,-24.592213
-18,27,-.22620839,9.579648,-19.001974,18.549557,-172.5544,75.520119,-320.57111,-24.537685
-17.9,27,-.2257057,9.5583601,-18.959747,18.508337,-172.17094,75.352295,-319.85873,-24.483156
-17.799999,27,-.22520302,9.5370722,-18.917521,18.467115,-171.78749,75.184471,-319.14636,-24.428627
-17.700001,27,-.22470033,9.5157843,-18.875296,18.425894,-171.40404,75.016655,-318.43399,-24.3741
-17.6,27,-.22419766,9.4944963,-18.833069,18.384672,-171.02058,74.848831,-317.72159,-24.319572
-17.5,27,-.22369497,9.4732075,-18.790842,18.343451,-170.63713,74.681007,-317.00922,-24.265043
-17.4,27,-.22319227,9.4519196,-18.748615,18.302231,-170.25368,74.513184,-316.29684,-24.210516
-17.299999,27,-.22268958,9.4306316,-18.706388,18.261009,-169.87022,74.34536,-315.58444,-24.155987
-17.200001,27,-.22218691,9.4093437,-18.664162,18.219788,-169.48677,74.177544,-314.87207,-24.10146
-17.1,27,-.22168422,9.3880558,-18.621935,18.178566,-169.10332,74.00972,-314.1597,-24.04693
-17,27,-.22118154,9.3667669,-18.579708,18.137344,-168.71986,73.841896,-313.44733,-23.992403
-16.9,27,-.22067885,9.345479,-18.537481,18.096125,-168.33641,73.674072,-312.73492,-23.937874
-16.799999,27,-.22017616,9.3241911,-18.495255,18.054903,-167.95294,73.506248,-312.02255,-23.883347
-16.700001,27,-.21967348,9.3029032,-18.45303,18.013681,-167.5695,73.338432,-311.31018,-23.828819
-16.6,27,-.21917079,9.2816153,-18.410803,17.97246,-167.18605,73.170609,-310.59781,-23.77429
-16.5,27,-.2186681,9.2603264,-18.368576,17.931238,-166.80258,73.002785,-309.88541,-23.719763
-16.4,27,-.21816543,9.2390385,-18.326349,17.890018,-166.41913,72.834961,-309.17303,-23.665234
-16.299999,27,-.21766274,9.2177505,-18.284122,17.848797,-166.03568,72.667137,-308.46066,-23.610704
-16.200001,27,-.21716006,9.1964626,-18.241896,17.807575,-165.65222,72.499313,-307.74829,-23.556177
-16.1,27,-.21665737,9.1751747,-18.199669,17.766354,-165.26877,72.331497,-307.03589,-23.50165
-16,27,-.21615468,9.1538858,-18.157442,17.725132,-164.88531,72.163673,-306.32352,-23.447121
-15.9,27,-.21565199,9.1325979,-18.115215,17.683912,-164.50186,71.99585,-305.61111,-23.392593
-15.8,27,-.21514931,9.11131,-18.072989,17.642691,-164.11841,71.828026,-304.89874,-23.338064
