temp,ref,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high
-20,27,-2.6992254,10.568081,-23.412283,18.013832,-221.67274,84.726379,-387.7334,-55.612091
-19.9,27,-2.6934824,10.545595,-23.362469,17.975504,-221.2011,84.546104,-386.90842,-55.493767
-19.799999,27,-2.6877391,10.523109,-23.312654,17.937178,-220.72945,84.365837,-386.08347,-55.375443
-19.700001,27,-2.6819963,10.500625,-23.262842,17.898849,-220.25781,84.18557,-385.25851,-55.257118
-19.6,27,-2.6762533,10.47814,-23.21303,17.860523,-219.78616,84.005302,-384.43353,-55.138798
-19.5,27,-2.6705103,10.455654,-23.163216,17.822195,-219.31451,83.825035,-383.60855,-55.020473
-19.4,27,-2.664767,10.433168,-23.113401,17.783867,-218.84286,83.64476,-382.7836,-54.902149
-19.299999,27,-2.659024,10.410684,-23.063589,17.745541,-218.37123,83.464493,-381.95862,-54.783825
-19.200001,27,-2.6532812,10.388199,-23.013777,17.707214,-217.89958,83.284225,-381.13367,-54.665501
-19.1,27,-2.6475382,10.365713,-22.963963,17.668886,-217.42795,83.103958,-380.30872,-54.547176
-19,27,-2.6417949,10.343227,-22.914148,17.630558,-216.9563,82.923691,-379.48373,-54.428852
-18.9,27,-2.6360519,10.320743,-22.864336,17.592232,-216.48465,82.743416,-378.65878,-54.310532
-18.799999,27,-2.6303089,10.298257,-22.814522,17.553904,-216.013,82.563148,-377.8338,-54.192207
-18.700001,27,-2.6245661,10.275772,-22.764709,17.515577,-215.54137,82.382881,-377.00885,-54.073883
-18.6,27,-2.6188228,10.253286,-22.714895,17.477249,-215.06972,82.202614,-376.1839,-53.955559
-18.5,27,-2.6130798,10.230802,-22.665081,17.438923,-214.59808,82.022346,-375.35892,-53.837234
-18.4,27,-2.6073368,10.208316,-22.615269,17.400595,-214.12643,81.842072,-374.53394,-53.71891
-18.299999,27,-2.6015937,10.18583,-22.565454,17.362267,-213.65479,81.661804,-373.70898,-53.600586
-18.200001,27,-2.5958507,10.163345,-22.515642,17.32394,-213.18315,81.481537,-372.88403,-53.482265
-18.1,27,-2.5901077,10.140861,-22.465828,17.285614,-212.7115,81.30127,-372.05905,-53.363941
-18,27,-2.5843647,10.118375,-22.416016,17.247286,-212.23985,81.121002,-371.2341,-53.245617
-17.9,27,-2.5786216,10.095889,-22.366201,17.208958,-211.7682,80.940727,-370.40912,-53.127293
-17.799999,27,-2.5728786,10.073404,-22.316387,17.170631,-211.29657,80.76046,-369.58417,-53.008968
-17.700001,27,-2.5671356,10.05092,-22.266575,17.132303,-210.82492,80.580193,-368.75922,-52.890648
-17.6,27,-2.5613925,10.028434,-22.216763,17.093977,-210.35329,80.399925,-367.93423,-52.772324
-17.5,27,-2.5556495,10.005948,-22.166948,17.055649,-209.88164,80.219658,-367.10928,-52.653999
-17.4,27,-2.5499065,9.9834633,-22.117134,17.017323,-209.40999,80.039383,-366.2843,-52.535675
-17.299999,27,-2.5441635,9.9609776,-22.067322,16.978994,-208.93834,79.859116,-365.45935,-52.417351
-17.200001,27,-2.5384204,9.9384928,-22.017509,16.940668,-208.46671,79.678848,-364.63437,-52.29903
-17.1,27,-2.5326774,9.916007,-21.967695,16.90234,-207.99506,79.498581,-363.80942,-52.180706
-17,27,-2.5269344,9.8935223,-21.917881,16.864012,-207.52342,79.318314,-362.98444,-52.062382
-16.9,27,-2.5211914,9.8710365,-21.868069,16.825686,-207.05177,79.138039,-362.15948,-51.944057
-16.799999,27,-2.5154483,9.8485518,-21.818254,16.787357,-206.58012,78.957771,-361.3345,-51.825733
-16.700001,27,-2.5097053,9.826066,-21.768442,16.749031,-206.10849,78.777504,-360.50955,-51.707413
-16.6,27,-2.5039623,9.8035812,-21.718628,16.710703,-205.63684,78.597237,-359.6846,-51.589088
-16.5,27,-2.4982193,9.7810955,-21.668814,16.672377,-205.16519,78.416969,-358.85962,-51.470764
-16.4,27,-2.4924762,9.7586107,-21.619001,16.634048,-204.69354,78.236694,-358.03467,-51.35244
-16.299999,27,-2.4867332,9.736125,-21.569187,16.595722,-204.22191,78.056427,-357.20969,-51.234116
-16.200001,27,-2.4809902,9.7136402,-21.519375,16.557394,-203.75026,77.87616,-356.38474,-51.115795
-16.1,27,-2.4752471,9.6911545,-21.469561,16.519068,-203.27863,77.695892,-355.55978,-50.997471
-16,27,-2.4695041,9.6686697,-21.419748,16.48074,-202.80698,77.515625,-354.7348,-50.879147
-15.9,27,-2.4637611,9.646184,-21.369934,16.442411,-202.33533,77.33535,-353.90982,-50.760822
-15.8,27,-2.4580181,9.6236992,-21.320122,16.404085,-201.86369,77.155083,-353.08487,-50.642498
