temp,ref,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high
-20,27,-3.0626369,10.312275,-23.274324,17.149052,-139.2227,88.278221,-312.24484,33.799438
-19.9,27,-3.0561204,10.290334,-23.224804,17.112564,-138.92648,88.090393,-311.58047,33.727524
-19.799999,27,-3.0496042,10.268393,-23.175283,17.076077,-138.63026,87.902573,-310.91614,33.655609
-19.700001,27,-3.0430882,10.246452,-23.125765,17.039589,-138.33405,87.714745,-310.2518,33.583698
-19.6,27,-3.0365717,10.224511,-23.076244,17.003101,-138.03783,87.526917,-309.58743,33.511784
-19.5,27,-3.0300555,10.20257,-23.026726,16.966614,-137.74161,87.339096,-308.9231,33.439869
-19.4,27,-3.0235393,10.180629,-22.977205,16.930126,-137.44539,87.151268,-308.25873,33.367954
-19.299999,27,-3.0170231,10.158688,-22.927685,16.893639,-137.14917,86.96344,-307.59439,33.296043
-19.200001,27,-3.0105069,10.136747,-22.878166,16.857153,-136.85295,86.77562,-306.93002,33.224129
-19.1,27,-3.0039907,10.114806,-22.828646,16.820665,-136.55673,86.587791,-306.26569,33.152214
-19,27,-2.9974742,10.092865,-22.779125,16.784178,-136.26051,86.399963,-305.60132,33.080303
-18.9,27,-2.990958,10.070924,-22.729607,16.74769,-135.96429,86.212135,-304.93698,33.008389
-18.799999,27,-2.9844418,10.048983,-22.680086,16.711203,-135.66808,86.024307,-304.27261,32.936474
-18.700001,27,-2.9779255,10.027042,-22.630568,16.674715,-135.37186,85.836487,-303.60828,32.864559
-18.6,27,-2.9714093,10.005101,-22.581047,16.638227,-135.07564,85.648659,-302.94394,32.792648
-18.5,27,-2.9648931,9.98316,-22.531527,16.60174,-134.77942,85.460831,-302.27957,32.720734
-18.4,27,-2.9583769,9.9612188,-22.482006,16.565252,-134.4832,85.27301,-301.61523,32.648819
-18.299999,27,-2.9518604,9.9392776,-22.432487,16.528765,-134.18698,85.085182,-300.95087,32.576904
-18.200001,27,-2.9453444,9.9173374,-22.382967,16.492279,-133.89076,84.897354,-300.28653,32.504993
-18.1,27,-2.938828,9.8953962,-22.333448,16.455791,-133.59454,84.709534,-299.62219,32.433079
-18,27,-2.9323118,9.873455,-22.283928,16.419304,-133.29832,84.521706,-298.95782,32.361164
-17.9,27,-2.9257956,9.8515139,-22.234407,16.382816,-133.00211,84.333878,-298.29346,32.289249
-17.799999,27,-2.9192793,9.8295727,-22.184887,16.346329,-132.70589,84.146049,-297.62912,32.217339
-17.700001,27,-2.9127631,9.8076315,-22.135368,16.309843,-132.40968,83.958229,-296.96478,32.145424
-17.6,27,-2.9062469,9.7856913,-22.085848,16.273355,-132.11346,83.770401,-296.30042,32.073509
-17.5,27,-2.8997307,9.7637501,-22.036329,16.236868,-131.81723,83.582573,-295.63608,32.001595
-17.4,27,-2.8932142,9.7418089,-21.986809,16.20038,-131.52101,83.394745,-294.97171,31.929682
-17.299999,27,-2.886698,9.7198677,-21.937288,16.163893,-131.22479,83.206917,-294.30737,31.857769
-17.200001,27,-2.8801818,9.6979265,-21.88777,16.127405,-130.92859,83.019096,-293.64304,31.785856
-17.1,27,-2.8736656,9.6759853,-21.838249,16.090918,-130.63237,82.831268,-292.97867,31.713942
-17,27,-2.8671494,9.6540451,-21.788729,16.05443,-130.33615,82.64344,-292.31433,31.642027
-16.9,27,-2.8606331,9.6321039,-21.739208,16.017942,-130.03993,82.45562,-291.64996,31.570114
-16.799999,27,-2.8541167,9.6101627,-21.68969,15.981456,-129.7437,82.267792,-290.9856,31.498199
-16.700001,27,-2.8476007,9.5882215,-21.640169,15.944969,-129.44749,82.079964,-290.32126,31.426287
-16.6,27,-2.8410842,9.5662804,-21.590651,15.908482,-129.15128,81.892143,-289.65692,31.354374
-16.5,27,-2.834568,9.5443392,-21.54113,15.871994,-128.85506,81.704315,-288.99255,31.282459
-16.4,27,-2.8280518,9.5223989,-21.49161,15.835506,-128.55884,81.516487,-288.32822,31.210545
-16.299999,27,-2.8215356,9.5004578,-21.442089,15.799019,-128.26262,81.328659,-287.66385,31.138632
-16.200001,27,-2.8150194,9.4785166,-21.39257,15.762532,-127.9664,81.140839,-286.99951,31.066719
