temp,ref,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high
-20,27,1.0342396,12.474312,-23.414963,25.483442,-25.569548,35.476112,-95.101448,43.962357
-19.9,27,1.0320392,12.447771,-23.365143,25.429222,-25.515144,35.400631,-94.899109,43.86882
-19.799999,27,1.0298386,12.421229,-23.315325,25.375002,-25.460739,35.32515,-94.696762,43.775284
-19.700001,27,1.0276382,12.39469,-23.265507,25.320782,-25.406338,35.249672,-94.494423,43.681747
-19.6,27,1.0254376,12.368148,-23.215687,25.266562,-25.351934,35.174191,-94.292076,43.588211
-19.5,27,1.0232371,12.341607,-23.165867,25.212341,-25.297531,35.098709,-94.089737,43.494675
-19.4,27,1.0210366,12.315065,-23.116049,25.158121,-25.243128,35.023228,-93.88739,43.401134
-19.299999,27,1.018836,12.288525,-23.066229,25.103901,-25.188723,34.947746,-93.685043,43.307598
-19.200001,27,1.0166355,12.261984,-23.016411,25.049683,-25.134321,34.872265,-93.482704,43.214062
-19.1,27,1.0144351,12.235442,-22.966591,24.995462,-25.079918,34.796783,-93.280357,43.120525
-19,27,1.0122346,12.208901,-22.916773,24.941242,-25.025515,34.721302,-93.078018,43.026989
-18.9,27,1.0100341,12.18236,-22.866953,24.88702,-24.971111,34.645821,-92.875671,42.933453
-18.799999,27,1.0078335,12.155819,-22.817133,24.8328,-24.916708,34.570339,-92.673325,42.839912
-18.700001,27,1.005633,12.129278,-22.767315,24.778582,-24.862305,34.494862,-92.470985,42.74638
-18.6,27,1.0034325,12.102737,-22.717497,24.724361,-24.807901,34.41938,-92.268646,42.65284
-18.5,27,1.001232,12.076196,-22.667677,24.670141,-24.753498,34.343899,-92.066299,42.559303
-18.4,27,.99903148,12.049655,-22.617857,24.615921,-24.699095,34.268417,-91.863953,42.465767
-18.299999,27,.99683094,12.023113,-22.568039,24.561701,-24.644691,34.192936,-91.661613,42.372231
-18.200001,27,.99463052,11.996572,-22.518221,24.507481,-24.590288,34.117455,-91.459267,42.278694
-18.1,27,.99242997,11.970032,-22.468401,24.45326,-24.535885,34.041973,-91.256927,42.185158
-18,27,.99022943,11.94349,-22.418581,24.39904,-24.481482,33.966492,-91.054581,42.091618
-17.9,27,.98802894,11.916949,-22.368763,24.34482,-24.427078,33.89101,-90.852234,41.998081
-17.799999,27,.9858284,11.890408,-22.318943,24.2906,-24.372675,33.815529,-90.649895,41.904545
-17.700001,27,.98362792,11.863868,-22.269125,24.23638,-24.318272,33.740047,-90.447556,41.811008
-17.6,27,.98142743,11.837326,-22.219305,24.182159,-24.263868,33.664566,-90.245209,41.717472
-17.5,27,.97922689,11.810785,-22.169487,24.127939,-24.209465,33.589085,-90.042862,41.623936
-17.4,27,.9770264,11.784244,-22.119667,24.073719,-24.155062,33.513603,-89.840523,41.530396
-17.299999,27,.97482586,11.757703,-22.069847,24.019499,-24.100658,33.438122,-89.638176,41.436859
-17.200001,27,.97262537,11.731162,-22.020029,23.965281,-24.046255,33.362644,-89.435837,41.343323
-17.1,27,.97042489,11.70462,-21.970209,23.91106,-23.991852,33.287163,-89.23349,41.249786
-17,27,.96822435,11.67808,-21.920391,23.85684,-23.937449,33.211681,-89.031143,41.15625
-16.9,27,.96602386,11.651538,-21.870571,23.80262,-23.883045,33.1362,-88.828804,41.062714
-16.799999,27,.96382332,11.624997,-21.820753,23.7484,-23.828642,33.060719,-88.626457,40.969173
-16.700001,27,.96162283,11.598456,-21.770933,23.69418,-23.774239,32.985237,-88.424118,40.875641
-16.6,27,.95942235,11.571916,-21.721115,23.639959,-23.719835,32.909756,-88.221771,40.782101
