temp,ref,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high
-20,27,18.222773,14.546249,-10.287353,46.732899,28.399618,53.194691,-75.860054,132.65929
-19.9,27,18.184,14.5153,-10.265465,46.633465,28.339193,53.081509,-75.698654,132.37704
-19.799999,27,18.145229,14.48435,-10.243577,46.534035,28.278769,52.968327,-75.537247,132.09479
-19.700001,27,18.106457,14.453402,-10.221689,46.434605,28.218344,52.855148,-75.375847,131.81253
-19.6,27,18.067686,14.422452,-10.1998,46.335171,28.157919,52.74197,-75.214439,131.53027
-19.5,27,18.028913,14.391502,-10.177913,46.235741,28.097494,52.628788,-75.053032,131.24803
-19.4,27,17.990141,14.360553,-10.156025,46.136307,28.037069,52.51561,-74.891632,130.96577
-19.299999,27,17.95137,14.329603,-10.134136,46.036877,27.976645,52.402428,-74.730225,130.68352
-19.200001,27,17.912598,14.298655,-10.112249,45.937447,27.916222,52.289249,-74.568825,130.40126
-19.1,27,17.873827,14.267705,-10.090361,45.838013,27.855797,52.176067,-74.407417,130.119
-19,27,17.835054,14.236755,-10.068473,45.738583,27.795372,52.062889,-74.246017,129.83676
-18.9,27,17.796282,14.205806,-10.046585,45.639149,27.734945,51.949707,-74.08461,129.5545
-18.799999,27,17.757511,14.174856,-10.024696,45.539719,27.67452,51.836525,-73.923203,129.27225
-18.700001,27,17.718739,14.143907,-10.00281,45.440289,27.614098,51.723347,-73.761803,128.98999
-18.6,27,17.679968,14.112957,-9.9809208,45.340855,27.553673,51.610168,-73.600395,128.70775
-18.5,27,17.641195,14.082007,-9.959033,45.241425,27.493248,51.496986,-73.438995,128.42549
-18.4,27,17.602423,14.051058,-9.9371452,45.141991,27.432823,51.383804,-73.277588,128.14323
-18.299999,27,17.563652,14.020108,-9.9152565,45.042561,27.372398,51.270626,-73.11618,127.86098
-18.200001,27,17.524879,13.98916,-9.8933687,44.94313,27.311974,51.157448,-72.954781,127.57873
-18.1,27,17.486109,13.95821,-9.8714809,44.843697,27.251549,51.044266,-72.793373,127.29647
-18,27,17.447336,13.92726,-9.8495932,44.744267,27.191124,50.931087,-72.631973,127.01422
-17.9,27,17.408564,13.896311,-9.8277054,44.644833,27.130699,50.817905,-72.470566,126.73196
-17.799999,27,17.369791,13.865361,-9.8058167,44.545399,27.070274,50.704723,-72.309158,126.44971
-17.700001,27,17.33102,13.834413,-9.7839289,44.445969,27.00985,50.591545,-72.147758,126.16746
-17.6,27,17.292248,13.803463,-9.7620411,44.346539,26.949425,50.478367,-71.986351,125.8852
-17.5,27,17.253477,13.772513,-9.7401533,44.247105,26.889,50.365185,-71.824951,125.60295
-17.4,27,17.214705,13.741564,-9.7182646,44.147675,26.828575,50.252003,-71.663544,125.32069
