temp,ref,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high
-20,27,-18.688431,12.92234,-44.015755,6.6388907,-154.4422,138.53325,-425.96237,117.07796
-19.9,27,-18.648668,12.894846,-43.922104,6.6247654,-154.1136,138.23849,-425.05606,116.82886
-19.799999,27,-18.608906,12.867352,-43.828453,6.61064,-153.785,137.94374,-424.14975,116.57976
-19.700001,27,-18.569143,12.839858,-43.734802,6.5965152,-153.45641,137.64899,-423.24347,116.33066
-19.6,27,-18.529381,12.812364,-43.641151,6.5823898,-153.12781,137.35423,-422.33716,116.08156
-19.5,27,-18.489618,12.784869,-43.547501,6.5682645,-152.79919,137.05948,-421.43085,115.83245
-19.4,27,-18.449856,12.757375,-43.45385,6.5541391,-152.4706,136.76472,-420.52454,115.58335
-19.299999,27,-18.410093,12.72988,-43.360199,6.5400138,-152.142,136.46999,-419.61823,115.33424
-19.200001,27,-18.370331,12.702386,-43.266548,6.5258884,-151.8134,136.17523,-418.71194,115.08514
-19.1,27,-18.330568,12.674891,-43.172897,6.5117631,-151.4848,135.88048,-417.80563,114.83604
-19,27,-18.290806,12.647397,-43.079247,6.4976377,-151.1562,135.58572,-416.89935,114.58694
-18.9,27,-18.251041,12.619903,-42.985596,6.4835124,-150.82759,135.29097,-415.99304,114.33784
-18.799999,27,-18.211279,12.592408,-42.891945,6.4693871,-150.49899,134.99622,-415.08673,114.08874
-18.700001,27,-18.171518,12.564915,-42.798298,6.4552622,-150.17039,134.70148,-414.18045,113.83964
-18.6,27,-18.131754,12.537419,-42.704647,6.4411368,-149.8418,134.40672,-413.27414,113.59053
-18.5,27,-18.091991,12.509925,-42.610996,6.4270115,-149.5132,134.11197,-412.36783,113.34143
-18.4,27,-18.052229,12.48243,-42.517345,6.4128861,-149.1846,133.81721,-411.46152,113.09233
-18.299999,27,-18.012466,12.454936,-42.423695,6.3987608,-148.85599,133.52246,-410.55521,112.84322
-18.200001,27,-17.972704,12.427443,-42.330044,6.3846354,-148.5274,133.22772,-409.64893,112.59412
-18.1,27,-17.932941,12.399948,-42.236393,6.3705101,-148.19879,132.93297,-408.74261,112.34502
-18,27,-17.893179,12.372454,-42.142742,6.3563848,-147.87019,132.63821,-407.8363,112.09592
-17.9,27,-17.853416,12.344959,-42.049091,6.3422594,-147.5416,132.34346,-406.92999,111.84682
-17.799999,27,-17.813654,12.317465,-41.955441,6.3281341,-147.213,132.04871,-406.02368,111.59772
-17.700001,27,-17.773891,12.28997,-41.86179,6.3140092,-146.8844,131.75395,-405.1174,111.34862
-17.6,27,-17.734129,12.262476,-41.768139,6.2998838,-146.55579,131.4592,-404.21109,111.09951
-17.5,27,-17.694366,12.234982,-41.674488,6.2857585,-146.22719,131.16446,-403.30481,110.85041
-17.4,27,-17.654602,12.207487,-41.580837,6.2716331,-145.89859,130.86971,-402.3985,110.60131
-17.299999,27,-17.61484,12.179993,-41.487186,6.2575078,-145.56999,130.57495,-401.49219,110.3522
-17.200001,27,-17.575079,12.152499,-41.393539,6.2433825,-145.24139,130.2802,-400.58591,110.1031
-17.1,27,-17.535315,12.125005,-41.299889,6.2292571,-144.9128,129.98544,-399.6796,109.854
-17,27,-17.495552,12.09751,-41.206238,6.2151318,-144.58418,129.69069,-398.77328,109.6049
-16.9,27,-17.45579,12.070016,-41.112587,6.2010064,-144.25558,129.39594,-397.86697,109.3558
-16.799999,27,-17.416027,12.042521,-41.018936,6.1868811,-143.92699,129.1012,-396.96066,109.1067
-16.700001,27,-17.376265,12.015027,-40.925285,6.1727562,-143.59839,128.80644,-396.05438,108.8576
-16.6,27,-17.336502,11.987533,-40.831635,6.1586308,-143.26979,128.51169,-395.14807,108.60849
-16.5,27,-17.29674,11.960038,-40.737984,6.1445055,-142.94119,128.21693,-394.24176,108.35939
-16.4,27,-17.256977,11.932544,-40.644333,6.1303802,-142.61258,127.92218,-393.33545,108.11029
-16.299999,27,-17.217215,11.905049,-40.550682,6.1162548,-142.28398,127.62743,-392.42914,107.86118
-16.200001,27,-17.177452,11.877556,-40.457035,6.1021295,-141.95538,127.33269,-391.52286,107.61208
-16.1,27,-17.13769,11.850061,-40.363384,6.0880041,-141.62679,127.03793,-390.61655,107.36298
-16,27,-17.097927,11.822567,-40.26973,6.0738788,-141.29819,126.74318,-389.71024,107.11388
-15.9,27,-17.058163,11.795073,-40.176079,6.0597534,-140.96959,126.44843,-388.80396,106.86478
-15.8,27,-17.018402,11.767578,-40.082432,6.0456281,-140.64099,126.15368,-387.89764,106.61568
-15.7,27,-16.978638,11.740084,-39.988781,6.0315027,-140.31238,125.85892,-386.99133,106.36658
-15.6,27,-16.938875,11.712589,-39.89513,6.0173779,-139.98378,125.56417,-386.08505,106.11747
-15.5,27,-16.899113,11.685095,-39.801479,6.0032525,-139.65518,125.26942,-385.17874,105.86837
-15.4,27,-16.85935,11.6576,-39.707829,5.9891272,-139.32658,124.97467,-384.27243,105.61927
-15.3,27,-16.819588,11.630107,-39.614178,5.9750018,-138.99799,124.67992,-383.36612,105.37016
-15.2,27,-16.779825,11.602612,-39.520527,5.9608765,-138.66939,124.38516,-382.45984,105.12106
-15.1,27,-16.740063,11.575118,-39.426876,5.9467511,-138.34079,124.09042,-381.55353,104.87196
-15,27,-16.7003,11.547624,-39.333225,5.9326258,-138.01218,123.79566,-380.64722,104.62286
-14.9,27,-16.660538,11.520129,-39.239574,5.9185004,-137.68358,123.50091,-379.74091,104.37376
-14.8,27,-16.620775,11.492635,-39.145924,5.9043751,-137.35498,123.20616,-378.83463,104.12466
-14.7,27,-16.581013,11.46514,-39.052273,5.8902497,-137.02638,122.91141,-377.92831,103.87555
-14.6,27,-16.54125,11.437646,-38.958626,5.8761249,-136.69778,122.61666,-377.022,103.62645
-14.5,27,-16.501488,11.410151,-38.864975,5.8619995,-136.36919,122.32191,-376.11569,103.37735
-14.4,27,-16.461725,11.382657,-38.771324,5.8478742,-136.04057,122.02715,-375.20941,103.12825
-14.3,27,-16.421963,11.355163,-38.677673,5.8337488,-135.71198,121.7324,-374.3031,102.87914
-14.2,27,-16.382198,11.327668,-38.584023,5.8196235,-135.38338,121.43765,-373.39679,102.63004
-14.1,27,-16.342436,11.300175,-38.490372,5.8054981,-135.05478,121.1429,-372.49051,102.38094
-14,27,-16.302673,11.27268,-38.396721,5.7913728,-134.72618,120.84814,-371.5842,102.13184
-13.9,27,-16.262911,11.245186,-38.30307,5.7772474,-134.39757,120.5534,-370.67789,101.88274
-13.8,27,-16.223148,11.217691,-38.209419,5.7631221,-134.06897,120.25864,-369.77158,101.63364
-13.7,27,-16.183386,11.190197,-38.115768,5.7489967,-133.74037,119.96389,-368.8653,101.38453
-13.6,27,-16.143623,11.162703,-38.022118,5.7348719,-133.41177,119.66914,-367.95898,101.13543
-13.5,27,-16.103861,11.135208,-37.928467,5.7207465,-133.08318,119.37439,-367.05267,100.88633
-13.4,27,-16.064098,11.107714,-37.834816,5.7066212,-132.75458,119.07964,-366.14636,100.63722
-13.3,27,-16.024336,11.080219,-37.741169,5.6924958,-132.42598,118.78489,-365.24008,100.38812
-13.2,27,-15.984573,11.052725,-37.647514,5.6783705,-132.09737,118.49014,-364.33377,100.13902
-13.1,27,-15.944811,11.025231,-37.553867,5.6642451,-131.76877,118.19538,-363.42746,99.889923
-13,27,-15.905047,10.997737,-37.460217,5.6501198,-131.44017,117.90063,-362.52115,99.640816
-12.9,27,-15.865285,10.970243,-37.366566,5.6359944,-131.11157,117.60588,-361.61487,99.391716
-12.8,27,-15.825522,10.942748,-37.272915,5.6218691,-130.78297,117.31113,-360.70856,99.142616
-12.7,27,-15.78576,10.915254,-37.179264,5.6077437,-130.45438,117.01637,-359.80225,98.893509
-12.6,27,-15.745997,10.887759,-37.085613,5.5936189,-130.12578,116.72163,-358.89597,98.644409
-12.5,27,-15.706235,10.860265,-36.991962,5.5794935,-129.79716,116.42687,-357.98965,98.395309
-12.4,27,-15.666471,10.83277,-36.898312,5.5653682,-129.46857,116.13212,-357.08334,98.146202
-12.3,27,-15.62671,10.805276,-36.804661,5.5512428,-129.13997,115.83737,-356.17703,97.897102
-12.2,27,-15.586946,10.777781,-36.71101,5.5371175,-128.81137,115.54262,-355.27075,97.648003
-12.1,27,-15.547184,10.750288,-36.617359,5.5229921,-128.48277,115.24787,-354.36444,97.398903
-12,27,-15.507421,10.722794,-36.523708,5.5088668,-128.15417,114.95312,-353.45813,97.149796
-11.9,27,-15.467659,10.695299,-36.430058,5.4947414,-127.82557,114.65836,-352.55182,96.900696
-11.8,27,-15.427896,10.667805,-36.336411,5.4806161,-127.49697,114.36361,-351.64554,96.651596
-11.7,27,-15.388134,10.64031,-36.24276,5.4664907,-127.16837,114.06886,-350.73923,96.402489
