temp,ref,yhat_comm,se_comm,lowerci_comm,upperci_comm,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high
-20,27,-7.1070833,12.52923,-31.663923,17.449757,-2.3498528,13.451125,-28.713573,24.013868,-34.139645,33.300831,-99.408073,31.128786
-19.9,27,-7.0919619,12.502572,-31.596554,17.41263,-2.3448532,13.422505,-28.652481,23.962774,-34.067009,33.22998,-99.196571,31.062553
-19.799999,27,-7.0768404,12.475914,-31.529182,17.375502,-2.3398535,13.393887,-28.591389,23.91168,-33.99437,33.159126,-98.985062,30.996323
-19.700001,27,-7.0617194,12.449257,-31.461813,17.338375,-2.3348539,13.365267,-28.530296,23.860588,-33.921734,33.088272,-98.77356,30.930092
-19.6,27,-7.0465975,12.422599,-31.394444,17.301249,-2.329854,13.336648,-28.469204,23.809494,-33.849094,33.017422,-98.56205,30.863859
-19.5,27,-7.031476,12.395941,-31.327074,17.26412,-2.3248544,13.308028,-28.40811,23.758402,-33.776459,32.946568,-98.35054,30.797628
-19.4,27,-7.0163546,12.369283,-31.259703,17.226994,-2.3198547,13.279408,-28.347017,23.707308,-33.703819,32.875713,-98.139038,30.731396
-19.299999,27,-7.0012331,12.342625,-31.192333,17.189867,-2.3148551,13.250789,-28.285925,23.656214,-33.631184,32.804863,-97.927528,30.665165
-19.200001,27,-6.9861121,12.315967,-31.124964,17.15274,-2.3098555,13.22217,-28.224833,23.605122,-33.558544,32.734009,-97.716026,30.598934
-19.1,27,-6.9709902,12.289309,-31.057592,17.115612,-2.3048556,13.19355,-28.16374,23.554028,-33.485909,32.663155,-97.504517,30.532701
-19,27,-6.9558687,12.26265,-30.990223,17.078485,-2.2998559,13.164931,-28.102646,23.502935,-33.413269,32.592304,-97.293015,30.466471
-18.9,27,-6.9407473,12.235992,-30.922853,17.041357,-2.2948563,13.136312,-28.041553,23.451841,-33.340633,32.52145,-97.081505,30.40024
-18.799999,27,-6.9256258,12.209334,-30.855482,17.00423,-2.2898567,13.107692,-27.980461,23.400747,-33.267994,32.450596,-96.869995,30.334007
-18.700001,27,-6.9105048,12.182677,-30.788113,16.967104,-2.284857,13.079073,-27.919369,23.349655,-33.195358,32.379745,-96.658493,30.267776
-18.6,27,-6.8953834,12.156019,-30.720743,16.929977,-2.2798572,13.050453,-27.858276,23.298561,-33.122719,32.308891,-96.446983,30.201546
-18.5,27,-6.8802614,12.129361,-30.653372,16.892849,-2.2748575,13.021834,-27.797184,23.247469,-33.050083,32.238041,-96.235481,30.135313
-18.4,27,-6.86514,12.102703,-30.586002,16.855722,-2.2698579,12.993215,-27.73609,23.196375,-32.977444,32.167187,-96.023972,30.069082
-18.299999,27,-6.8500185,12.076045,-30.518633,16.818594,-2.2648582,12.964595,-27.674997,23.145281,-32.904808,32.096333,-95.812462,30.00285
-18.200001,27,-6.8348975,12.049388,-30.451263,16.781467,-2.2598586,12.935976,-27.613905,23.094189,-32.832169,32.025482,-95.60096,29.936619
-18.1,27,-6.8197761,12.02273,-30.383892,16.744341,-2.2548587,12.907356,-27.552813,23.043095,-32.759533,31.954628,-95.38945,29.870388
-18,27,-6.8046541,11.996072,-30.316523,16.707214,-2.2498591,12.878736,-27.49172,22.992001,-32.686893,31.883776,-95.177948,29.804155
-17.9,27,-6.7895327,11.969414,-30.249151,16.670086,-2.2448595,12.850118,-27.430626,22.940908,-32.614258,31.812922,-94.966438,29.737925
-17.799999,27,-6.7744112,11.942756,-30.181782,16.632959,-2.2398598,12.821498,-27.369534,22.889814,-32.541618,31.742069,-94.754929,29.671692
-17.700001,27,-6.7592902,11.916098,-30.114412,16.595833,-2.2348602,12.792879,-27.308441,22.838722,-32.468983,31.671217,-94.543427,29.605463
-17.6,27,-6.7441688,11.88944,-30.047043,16.558704,-2.2298603,12.764259,-27.247349,22.787628,-32.396343,31.600365,-94.331917,29.53923
-17.5,27,-6.7290473,11.862782,-29.979671,16.521578,-2.2248607,12.73564,-27.186256,22.736534,-32.323708,31.52951,-94.120415,29.473
-17.4,27,-6.7139254,11.836123,-29.912302,16.484451,-2.219861,12.707021,-27.125164,22.685442,-32.251068,31.458658,-93.908905,29.406767
-17.299999,27,-6.6988039,11.809465,-29.844931,16.447323,-2.2148612,12.678401,-27.06407,22.634348,-32.178432,31.387804,-93.697395,29.340536
-17.200001,27,-6.6836829,11.782808,-29.777563,16.410196,-2.2098618,12.649782,-27.002979,22.583256,-32.105793,31.316954,-93.485893,29.274305
-17.1,27,-6.6685615,11.75615,-29.710192,16.37307,-2.2048619,12.621162,-26.941885,22.532162,-32.033157,31.246099,-93.274384,29.208073
-17,27,-6.65344,11.729492,-29.642822,16.335943,-2.1998622,12.592543,-26.880793,22.481068,-31.96052,31.175247,-93.062881,29.141842
