temp,ref,yhat_comm,se_comm,lowerci_comm,upperci_comm,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high,yhat_marg,se_marg,lowerci_marg,upperci_marg
-20,27,-17.811478,11.224747,-39.811577,4.188622,-2.4541934,9.8432531,-21.746614,16.838228,-155.81433,77.994064,-308.6799,-2.9487653,-153.36014,78.64695,-307.50531,.78505045
-19.9,27,-17.773581,11.200865,-39.726871,4.1797104,-2.4489715,9.8223095,-21.700346,16.802402,-155.4828,77.828125,-308.02313,-2.9424913,-153.03384,78.479614,-306.85104,.78338009
-19.8,27,-17.735683,11.176982,-39.642166,4.1707983,-2.4437499,9.8013668,-21.654076,16.766577,-155.15129,77.662178,-307.36636,-2.9362173,-152.70753,78.312279,-306.19678,.78170979
-19.7,27,-17.697788,11.1531,-39.557461,4.1618862,-2.4385283,9.7804241,-21.607807,16.730751,-154.81978,77.496231,-306.70959,-2.9299433,-152.38124,78.144951,-305.54254,.78003949
-19.6,27,-17.659891,11.129217,-39.472755,4.1529746,-2.4333065,9.7594805,-21.561537,16.694925,-154.48825,77.330292,-306.05283,-2.9236693,-152.05495,77.977615,-304.88824,.77836919
-19.5,27,-17.621994,11.105335,-39.38805,4.1440625,-2.4280849,9.7385378,-21.515268,16.659098,-154.15672,77.164345,-305.39606,-2.9173954,-151.72864,77.81028,-304.23398,.77669883
-19.4,27,-17.584097,11.081452,-39.303345,4.1351504,-2.422863,9.7175941,-21.468998,16.623272,-153.82521,76.998398,-304.73929,-2.9111214,-151.40234,77.642944,-303.57971,.77502853
-19.3,27,-17.5462,11.05757,-39.218639,4.1262383,-2.4176414,9.6966515,-21.422729,16.587446,-153.49368,76.832451,-304.08252,-2.9048474,-151.07605,77.475609,-302.92545,.77335817
-19.2,27,-17.508305,11.033688,-39.133934,4.1173267,-2.4124198,9.6757088,-21.376459,16.55162,-153.16217,76.666512,-303.42578,-2.8985736,-150.74976,77.308281,-302.27118,.77168787
-19.1,27,-17.470407,11.009806,-39.049229,4.1084146,-2.4071982,9.6547651,-21.330191,16.515795,-152.83066,76.500565,-302.76901,-2.8922997,-150.42345,77.140945,-301.61691,.77001756
-19,27,-17.43251,10.985923,-38.964523,4.0995026,-2.4019763,9.6338224,-21.28392,16.479969,-152.49913,76.334618,-302.11224,-2.8860254,-150.09715,76.97361,-300.96265,.76834726
-18.9,27,-17.394613,10.96204,-38.879818,4.0905905,-2.3967547,9.6128788,-21.237652,16.444141,-152.1676,76.168671,-301.45547,-2.8797514,-149.77086,76.806274,-300.30838,.7666769
-18.8,27,-17.356716,10.938158,-38.795113,4.0816784,-2.3915329,9.5919361,-21.191381,16.408316,-151.83609,76.002731,-300.79871,-2.8734775,-149.44455,76.638939,-299.65411,.7650066
-18.7,27,-17.318821,10.914275,-38.710407,4.0727668,-2.3863113,9.5709934,-21.145113,16.37249,-151.50458,75.836784,-300.14194,-2.8672037,-149.11826,76.471611,-298.99985,.7633363
-18.6,27,-17.280924,10.890393,-38.625702,4.0638547,-2.3810897,9.5500498,-21.098843,16.336664,-151.17305,75.670837,-299.48517,-2.8609297,-148.79196,76.304276,-298.34558,.76166594
-18.5,27,-17.243027,10.86651,-38.540997,4.0549426,-2.3758678,9.5291071,-21.052574,16.300838,-150.84154,75.504898,-298.8284,-2.8546557,-148.46567,76.13694,-297.69131,.75999564
-18.4,27,-17.20513,10.842628,-38.456291,4.046031,-2.3706462,9.5081635,-21.006304,16.265013,-150.51001,75.338951,-298.17163,-2.8483818,-148.13936,75.969604,-297.03705,.75832534
-18.3,27,-17.167233,10.818746,-38.371586,4.0371189,-2.3654246,9.4872208,-20.960035,16.229185,-150.17848,75.173004,-297.51486,-2.8421078,-147.81306,75.802269,-296.38278,.75665498
-18.2,27,-17.129337,10.794864,-38.28688,4.0282068,-2.360203,9.4662781,-20.913767,16.193359,-149.84697,75.007065,-296.85812,-2.8358338,-147.48677,75.634941,-295.72852,.75498468
-18.1,27,-17.09144,10.770981,-38.202175,4.0192947,-2.3549812,9.4453344,-20.867496,16.157534,-149.51546,74.841118,-296.20135,-2.8295598,-147.16048,75.467606,-295.07425,.75331438
-18,27,-17.053543,10.747098,-38.11747,4.0103831,-2.3497596,9.4243908,-20.821226,16.121708,-149.18393,74.675171,-295.54459,-2.8232858,-146.83417,75.30027,-294.41998,.75164402
-17.9,27,-17.015646,10.723216,-38.032761,4.001471,-2.3445377,9.4034481,-20.774958,16.085882,-148.85242,74.509224,-294.88782,-2.8170118,-146.50787,75.132935,-293.76572,.74997371
-17.8,27,-16.977749,10.699333,-37.948055,3.992559,-2.3393161,9.3825045,-20.728687,16.050056,-148.52089,74.343277,-294.23105,-2.8107378,-146.18158,74.965599,-293.11145,.74830335
-17.7,27,-16.939852,10.675451,-37.863354,3.9836471,-2.3340945,9.3615618,-20.682419,16.014231,-148.18938,74.177338,-293.57428,-2.8044641,-145.85529,74.798271,-292.45718,.74663311
-17.6,27,-16.901957,10.651568,-37.778648,3.9747353,-2.3288727,9.3406191,-20.63615,15.978404,-147.85785,74.011391,-292.91751,-2.7981901,-145.52898,74.630936,-291.80292,.74496275
-17.5,27,-16.864059,10.627687,-37.693939,3.9658232,-2.3236511,9.3196754,-20.58988,15.942578,-147.52634,73.845444,-292.26074,-2.7919159,-145.20268,74.4636,-291.14865,.74329245
-17.4,27,-16.826162,10.603804,-37.609234,3.9569111,-2.3184292,9.2987328,-20.54361,15.906752,-147.19481,73.679504,-291.60397,-2.7856419,-144.87639,74.296265,-290.49438,.74162209
-17.3,27,-16.788265,10.579921,-37.524529,3.9479992,-2.3132076,9.2777891,-20.497341,15.870926,-146.8633,73.513557,-290.9472,-2.7793679,-144.55008,74.128929,-289.84012,.73995179
-17.2,27,-16.750368,10.556039,-37.439827,3.9390874,-2.307986,9.2568464,-20.451073,15.8351,-146.53177,73.34761,-290.29047,-2.7730942,-144.22379,73.961601,-289.18585,.73828149
-17.1,27,-16.712473,10.532156,-37.355118,3.9301753,-2.3027644,9.2359037,-20.404802,15.799273,-146.20026,73.181671,-289.6337,-2.7668202,-143.89749,73.794266,-288.53159,.73661119
-17,27,-16.674576,10.508274,-37.270412,3.9212635,-2.2975426,9.2149601,-20.358534,15.763448,-145.86873,73.015724,-288.97693,-2.7605462,-143.5712,73.62693,-287.87732,.73494083
-16.9,27,-16.636679,10.484391,-37.185707,3.9123514,-2.292321,9.1940174,-20.312263,15.727622,-145.53722,72.849777,-288.32016,-2.7542722,-143.24489,73.459595,-287.22305,.73327053
-16.8,27,-16.598782,10.460509,-37.101002,3.9034393,-2.2870991,9.1730738,-20.265993,15.691795,-145.20569,72.68383,-287.66339,-2.7479982,-142.91859,73.292259,-286.56879,.73160017
-16.7,27,-16.560884,10.436626,-37.016296,3.8945274,-2.2818775,9.1521311,-20.219725,15.65597,-144.87418,72.517891,-287.00662,-2.7417243,-142.5923,73.124931,-285.91452,.72992986
-16.6,27,-16.522987,10.412745,-36.931591,3.8856156,-2.2766559,9.1311884,-20.173456,15.620144,-144.54265,72.351944,-286.34985,-2.7354503,-142.26601,72.957596,-285.26025,.72825956
-16.5,27,-16.485092,10.388862,-36.846886,3.8767035,-2.2714341,9.1102448,-20.127186,15.584318,-144.21114,72.185997,-285.69308,-2.7291763,-141.9397,72.79026,-284.60599,.72658926
-16.4,27,-16.447195,10.364979,-36.76218,3.8677914,-2.2662125,9.0893021,-20.080917,15.548491,-143.87961,72.02005,-285.03632,-2.7229023,-141.6134,72.622925,-283.95172,.7249189
-16.3,27,-16.409298,10.341097,-36.677475,3.8588796,-2.2609909,9.0683584,-20.034647,15.512666,-143.5481,71.854111,-284.37955,-2.7166283,-141.28709,72.455589,-283.29745,.7232486
-16.2,27,-16.371401,10.317215,-36.59277,3.8499677,-2.2557693,9.0474157,-19.988379,15.47684,-143.21658,71.688164,-283.72281,-2.7103546,-140.96082,72.288261,-282.64319,.7215783
-16.1,27,-16.333504,10.293332,-36.508064,3.8410556,-2.2505474,9.026473,-19.942108,15.441013,-142.88506,71.522217,-283.06604,-2.7040806,-140.63451,72.120926,-281.98892,.71990794
-16,27,-16.295607,10.269449,-36.423359,3.8321438,-2.2453258,9.0055294,-19.89584,15.405188,-142.55353,71.356277,-282.40927,-2.6978066,-140.30821,71.95359,-281.33466,.71823764
-15.9,27,-16.257711,10.245567,-36.338654,3.8232317,-2.240104,8.9845867,-19.849569,15.369362,-142.22202,71.190331,-281.7525,-2.6915324,-139.9819,71.786255,-280.68039,.71656734
-15.8,27,-16.219814,10.221684,-36.253948,3.8143198,-2.2348824,8.9636431,-19.803301,15.333535,-141.8905,71.024384,-281.09573,-2.6852586,-139.65561,71.618927,-280.02612,.71489698
-15.7,27,-16.181917,10.197803,-36.169243,3.8054078,-2.2296607,8.9427004,-19.75703,15.297709,-141.55898,70.858437,-280.43896,-2.6789846,-139.32932,71.451591,-279.37186,.71322668
-15.6,27,-16.14402,10.17392,-36.084538,3.7964959,-2.2244389,8.9217567,-19.710762,15.261884,-141.22746,70.692497,-279.7822,-2.6727107,-139.00302,71.284256,-278.71759,.71155638
-15.5,27,-16.106123,10.150038,-35.999832,3.7875838,-2.2192173,8.9008141,-19.664492,15.226057,-140.89594,70.52655,-279.12543,-2.6664367,-138.67671,71.11692,-278.06332,.70988601
-15.4,27,-16.068226,10.126155,-35.915127,3.778672,-2.2139957,8.8798704,-19.618223,15.190231,-140.56441,70.360603,-278.46866,-2.6601627,-138.35042,70.949585,-277.40906,.70821571
-15.3,27,-16.030331,10.102272,-35.830421,3.7697599,-2.2087739,8.8589277,-19.571953,15.154406,-140.23289,70.194664,-277.81192,-2.6538887,-138.02412,70.782257,-276.75479,.70654541
-15.2,27,-15.992434,10.07839,-35.745716,3.760848,-2.2035522,8.837985,-19.525684,15.11858,-139.90138,70.028717,-277.15515,-2.6476147,-137.69783,70.614922,-276.10052,.70487505
-15.1,27,-15.954536,10.054507,-35.661011,3.7519362,-2.1983306,8.8170414,-19.479414,15.082753,-139.56985,69.86277,-276.49838,-2.6413407,-137.37152,70.447586,-275.44626,.70320475
-15,27,-15.91664,10.030625,-35.576305,3.7430241,-2.1931088,8.7960987,-19.433146,15.046927,-139.23834,69.696823,-275.84161,-2.6350667,-137.04523,70.280251,-274.79199,.70153445
