temp,ref,yhat_comm,se_comm,lowerci_comm,upperci_comm,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high,yhat_marg,se_marg,lowerci_marg,upperci_marg
-20,27,-23.932804,20.125895,-63.37883,15.513224,-.20983933,19.288168,-38.013954,37.594276,-232.31648,89.232132,-407.20825,-57.424717,-232.10664,91.355431,-411.16,-53.053291
-19.9,27,-23.881884,20.083073,-63.24398,15.480217,-.20939286,19.247129,-37.933075,37.51429,-231.82219,89.042274,-406.34186,-57.302536,-231.61281,91.161057,-410.28519,-52.940411
-19.8,27,-23.830961,20.040251,-63.109135,15.447209,-.20894639,19.206091,-37.852192,37.434299,-231.3279,88.852425,-405.47546,-57.180355,-231.11896,90.966682,-409.41037,-52.82753
-19.7,27,-23.780041,19.997431,-62.974285,15.414204,-.20849992,19.165052,-37.771313,37.354313,-230.83362,88.662567,-404.60907,-57.058178,-230.62512,90.772316,-408.53558,-52.714653
-19.6,27,-23.72912,19.954611,-62.839436,15.381196,-.20805345,19.124014,-37.690434,37.274326,-230.33932,88.47271,-403.74265,-56.935997,-230.13127,90.577942,-407.66077,-52.601772
-19.5,27,-23.6782,19.911789,-62.70459,15.348189,-.20760699,19.082975,-37.60955,37.194336,-229.84503,88.28286,-402.87625,-56.813816,-229.63744,90.383568,-406.78595,-52.488892
-19.4,27,-23.627279,19.868967,-62.56974,15.315183,-.20716052,19.041937,-37.528671,37.114349,-229.35074,88.093002,-402.00986,-56.691635,-229.14359,90.189194,-405.91116,-52.376015
-19.3,27,-23.576357,19.826147,-62.434891,15.282175,-.20671405,19.000898,-37.447788,37.034363,-228.85645,87.903145,-401.14343,-56.569454,-228.64973,89.99482,-405.03635,-52.263134
-19.2,27,-23.525436,19.783325,-62.300045,15.249169,-.2062676,18.95986,-37.366909,36.954376,-228.36217,87.713287,-400.27707,-56.447277,-228.1559,89.800446,-404.16156,-52.150257
-19.1,27,-23.474516,19.740505,-62.165195,15.216162,-.20582113,18.918821,-37.28603,36.874386,-227.86787,87.523438,-399.41064,-56.325096,-227.66205,89.606071,-403.28674,-52.037376
