temp,ref,yhat_comm,se_comm,lowerci_comm,upperci_comm,yhat_low,se_low,lowerci_low,upperci_low,yhat_ag,se_ag,lowerci_ag,upperci_ag,yhat_nonag,se_nonag,lowerci_nonag,upperci_nonag
-20,27,-18.065104,11.387766,-40.384716,4.2545061,-.3340244,14.197106,-28.159842,27.491793,-212.68958,81.511467,-372.4491,-52.930035,-2.0495937,10.583282,-22.792446,18.69326
-19.9,27,-18.026669,11.363536,-40.29879,4.2454538,-.3333137,14.1669,-28.099928,27.4333,-212.23703,81.338036,-371.65665,-52.817417,-2.045233,10.560765,-22.743952,18.653486
-19.8,27,-17.988232,11.339307,-40.212864,4.2364016,-.33260301,14.136693,-28.040012,27.374805,-211.7845,81.164604,-370.8642,-52.7048,-2.0408721,10.538247,-22.695457,18.613714
-19.7,27,-17.949795,11.315078,-40.126942,4.2273498,-.33189234,14.106487,-27.980099,27.316315,-211.33199,80.99118,-370.07178,-52.592186,-2.0365114,10.51573,-22.646963,18.57394
-19.6,27,-17.91136,11.290849,-40.041016,4.2182975,-.33118165,14.076281,-27.920183,27.25782,-210.87944,80.817749,-369.27933,-52.479568,-2.0321505,10.493213,-22.598469,18.534168
-19.5,27,-17.872923,11.266619,-39.95509,4.2092452,-.33047095,14.046074,-27.86027,27.199327,-210.42691,80.644318,-368.48688,-52.366951,-2.0277896,10.470695,-22.549974,18.494394
-19.4,27,-17.834486,11.24239,-39.869164,4.2001929,-.32976025,14.015866,-27.800354,27.140833,-209.97438,80.470894,-367.69443,-52.254333,-2.0234287,10.448177,-22.50148,18.454622
-19.3,27,-17.796049,11.218161,-39.783241,4.1911411,-.32904956,13.98566,-27.74044,27.08234,-209.52185,80.297462,-366.90198,-52.141716,-2.019068,10.425659,-22.452984,18.414848
-19.2,27,-17.757614,11.193932,-39.697315,4.1820889,-.32833889,13.955454,-27.680527,27.023848,-209.06932,80.124039,-366.10956,-52.029099,-2.0147071,10.403142,-22.404491,18.375076
-19.1,27,-17.719177,11.169703,-39.611389,4.1730366,-.3276282,13.925247,-27.620611,26.965355,-208.61679,79.950607,-365.31711,-51.916481,-2.0103462,10.380625,-22.355995,18.335304
-19,27,-17.68074,11.145473,-39.525467,4.1639848,-.3269175,13.895041,-27.560696,26.90686,-208.16426,79.777176,-364.52466,-51.803864,-2.0059855,10.358107,-22.307501,18.29553
-18.9,27,-17.642303,11.121243,-39.439541,4.1549325,-.3262068,13.864834,-27.500782,26.848368,-207.71173,79.603745,-363.73221,-51.691246,-2.0016246,10.335588,-22.259007,18.255758
-18.8,27,-17.603867,11.097014,-39.353615,4.1458802,-.32549611,13.834627,-27.440866,26.789875,-207.2592,79.430321,-362.93976,-51.578629,-1.9972637,10.313071,-22.210512,18.215984
-18.7,27,-17.565432,11.072785,-39.267693,4.1368284,-.32478541,13.80442,-27.380953,26.731382,-206.80667,79.256889,-362.14734,-51.466015,-1.992903,10.290554,-22.162018,18.176212
-18.6,27,-17.526995,11.048555,-39.181767,4.1277761,-.32407475,13.774214,-27.321039,26.67289,-206.35414,79.083466,-361.35489,-51.353397,-1.9885421,10.268036,-22.113523,18.136438
-18.5,27,-17.488558,11.024326,-39.09584,4.1187239,-.32336405,13.744007,-27.261124,26.614395,-205.90161,78.910034,-360.56244,-51.24078,-1.9841813,10.245519,-22.065029,18.096666
-18.4,27,-17.450123,11.000097,-39.009914,4.1096716,-.32265335,13.7138,-27.201208,26.555902,-205.44907,78.736603,-359.76999,-51.128162,-1.9798204,10.223001,-22.016533,18.056892
-18.3,27,-17.411686,10.975867,-38.923992,4.1006193,-.32194266,13.683594,-27.141294,26.497408,-204.99654,78.563179,-358.97754,-51.015545,-1.9754596,10.200483,-21.968039,18.01712
