temp,ref,yhat_comm,se_comm,lowerci_comm,upperci_comm,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high,yhat_marg,se_marg,lowerci_marg,upperci_marg
-20,27,-17.811478,11.224747,-39.811577,4.188622,-3.765645,7.516511,-18.497736,10.966446,-141.62151,68.868713,-276.60172,-6.6413069,-137.85587,69.333939,-273.74789,-1.9638371
-19.9,27,-17.773581,11.200865,-39.726871,4.1797104,-3.757633,7.5005183,-18.45838,10.943113,-141.32018,68.722183,-276.01318,-6.6271763,-137.56255,69.186417,-273.16544,-1.9596587
-19.8,27,-17.735683,11.176982,-39.642166,4.1707983,-3.7496209,7.4845257,-18.419022,10.91978,-141.01886,68.575653,-275.42468,-6.6130457,-137.26924,69.038902,-272.58298,-1.9554803
-19.7,27,-17.697788,11.1531,-39.557461,4.1618862,-3.7416091,7.4685335,-18.379665,10.896447,-140.71754,68.429123,-274.83615,-6.5989156,-136.97594,68.89138,-272.00055,-1.9513021
-19.6,27,-17.659891,11.129217,-39.472755,4.1529746,-3.733597,7.4525409,-18.340309,10.873115,-140.41621,68.2826,-274.24765,-6.584785,-136.68262,68.743866,-271.41812,-1.9471236
-19.5,27,-17.621994,11.105335,-39.38805,4.1440625,-3.725585,7.4365482,-18.300951,10.849782,-140.1149,68.13607,-273.65912,-6.5706544,-136.38931,68.596344,-270.83566,-1.9429452
-19.4,27,-17.584097,11.081452,-39.303345,4.1351504,-3.7175729,7.4205556,-18.261595,10.826448,-139.81357,67.98954,-273.07062,-6.5565238,-136.09599,68.448822,-270.25323,-1.9387668
-19.3,27,-17.5462,11.05757,-39.218639,4.1262383,-3.7095609,7.404563,-18.222237,10.803116,-139.51225,67.84301,-272.48209,-6.5423937,-135.80269,68.301308,-269.67078,-1.9345884
-19.2,27,-17.508305,11.033688,-39.133934,4.1173267,-3.7015491,7.3885708,-18.18288,10.779783,-139.21092,67.69648,-271.89359,-6.5282631,-135.50938,68.153786,-269.08835,-1.9304101
-19.1,27,-17.470407,11.009806,-39.049229,4.1084146,-3.693537,7.3725781,-18.143524,10.756451,-138.90961,67.54995,-271.30508,-6.514133,-135.21606,68.006271,-268.50589,-1.9262317
-19,27,-17.43251,10.985923,-38.964523,4.0995026,-3.6855249,7.3565855,-18.104168,10.733117,-138.60828,67.403419,-270.71655,-6.5000024,-134.92276,67.858749,-267.92346,-1.9220533
-18.9,27,-17.394613,10.96204,-38.879818,4.0905905,-3.6775129,7.3405929,-18.06481,10.709785,-138.30696,67.256889,-270.12805,-6.4858718,-134.62944,67.711227,-267.341,-1.9178749
-18.8,27,-17.356716,10.938158,-38.795113,4.0816784,-3.6695008,7.3246002,-18.025454,10.686451,-138.00563,67.110359,-269.53952,-6.4717412,-134.33614,67.563705,-266.75858,-1.9136965
-18.7,27,-17.318821,10.914275,-38.710407,4.0727668,-3.661489,7.3086076,-17.986097,10.663118,-137.70432,66.963837,-268.95102,-6.4576111,-134.04283,67.416191,-266.17615,-1.9095182
-18.6,27,-17.280924,10.890393,-38.625702,4.0638547,-3.653477,7.2926149,-17.946739,10.639786,-137.403,66.817307,-268.36252,-6.4434805,-133.74951,67.268669,-265.59369,-1.9053398
-18.5,27,-17.243027,10.86651,-38.540997,4.0549426,-3.6454649,7.2766223,-17.907383,10.616453,-137.10167,66.670776,-267.77399,-6.4293499,-133.45621,67.121155,-265.01126,-1.9011614
-18.4,27,-17.20513,10.842628,-38.456291,4.046031,-3.6374528,7.2606297,-17.868025,10.59312,-136.80034,66.524246,-267.18549,-6.4152198,-133.16289,66.973633,-264.4288,-1.896983
-18.3,27,-17.167233,10.818746,-38.371586,4.0371189,-3.6294408,7.244637,-17.828669,10.569787,-136.49902,66.377716,-266.59695,-6.4010892,-132.86958,66.826111,-263.84634,-1.8928046
-18.2,27,-17.129337,10.794864,-38.28688,4.0282068,-3.621429,7.2286448,-17.789312,10.546454,-136.19771,66.231186,-266.00845,-6.3869591,-132.57628,66.678596,-263.26392,-1.8886263
-18.1,27,-17.09144,10.770981,-38.202175,4.0192947,-3.6134169,7.2126522,-17.749956,10.523122,-135.89638,66.084656,-265.41992,-6.3728285,-132.28296,66.531075,-262.68149,-1.8844479
-18,27,-17.053543,10.747098,-38.11747,4.0103831,-3.6054049,7.1966596,-17.710598,10.499788,-135.59506,65.938133,-264.83142,-6.3586979,-131.98965,66.38356,-262.09903,-1.8802695
-17.9,27,-17.015646,10.723216,-38.032761,4.001471,-3.5973928,7.1806669,-17.671242,10.476456,-135.29373,65.791603,-264.24289,-6.3445673,-131.69633,66.236038,-261.5166,-1.8760912
-17.8,27,-16.977749,10.699333,-37.948055,3.992559,-3.5893807,7.1646743,-17.631884,10.453123,-134.99242,65.645073,-263.65439,-6.3304367,-131.40303,66.088516,-260.93414,-1.8719128
