temp,ref,yhat_comm,se_comm,lowerci_comm,upperci_comm,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high,yhat_marg,se_marg,lowerci_marg,upperci_marg
-20,27,-17.614567,11.297853,-39.75795,4.5288177,-1.0177375,10.547639,-21.690729,19.655254,-238.30171,79.713371,-394.53705,-82.066376,-237.28398,80.490395,-395.04227,-79.525696
-19.9,27,-17.577089,11.273814,-39.673359,4.5191822,-1.0155721,10.525197,-21.644579,19.613434,-237.79468,79.54377,-393.6976,-81.891769,-236.77911,80.319138,-394.20175,-79.356491
-19.8,27,-17.53961,11.249777,-39.588768,4.5095463,-1.0134066,10.502755,-21.598429,19.571615,-237.28766,79.374161,-392.85815,-81.717155,-236.27425,80.147888,-393.36121,-79.187286
-19.7,27,-17.502132,11.225739,-39.504177,4.4999104,-1.0112413,10.480313,-21.552279,19.529795,-236.78064,79.204567,-392.01874,-81.542549,-235.76939,79.976631,-392.52072,-79.018082
-19.6,27,-17.464655,11.201701,-39.419586,4.4902749,-1.0090759,10.457871,-21.506128,19.487976,-236.27362,79.034958,-391.17929,-81.367943,-235.26454,79.805374,-391.68021,-78.848877
-19.5,27,-17.427177,11.177663,-39.334995,4.480639,-1.0069104,10.43543,-21.459976,19.446156,-235.76659,78.865356,-390.33984,-81.193329,-234.75967,79.634117,-390.83969,-78.679672
-19.4,27,-17.3897,11.153625,-39.250401,4.4710031,-1.0047451,10.412988,-21.413826,19.404335,-235.25957,78.695755,-389.5004,-81.018723,-234.25482,79.46286,-389.99915,-78.510468
-19.3,27,-17.352222,11.129586,-39.16581,4.4613671,-1.0025797,10.390546,-21.367676,19.362516,-234.75253,78.526146,-388.66095,-80.844109,-233.74995,79.291603,-389.15863,-78.341263
-19.2,27,-17.314745,11.105549,-39.081219,4.4517317,-1.0004143,10.368105,-21.321526,19.320698,-234.24551,78.356552,-387.82153,-80.669502,-233.2451,79.120354,-388.31815,-78.172066
-19.1,27,-17.277266,11.081511,-38.996628,4.4420958,-.99824888,10.345662,-21.275375,19.278877,-233.73849,78.186943,-386.98209,-80.494896,-232.74023,78.949097,-387.47763,-78.002861
-19,27,-17.239788,11.057473,-38.912037,4.4324598,-.9960835,10.32322,-21.229225,19.237057,-233.23146,78.017342,-386.14264,-80.320282,-232.23538,78.77784,-386.63712,-77.833656
-18.9,27,-17.202311,11.033435,-38.827446,4.4228244,-.99391806,10.300778,-21.183073,19.195238,-232.72444,77.84774,-385.30319,-80.145676,-231.73051,78.606583,-385.79657,-77.664452
-18.8,27,-17.164833,11.009397,-38.742855,4.4131885,-.99175268,10.278337,-21.136923,19.153418,-232.21741,77.678131,-384.46375,-79.971062,-231.22566,78.435326,-384.95605,-77.495247
-18.7,27,-17.127356,10.985359,-38.658264,4.4035525,-.98958731,10.255896,-21.090773,19.111599,-231.71039,77.508537,-383.62433,-79.796455,-230.72081,78.264069,-384.11557,-77.32605
-18.6,27,-17.089878,10.961321,-38.573673,4.3939171,-.98742193,10.233454,-21.044622,19.069778,-231.20337,77.338928,-382.78488,-79.621849,-230.21594,78.092812,-383.27505,-77.156845
