temp,ref,yhat_comm,se_comm,lowerci_comm,upperci_comm,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high,yhat_marg,se_marg,lowerci_marg,upperci_marg
-20,27,-17.614567,11.297853,-39.75795,4.5288177,-.60659349,10.608655,-21.399174,20.185987,-191.02223,60.737617,-310.0658,-71.978691,-190.41565,61.764275,-311.47141,-69.359886
-19.9,27,-17.577089,11.273814,-39.673359,4.5191822,-.60530287,10.586082,-21.353643,20.143038,-190.6158,60.608391,-309.40607,-71.825546,-190.0105,61.632862,-310.80869,-69.212311
-19.8,27,-17.53961,11.249777,-39.588768,4.5095463,-.60401225,10.563511,-21.308113,20.10009,-190.20938,60.47916,-308.74634,-71.672401,-189.60536,61.501446,-310.146,-69.064743
-19.7,27,-17.502132,11.225739,-39.504177,4.4999104,-.60272163,10.54094,-21.262585,20.05714,-189.80295,60.349934,-308.08664,-71.519257,-189.20023,61.370037,-309.48328,-68.917168
-19.6,27,-17.464655,11.201701,-39.419586,4.4902749,-.60143101,10.518369,-21.217054,20.014193,-189.39651,60.220703,-307.42694,-71.366112,-188.79509,61.238621,-308.82059,-68.769592
-19.5,27,-17.427177,11.177663,-39.334995,4.480639,-.60014039,10.495796,-21.171524,19.971243,-188.99008,60.091473,-306.76721,-71.212959,-188.38995,61.107208,-308.15787,-68.622017
-19.4,27,-17.3897,11.153625,-39.250401,4.4710031,-.59884977,10.473225,-21.125994,19.928293,-188.58365,59.962246,-306.10748,-71.059814,-187.9848,60.975796,-307.49518,-68.474442
-19.3,27,-17.352222,11.129586,-39.16581,4.4613671,-.59755915,10.450653,-21.080463,19.885345,-188.17722,59.833015,-305.44778,-70.90667,-187.57967,60.844379,-306.83246,-68.326866
-19.2,27,-17.314745,11.105549,-39.081219,4.4517317,-.59626853,10.428082,-21.034933,19.842396,-187.7708,59.703789,-304.78809,-70.753525,-187.17453,60.712971,-306.16977,-68.179298
-19.1,27,-17.277266,11.081511,-38.996628,4.4420958,-.59497792,10.40551,-20.989403,19.799448,-187.36436,59.574558,-304.12836,-70.60038,-186.76939,60.581554,-305.50705,-68.031723
-19,27,-17.239788,11.057473,-38.912037,4.4324598,-.5936873,10.382938,-20.943872,19.756498,-186.95793,59.445328,-303.46863,-70.447227,-186.36424,60.450142,-304.84436,-67.884148
-18.9,27,-17.202311,11.033435,-38.827446,4.4228244,-.59239662,10.360367,-20.898342,19.713549,-186.5515,59.316101,-302.80893,-70.294083,-185.95911,60.318729,-304.18164,-67.736572
-18.8,27,-17.164833,11.009397,-38.742855,4.4131885,-.591106,10.337795,-20.852812,19.670601,-186.14507,59.186871,-302.1492,-70.140938,-185.55397,60.187313,-303.51892,-67.588997
-18.7,27,-17.127356,10.985359,-38.658264,4.4035525,-.58981538,10.315224,-20.807283,19.627651,-185.73865,59.057644,-301.4895,-69.987793,-185.14883,60.055904,-302.85623,-67.441429
-18.6,27,-17.089878,10.961321,-38.573673,4.3939171,-.58852476,10.292652,-20.761753,19.584703,-185.33221,58.928413,-300.82977,-69.834648,-184.7437,59.924488,-302.19354,-67.293854
-18.5,27,-17.052399,10.937283,-38.489079,4.3842812,-.58723414,10.270081,-20.716223,19.541754,-184.92578,58.799183,-300.17007,-69.681503,-184.33855,59.793076,-301.53082,-67.146278
-18.4,27,-17.014921,10.913245,-38.404488,4.3746452,-.58594352,10.247509,-20.670692,19.498804,-184.51935,58.669956,-299.51035,-69.528351,-183.93341,59.661663,-300.8681,-66.998703
-18.3,27,-16.977444,10.889207,-38.319897,4.3650093,-.5846529,10.224937,-20.625162,19.455856,-184.11292,58.540726,-298.85065,-69.375206,-183.52827,59.530247,-300.20541,-66.851128
-18.2,27,-16.939966,10.86517,-38.235306,4.3553739,-.58336228,10.202366,-20.579632,19.412907,-183.7065,58.411499,-298.19092,-69.222061,-183.12314,59.398834,-299.54272,-66.703552
-18.1,27,-16.902489,10.841131,-38.150715,4.3457379,-.58207166,10.179794,-20.534101,19.369959,-183.30006,58.282269,-297.53122,-69.068916,-182.71799,59.267422,-298.88,-66.555977
-18,27,-16.865011,10.817093,-38.066124,4.336102,-.58078104,10.157223,-20.488571,19.327009,-182.89363,58.153038,-296.87149,-68.915771,-182.31285,59.136009,-298.21729,-66.408401
-17.9,27,-16.827532,10.793055,-37.981533,4.3264666,-.57949042,10.134651,-20.443041,19.28406,-182.4872,58.023811,-296.21179,-68.762619,-181.90771,59.004593,-297.5546,-66.260826
-17.8,27,-16.790054,10.769017,-37.896938,4.3168306,-.57819974,10.112079,-20.397511,19.241112,-182.08076,57.894581,-295.55206,-68.609474,-181.50256,58.87318,-296.89188,-66.113258
-17.7,27,-16.752577,10.744979,-37.812351,4.3071947,-.57690918,10.089508,-20.351982,19.198162,-181.67435,57.765354,-294.89236,-68.456329,-181.09744,58.741768,-296.22919,-65.965683
-17.6,27,-16.715099,10.720942,-37.727757,4.2975593,-.57561851,10.066936,-20.306452,19.155214,-181.26791,57.636124,-294.23264,-68.303185,-180.69229,58.610355,-295.56647,-65.818108
-17.5,27,-16.677622,10.696903,-37.643166,4.2879233,-.57432789,10.044365,-20.260921,19.112265,-180.86148,57.506893,-293.57294,-68.15004,-180.28716,58.478943,-294.90378,-65.670532
-17.4,27,-16.640144,10.672865,-37.558575,4.2782874,-.57303727,10.021792,-20.215391,19.069315,-180.45505,57.377666,-292.91321,-67.996895,-179.88202,58.347527,-294.24106,-65.522957
