temp,yhat_comm,se_comm,lowerci_comm,upperci_comm,yhat_low,se_low,lowerci_low,upperci_low,yhat_ag,se_ag,lowerci_ag,upperci_ag,yhat_nonag,se_nonag,lowerci_nonag,upperci_nonag,yhat_nonag_low,se_nonag_low,lowerci_nonag_low,upperci_nonag_low,yhat_ag_low,se_ag_low,lowerci_ag_low,upperci_ag_low,yhat_ag_nonag,se_ag_nonag,lowerci_ag_nonag,upperci_ag_nonag
-20,-18.509544,11.365974,-40.786446,3.7673552,-.54317981,14.243834,-28.460583,27.374224,-221.67274,84.740005,-387.7601,-55.585381,-3.0971167,10.541548,-23.758171,17.563938,-2.553937,17.609749,-37.068409,31.960535,-221.12956,86.17009,-390.01984,-52.239285,-218.57562,85.235283,-385.6337,-51.517536
-19.9,-18.470163,11.341791,-40.699665,3.7593396,-.54202408,14.213529,-28.400028,27.315981,-221.2011,84.559708,-386.93506,-55.467113,-3.0905271,10.519119,-23.707623,17.526567,-2.5485029,17.572281,-36.98954,31.892534,-220.65907,85.986748,-389.19,-52.128139,-218.11057,85.053932,-384.8132,-51.407921
-19.8,-18.43078,11.317608,-40.612885,3.7513239,-.5408684,14.183223,-28.339474,27.257736,-220.72945,84.37941,-386.11005,-55.348846,-3.0839374,10.496691,-23.657072,17.489197,-2.5430691,17.534813,-36.910671,31.824533,-220.18858,85.803406,-388.36017,-52.016991,-217.64551,84.872581,-383.99271,-51.298309
-19.7,-18.391399,11.293426,-40.526108,3.7433083,-.53971273,14.152917,-28.278921,27.199495,-220.25781,84.199112,-385.28503,-55.230579,-3.077348,10.474262,-23.606524,17.451828,-2.5376353,17.497347,-36.831802,31.756533,-219.71809,85.620071,-387.53036,-51.905846,-217.18047,84.691231,-383.17221,-51.188702
-19.6,-18.352016,11.269242,-40.439327,3.7352927,-.53855699,14.122611,-28.218365,27.141253,-219.78616,84.018814,-384.46002,-55.112312,-3.0707583,10.451833,-23.555975,17.414457,-2.5322013,17.459879,-36.752934,31.688532,-219.2476,85.436729,-386.70053,-51.794697,-216.71541,84.50988,-382.35172,-51.079086
-19.5,-18.312635,11.24506,-40.352547,3.727277,-.53740126,14.092305,-28.15781,27.083008,-219.31451,83.838516,-383.63498,-54.994045,-3.0641687,10.429404,-23.505424,17.377087,-2.5267675,17.422411,-36.674065,31.620529,-218.77711,85.253387,-385.8707,-51.683548,-216.25035,84.328529,-381.53122,-50.969475
-19.4,-18.273252,11.220877,-40.265766,3.7192614,-.53624558,14.061998,-28.097256,27.024765,-218.84286,83.658218,-382.80997,-54.875778,-3.057579,10.406975,-23.454876,17.339718,-2.5213335,17.384943,-36.595196,31.552528,-218.30663,85.070045,-385.04086,-51.572399,-215.78529,84.147171,-380.71072,-50.859863
-19.3,-18.23387,11.196693,-40.178986,3.7112455,-.53508985,14.031693,-28.036701,26.966522,-218.37123,83.477921,-381.98495,-54.757511,-3.0509894,10.384546,-23.404325,17.302347,-2.5158997,17.347475,-36.516327,31.484528,-217.83614,84.886703,-384.21103,-51.461254,-215.32024,83.96582,-379.89023,-50.750252
-19.2,-18.194489,11.172511,-40.092209,3.7032301,-.53393418,14.001387,-27.976149,26.908279,-217.89958,83.297623,-381.15994,-54.639248,-3.0444,10.362118,-23.353777,17.264978,-2.5104656,17.310009,-36.437458,31.416527,-217.36566,84.703369,-383.3812,-51.350109,-214.85519,83.78447,-379.06973,-50.64064
-19.1,-18.155107,11.148328,-40.005428,3.6952145,-.5327785,13.971081,-27.915594,26.850037,-217.42795,83.117325,-380.3349,-54.520981,-3.0378103,10.339689,-23.303228,17.227608,-2.5050318,17.272541,-36.358589,31.348526,-216.89517,84.520027,-382.55136,-51.23896,-214.39014,83.603119,-378.24924,-50.531029
-19,-18.115725,11.124145,-39.918648,3.6871986,-.53162277,13.940775,-27.85504,26.791794,-216.9563,82.937027,-379.50989,-54.40271,-3.0312207,10.31726,-23.252678,17.190237,-2.4995978,17.235073,-36.27972,31.280525,-216.42467,84.336685,-381.72153,-51.127811,-213.92508,83.421768,-377.42874,-50.421417
-18.9,-18.076342,11.099962,-39.831867,3.679183,-.53046709,13.910468,-27.794485,26.733549,-216.48465,82.756729,-378.68484,-54.284443,-3.024631,10.294831,-23.202129,17.152866,-2.494164,17.197605,-36.200851,31.212523,-215.95418,84.153343,-380.89169,-51.016663,-213.46002,83.240417,-376.60825,-50.311806
-18.8,-18.036961,11.075779,-39.745087,3.6711674,-.52931136,13.880162,-27.733929,26.675306,-216.013,82.576431,-377.85983,-54.166176,-3.0180414,10.272402,-23.151579,17.115498,-2.48873,17.160137,-36.121983,31.144522,-215.48369,83.970001,-380.06186,-50.905518,-212.99496,83.059059,-375.78775,-50.202194
-18.7,-17.99758,11.051597,-39.65831,3.663152,-.52815568,13.849856,-27.673376,26.617065,-215.54137,82.396133,-377.03482,-54.047913,-3.011452,10.249973,-23.10103,17.078127,-2.4832962,17.122671,-36.043114,31.076521,-215.01321,83.786667,-379.23206,-50.794369,-212.52992,82.877716,-374.96725,-50.092583
-18.6,-17.958197,11.027413,-39.571529,3.6551361,-.52699995,13.819551,-27.612822,26.558821,-215.06972,82.215836,-376.20981,-53.929646,-3.0048623,10.227545,-23.050482,17.040756,-2.4778624,17.085203,-35.964245,31.00852,-214.54272,83.603325,-378.40222,-50.683224,-212.06487,82.696365,-374.14676,-49.982971
-18.5,-17.918814,11.00323,-39.484749,3.6471205,-.52584428,13.789245,-27.552267,26.500578,-214.59808,82.035538,-375.38477,-53.811378,-2.9982727,10.205115,-22.999931,17.003387,-2.4724283,17.047735,-35.885376,30.940519,-214.07224,83.419983,-377.57239,-50.572075,-211.59981,82.515007,-373.32626,-49.87336
-18.4,-17.879433,10.979047,-39.397968,3.6391048,-.52468854,13.758938,-27.491713,26.442335,-214.12643,81.85524,-374.55975,-53.693111,-2.991683,10.182687,-22.949383,16.966017,-2.4669943,17.010267,-35.806507,30.872517,-213.60175,83.236641,-376.74255,-50.460926,-211.13475,82.333656,-372.50574,-49.763744
-18.3,-17.84005,10.954865,-39.311188,3.6310892,-.52353287,13.728632,-27.431158,26.384092,-213.65479,81.674942,-373.73474,-53.574844,-2.9850934,10.160258,-22.898832,16.928646,-2.4615605,16.972799,-35.727638,30.804516,-213.13126,83.053299,-375.91272,-50.349777,-210.66969,82.152306,-371.68524,-49.654133
-18.2,-17.800669,10.930681,-39.224411,3.6230736,-.52237719,13.698326,-27.370604,26.32585,-213.18315,81.494644,-372.90973,-53.456577,-2.9785037,10.13783,-22.848284,16.891277,-2.4561267,16.935333,-35.648769,30.736515,-212.66077,82.869957,-375.08292,-50.238632,-210.20465,81.970955,-370.86478,-49.544525
