temp,ref,yhat_comm,se_comm,lowerci_comm,upperci_comm,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high,yhat_marg,se_marg,lowerci_marg,upperci_marg
-20,27,-33.499981,43.072918,-117.92135,50.921383,6.5412612,35.951447,-63.922276,77.004799,-857.35339,283.93683,-1413.8594,-300.84747,-863.89465,285.37051,-1423.2106,-304.57874
-19.9,27,-33.428703,42.98127,-117.67045,50.813038,6.5273438,35.874954,-63.78627,76.840958,-855.52924,283.3327,-1410.8511,-300.20737,-862.05658,284.76334,-1420.1825,-303.93069
-19.8,27,-33.357426,42.889626,-117.41955,50.704697,6.5134263,35.798462,-63.650265,76.677116,-853.70508,282.72858,-1407.8429,-299.56726,-860.21851,284.15616,-1417.1544,-303.28265
-19.7,27,-33.286152,42.797985,-117.16866,50.596355,6.4995089,35.72197,-63.514263,76.513283,-851.88098,282.12445,-1404.8347,-298.92719,-858.38049,283.54901,-1414.1263,-302.63464
-19.6,27,-33.214874,42.706337,-116.91776,50.48801,6.4855909,35.645477,-63.378258,76.349442,-850.05682,281.52032,-1401.8265,-298.28708,-856.54242,282.94183,-1411.0981,-301.9866
-19.5,27,-33.143597,42.614693,-116.66686,50.379665,6.4716735,35.568985,-63.242252,76.1856,-848.23267,280.9162,-1398.8182,-297.64697,-854.70428,282.33466,-1408.0701,-301.33853
-19.4,27,-33.072323,42.523048,-116.41596,50.271324,6.457756,35.492489,-63.106247,76.021759,-846.40845,280.3121,-1395.8101,-297.00687,-852.86621,281.72748,-1405.042,-300.69049
-19.3,27,-33.001045,42.431404,-116.16507,50.162979,6.4438381,35.415997,-62.970242,75.857918,-844.58429,279.70798,-1392.8019,-296.36676,-851.02814,281.1203,-1402.0138,-300.04245
-19.2,27,-32.929768,42.33976,-115.91418,50.054638,6.4299207,35.339508,-62.83424,75.694084,-842.76019,279.10385,-1389.7937,-295.72668,-849.19012,280.51315,-1398.9857,-299.39444
-19.1,27,-32.858494,42.248116,-115.66328,49.946293,6.4160032,35.263016,-62.698235,75.530243,-840.93604,278.49973,-1386.7854,-295.08658,-847.35205,279.90598,-1395.9576,-298.7464
-19,27,-32.787216,42.156471,-115.41238,49.837948,6.4020858,35.18652,-62.562229,75.366402,-839.11188,277.8956,-1383.7772,-294.44647,-845.51392,279.2988,-1392.9296,-298.09836
-18.9,27,-32.715939,42.064827,-115.16148,49.729607,6.3881679,35.110027,-62.426224,75.20256,-837.28772,277.29147,-1380.769,-293.80637,-843.67584,278.69162,-1389.9014,-297.45032
-18.8,27,-32.644661,41.973183,-114.91058,49.621262,6.3742504,35.033535,-62.290218,75.038719,-835.4635,276.68735,-1377.7607,-293.16626,-841.83777,278.08444,-1386.8733,-296.80228
-18.7,27,-32.573387,41.881538,-114.65969,49.51292,6.360333,34.957043,-62.154217,74.874878,-833.6394,276.08325,-1374.7527,-292.52618,-839.99976,277.47729,-1383.8452,-296.15424
