temp,ref,yhat_comm,se_comm,lowerci_comm,upperci_comm,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high,yhat_marg,se_marg,lowerci_marg,upperci_marg,slope_comm,slope_low,slope_high,slope_marg
-20,27,-16.798838,21.782661,-59.492069,25.894396,-20.195583,19.022858,-57.479698,17.088533,8.5479851,231.33713,-444.86444,461.96042,28.743568,232.98346,-427.89563,485.38278,.35743713,.42970657,-.18187523,-.61157227
-19.9,27,-16.763094,21.736317,-59.36549,25.839302,-20.152613,18.982384,-57.357403,17.052176,8.5297976,230.84491,-443.91791,460.97751,28.682411,232.48775,-426.98523,484.35004,.3574276,.42969704,-.18187046,-.61157227
-19.8,27,-16.727352,21.68997,-59.238911,25.784208,-20.109644,18.94191,-57.235104,17.015818,8.511611,230.35271,-442.97141,459.99463,28.621254,231.99205,-426.0748,483.31729,.35741806,.4296875,-.18187046,-.61156273
-19.7,27,-16.69161,21.643625,-59.112335,25.729115,-20.066675,18.901436,-57.112808,16.97946,8.4934235,229.8605,-442.0249,459.01175,28.560099,231.49634,-425.1644,482.28458,.35741806,.4296875,-.18187523,-.61156273
-19.6,27,-16.655869,21.597279,-58.985756,25.674019,-20.023706,18.860962,-56.990513,16.9431,8.4752359,229.3683,-441.07837,458.02884,28.498941,231.00063,-424.25397,481.25186,.35741806,.42969704,-.18187046,-.61156273
-19.5,27,-16.620127,21.550932,-58.859177,25.618925,-19.980736,18.820488,-56.868214,16.906742,8.4570494,228.87608,-440.13184,457.04593,28.437786,230.50491,-423.34357,480.21912,.3574276,.42969704,-.18187046,-.61156273
-19.4,27,-16.584383,21.504585,-58.732597,25.563829,-19.937767,18.780014,-56.745914,16.870382,8.4388618,228.38388,-439.18533,456.06305,28.376629,230.0092,-422.43314,479.1864,.3574276,.42969704,-.18187523,-.61157227
-19.3,27,-16.548641,21.458239,-58.606018,25.508736,-19.894796,18.739538,-56.623619,16.834024,8.4206743,227.89168,-438.2388,455.08014,28.315472,229.51349,-421.52271,478.15366,.35741806,.4296875,-.18187046,-.61156273
-19.2,27,-16.512899,21.411894,-58.479439,25.453642,-19.85183,18.699066,-56.501324,16.797667,8.4024878,227.39948,-437.2923,454.09726,28.254316,229.01779,-420.6123,477.12094,.35741806,.4296875,-.18187046,-.61156273
-19.1,27,-16.477158,21.365547,-58.352859,25.398546,-19.808859,18.65859,-56.379025,16.761307,8.3843002,226.90726,-436.34576,453.11438,28.193159,228.52208,-419.7019,476.0882,.35741806,.42969704,-.18187523,-.61157227
-19,27,-16.441416,21.319201,-58.22628,25.343452,-19.76589,18.618116,-56.256729,16.724949,8.3661127,226.41505,-435.39923,452.13147,28.132002,228.02637,-418.79147,475.05548,.3574276,.42969704,-.18187046,-.61156273
-18.9,27,-16.405672,21.272856,-58.099701,25.288357,-19.722919,18.577642,-56.13443,16.688589,8.3479261,225.92285,-434.45273,451.14856,28.070847,227.53065,-417.88104,474.02274,.3574276,.42969704,-.18187046,-.61156273
-18.8,27,-16.36993,21.226509,-57.973122,25.233263,-19.679951,18.537169,-56.012131,16.652231,8.3297386,225.43063,-433.5062,450.16568,28.009689,227.03494,-416.97064,472.99002,.35741806,.4296875,-.18187523,-.61156273
-18.7,27,-16.334188,21.180164,-57.846546,25.178169,-19.636982,18.496695,-55.889835,16.615873,8.3115511,224.93845,-432.55969,449.1828,27.948534,226.53925,-416.06024,471.95731,.35741806,.4296875,-.18187046,-.61156273
