temp,ref,yhat_comm,se_comm,lowerci_comm,upperci_comm,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high,yhat_marg,se_marg,lowerci_marg,upperci_marg
-20,27,-14.70859,11.095538,-36.455444,7.0382657,.13332553,13.325224,-25.983633,26.250284,-36.443298,21.352583,-78.293594,5.4069943,-36.576626,22.509756,-80.694931,7.5416861
-19.9,27,-14.677295,11.071931,-36.37788,7.0232906,.13304186,13.296872,-25.928349,26.194431,-36.365761,21.307152,-78.127007,5.3954902,-36.498802,22.461863,-80.523239,7.52564
-19.799999,27,-14.646,11.048323,-36.300316,7.0083156,.13275819,13.26852,-25.873064,26.13858,-36.288219,21.261721,-77.960426,5.3839855,-36.420979,22.413969,-80.351547,7.5095935
-19.700001,27,-14.614705,11.024716,-36.222752,6.9933405,.13247453,13.24017,-25.81778,26.082729,-36.210682,21.21629,-77.793846,5.3724818,-36.343159,22.366077,-80.179863,7.4935479
-19.6,27,-14.58341,11.001108,-36.145187,6.9783654,.13219085,13.211818,-25.762495,26.026876,-36.133144,21.170858,-77.627266,5.3609772,-36.265335,22.318184,-80.008171,7.4775014
-19.5,27,-14.552115,10.977501,-36.067623,6.9633904,.13190718,13.183466,-25.707211,25.971025,-36.055603,21.125427,-77.460678,5.349473,-36.187511,22.27029,-79.836479,7.4614553
-19.4,27,-14.520821,10.953893,-35.990055,6.9484153,.13162351,13.155114,-25.651926,25.915173,-35.978065,21.079996,-77.294098,5.3379688,-36.109688,22.222397,-79.664787,7.4454093
-19.299999,27,-14.489526,10.930285,-35.912491,6.9334402,.13133983,13.126762,-25.596642,25.859322,-35.900524,21.034565,-77.127518,5.3264647,-36.031864,22.174503,-79.493095,7.4293628
-19.200001,27,-14.458231,10.906678,-35.834927,6.9184656,.13105616,13.098412,-25.541359,25.803471,-35.822987,20.989136,-76.960938,5.3149605,-35.954044,22.126612,-79.321404,7.4133172
-19.1,27,-14.426936,10.883071,-35.757362,6.9034905,.1307725,13.07006,-25.486074,25.74762,-35.745449,20.943703,-76.79435,5.3034563,-35.876221,22.078718,-79.149712,7.3972707
-19,27,-14.395641,10.859463,-35.679798,6.8885155,.13048883,13.041708,-25.43079,25.691767,-35.667908,20.898272,-76.627769,5.2919521,-35.798397,22.030825,-78.97802,7.3812246
-18.9,27,-14.364347,10.835855,-35.602234,6.8735404,.13020515,13.013356,-25.375505,25.635916,-35.59037,20.85284,-76.461189,5.2804475,-35.720573,21.982931,-78.806328,7.3651786
-18.799999,27,-14.333051,10.812248,-35.524666,6.8585653,.12992148,12.985004,-25.320221,25.580063,-35.512833,20.807409,-76.294601,5.2689433,-35.642754,21.935038,-78.634636,7.3491321
-18.700001,27,-14.301757,10.788641,-35.447105,6.8435903,.12963781,12.956654,-25.264936,25.524212,-35.435291,20.76198,-76.128029,5.2574391,-35.56493,21.887146,-78.462952,7.3330865
-18.6,27,-14.270462,10.765033,-35.369537,6.8286152,.12935413,12.928302,-25.209652,25.468361,-35.357754,20.716549,-75.961441,5.245935,-35.487106,21.839252,-78.29126,7.31704
-18.5,27,-14.239167,10.741426,-35.291973,6.8136401,.12907046,12.89995,-25.154367,25.412508,-35.280216,20.671118,-75.794861,5.2344308,-35.409286,21.791359,-78.119568,7.3009939
-18.4,27,-14.207871,10.717818,-35.214409,6.798665,.12878679,12.871599,-25.099083,25.356657,-35.202675,20.625687,-75.628281,5.2229266,-35.331463,21.743465,-77.947876,7.2849479
-18.299999,27,-14.176577,10.69421,-35.136845,6.78369,.12850311,12.843247,-25.043798,25.300804,-35.125137,20.580256,-75.461693,5.211422,-35.253639,21.695572,-77.776176,7.2689018
-18.200001,27,-14.145283,10.670603,-35.05928,6.7687154,.12821946,12.814896,-24.988516,25.244955,-35.0476,20.534824,-75.295113,5.1999183,-35.175819,21.64768,-77.604492,7.2528558
-18.1,27,-14.113987,10.646996,-34.981716,6.7537403,.12793578,12.786545,-24.933231,25.189102,-34.970058,20.489393,-75.128532,5.1884136,-35.097996,21.599787,-77.4328,7.2368093
-18,27,-14.082692,10.623387,-34.904148,6.7387652,.12765211,12.758193,-24.877947,25.133251,-34.892521,20.443962,-74.961952,5.1769094,-35.020172,21.551893,-77.261108,7.2207632
-17.9,27,-14.051397,10.59978,-34.826584,6.7237902,.12736844,12.729841,-24.822662,25.077398,-34.81498,20.398531,-74.795364,5.1654053,-34.942348,21.504,-77.089417,7.2047172
-17.799999,27,-14.020103,10.576173,-34.74902,6.7088146,.12708476,12.701489,-24.767378,25.021547,-34.737442,20.3531,-74.628784,5.1539011,-34.864525,21.456106,-76.917725,7.1886711
-17.700001,27,-13.988808,10.552566,-34.671455,6.69384,.1268011,12.673139,-24.712093,24.965696,-34.659904,20.307669,-74.462204,5.1423969,-34.786705,21.408215,-76.746033,7.1726251
-17.6,27,-13.957513,10.528957,-34.593891,6.678865,.12651743,12.644787,-24.656809,24.909843,-34.582363,20.262238,-74.295624,5.1308928,-34.708881,21.360321,-76.574341,7.156579
-17.5,27,-13.926218,10.50535,-34.516327,6.6638899,.12623376,12.616435,-24.601524,24.853992,-34.504826,20.216806,-74.129036,5.1193881,-34.631058,21.312428,-76.402649,7.1405325
-17.4,27,-13.894923,10.481743,-34.438763,6.6489148,.12595008,12.588083,-24.54624,24.79814,-34.427284,20.171375,-73.962456,5.1078839,-34.553238,21.264534,-76.230957,7.1244864
-17.299999,27,-13.863628,10.458135,-34.361195,6.6339397,.12566641,12.559731,-24.490955,24.742289,-34.349747,20.125944,-73.795876,5.0963798,-34.475414,21.216642,-76.059265,7.1084404
-17.200001,27,-13.832334,10.434527,-34.28363,6.6189647,.12538274,12.531381,-24.435673,24.686438,-34.272209,20.080515,-73.629295,5.0848756,-34.397591,21.168749,-75.887581,7.0923944
-17.1,27,-13.801039,10.41092,-34.206066,6.6039896,.12509906,12.503029,-24.380388,24.630585,-34.194672,20.035084,-73.462708,5.0733714,-34.319771,21.120855,-75.715889,7.0763483
-17,27,-13.769744,10.387313,-34.128502,6.5890145,.1248154,12.474677,-24.325104,24.574734,-34.11713,19.989653,-73.296127,5.0618672,-34.241947,21.072962,-75.544197,7.0603018
-16.9,27,-13.738449,10.363705,-34.050938,6.5740395,.12453172,12.446325,-24.269819,24.518883,-34.039593,19.944221,-73.129547,5.0503626,-34.164124,21.02507,-75.372505,7.0442557
-16.799999,27,-13.707153,10.340097,-33.973373,6.5590644,.12424805,12.417974,-24.214535,24.46303,-33.962051,19.89879,-72.962959,5.0388584,-34.0863,20.977177,-75.200813,7.0282097
-16.700001,27,-13.675859,10.31649,-33.895809,6.5440898,.12396438,12.389623,-24.15925,24.407179,-33.884514,19.853359,-72.796387,5.0273542,-34.00848,20.929283,-75.029121,7.0121636
-16.6,27,-13.644565,10.292883,-33.818245,6.5291147,.12368071,12.361271,-24.103966,24.351328,-33.806976,19.807928,-72.629799,5.0158501,-33.930656,20.88139,-74.85743,6.9961176
-16.5,27,-13.61327,10.269275,-33.740677,6.5141397,.12339704,12.33292,-24.048681,24.295475,-33.729435,19.762497,-72.463219,5.0043459,-33.852833,20.833498,-74.685738,6.9800711
-16.4,27,-13.581974,10.245667,-33.663113,6.4991646,.12311336,12.304568,-23.993397,24.239624,-33.651897,19.717066,-72.296638,4.9928417,-33.775009,20.785604,-74.514046,6.964025
-16.299999,27,-13.550679,10.222059,-33.585548,6.4841895,.12282969,12.276217,-23.938112,24.183771,-33.574356,19.671635,-72.130051,4.9813371,-33.697186,20.737711,-74.342354,6.947979
-16.200001,27,-13.519385,10.198452,-33.507984,6.4692144,.12254602,12.247866,-23.88283,24.12792,-33.496819,19.626204,-71.96347,4.9698334,-33.619366,20.689817,-74.170662,6.9319329
-16.1,27,-13.48809,10.174845,-33.43042,6.4542394,.12226235,12.219514,-23.827543,24.072069,-33.419281,19.580772,-71.79689,4.9583287,-33.541542,20.641926,-73.99897,6.9158869
-16,27,-13.456795,10.151237,-33.352856,6.4392643,.12197869,12.191162,-23.772259,24.016216,-33.34174,19.535341,-71.63031,4.9468246,-33.463718,20.594032,-73.827278,6.8998404
-15.9,27,-13.4255,10.127629,-33.275288,6.4242892,.12169501,12.16281,-23.716974,23.960365,-33.264202,19.48991,-71.463722,4.9353204,-33.385899,20.546139,-73.655586,6.8837943
-15.8,27,-13.394205,10.104022,-33.197723,6.4093142,.12141134,12.134459,-23.661692,23.904514,-33.186665,19.444479,-71.297142,4.9238162,-33.308075,20.498245,-73.483894,6.8677483
-15.7,27,-13.36291,10.080415,-33.120159,6.3943391,.12112767,12.106108,-23.606407,23.848661,-33.109123,19.399048,-71.130562,4.912312,-33.230251,20.450352,-73.312202,6.8517022
-15.6,27,-13.331615,10.056808,-33.042595,6.3793645,.120844,12.077756,-23.551123,23.79281,-33.031586,19.353617,-70.963982,4.9008079,-33.152431,20.40246,-73.140518,6.8356562
