temp,ref,yhat_comm,se_comm,lowerci_comm,upperci_comm,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high,yhat_marg,se_marg,lowerci_marg,upperci_marg
-20,27,7.4894338,5.285059,-2.8690908,17.84796,11.267649,6.837944,-2.1344759,24.669773,3.1300118,6.8512626,-10.298216,16.558241,-8.1376362,8.7292566,-25.246664,8.9713917
-19.9,27,7.4734988,5.2738137,-2.8629863,17.809984,11.243674,6.8233953,-2.1299345,24.617283,3.1233523,6.8366857,-10.276305,16.52301,-8.1203222,8.7106829,-25.192947,8.9523029
-19.799999,27,7.4575639,5.262569,-2.8568819,17.772009,11.219701,6.8088465,-2.1253932,24.564795,3.1166925,6.8221083,-10.254394,16.48778,-8.1030083,8.6921101,-25.139231,8.9332151
-19.700001,27,7.4416294,5.2513247,-2.8507776,17.734035,11.195727,6.7942977,-2.1208518,24.512306,3.110033,6.8075314,-10.232483,16.452549,-8.0856943,8.6735373,-25.085516,8.9141273
-19.6,27,7.425694,5.2400794,-2.8446732,17.696062,11.171754,6.7797489,-2.1163104,24.459818,3.1033735,6.792954,-10.210572,16.417318,-8.0683804,8.6549644,-25.031799,8.8950396
-19.5,27,7.409759,5.2288346,-2.8385687,17.658087,11.147779,6.7652001,-2.111769,24.407328,3.0967138,6.7783771,-10.188661,16.382088,-8.0510654,8.6363916,-24.978083,8.8759508
-19.4,27,7.3938241,5.2175899,-2.8324642,17.620113,11.123806,6.7506514,-2.1072273,24.354839,3.0900543,6.7637997,-10.16675,16.346859,-8.0337515,8.6178188,-24.924366,8.856863
-19.299999,27,7.3778892,5.2063451,-2.8263597,17.582138,11.099833,6.7361026,-2.1026859,24.302351,3.0833945,6.7492223,-10.144838,16.311628,-8.0164375,8.599246,-24.870649,8.8377743
-19.200001,27,7.3619542,5.1951003,-2.8202553,17.544165,11.075859,6.7215538,-2.0981445,24.249863,3.076735,6.7346454,-10.122928,16.276398,-7.9991236,8.5806732,-24.816935,8.8186865
-19.1,27,7.3460193,5.1838555,-2.8141508,17.506189,11.051885,6.707005,-2.0936031,24.197372,3.0700755,6.7200685,-10.101016,16.241167,-7.9818096,8.5621004,-24.763218,8.7995987
-19,27,7.3300843,5.1726108,-2.8080463,17.468216,11.027911,6.6924562,-2.0890617,24.144884,3.0634158,6.7054911,-10.079105,16.205936,-7.9644952,8.5435276,-24.709501,8.7805109
-18.9,27,7.3141494,5.161366,-2.8019419,17.430241,11.003938,6.677907,-2.0845201,24.092396,3.0567563,6.6909142,-10.057194,16.170706,-7.9471812,8.5249548,-24.655785,8.7614222
-18.799999,27,7.2982144,5.1501212,-2.7958374,17.392265,10.979963,6.6633582,-2.0799787,24.039906,3.0500965,6.6763368,-10.035283,16.135477,-7.9298668,8.506381,-24.602068,8.7423344
-18.700001,27,7.2822795,5.1388764,-2.7897332,17.354292,10.95599,6.6488099,-2.0754373,23.987417,3.0434372,6.6617599,-10.013372,16.100246,-7.9125528,8.4878092,-24.548353,8.7232466
-18.6,27,7.2663445,5.1276317,-2.7836287,17.316319,10.932016,6.6342607,-2.0708959,23.934929,3.0367775,6.6471825,-9.9914608,16.065016,-7.8952389,8.4692354,-24.494637,8.7041588
-18.5,27,7.2504096,5.1163869,-2.7775242,17.278343,10.908043,6.6197119,-2.0663545,23.882439,3.030118,6.6326056,-9.9695501,16.029785,-7.8779244,8.4506626,-24.44092,8.68507
-18.4,27,7.2344747,5.1051416,-2.7714198,17.240368,10.884068,6.6051631,-2.0618131,23.82995,3.0234582,6.6180282,-9.9476385,15.994555,-7.8606105,8.4320898,-24.387203,8.6659822
-18.299999,27,7.2185392,5.0938969,-2.7653153,17.202394,10.860095,6.5906143,-2.0572715,23.777462,3.0167987,6.6034508,-9.9257278,15.959325,-7.8432965,8.413517,-24.333487,8.6468945
-18.200001,27,7.2026048,5.0826526,-2.7592108,17.164421,10.836122,6.5760655,-2.0527301,23.724974,3.0101392,6.5888739,-9.9038162,15.924095,-7.8259826,8.3949442,-24.279772,8.6278067
-18.1,27,7.1866698,5.0714073,-2.7531064,17.126446,10.812148,6.5615168,-2.0481887,23.672483,3.0034795,6.574297,-9.8819056,15.888865,-7.8086681,8.3763714,-24.226055,8.6087179
-18,27,7.1707349,5.0601625,-2.7470019,17.08847,10.788174,6.546968,-2.0436473,23.619995,2.99682,6.5597196,-9.8599939,15.853634,-7.7913542,8.3577986,-24.172338,8.5896301
