temp,ref,yhat_comm,se_comm,lowerci_comm,upperci_comm,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high,yhat_marg,se_marg,lowerci_marg,upperci_marg
-20,27,-7.8000002,11.3,-29.999138,14.486682,-.1,14.6,-28.713797,28.54809,-32.799999,32,-95.558899,30.020605,-32.700001,35.299999,-101.90252,36.529934
-19.9,27,-7.6999998,11.3,-29.93531,14.455859,-.1,14.6,-28.652704,28.487349,-32.700001,32,-95.355583,29.956732,-32.599998,35.200001,-101.68571,36.452209
-19.799999,27,-7.6999998,11.3,-29.871483,14.425036,-.1,14.5,-28.59161,28.426607,-32.599998,31.9,-95.152267,29.892857,-32.5,35.200001,-101.46889,36.374485
-19.700001,27,-7.6999998,11.3,-29.807655,14.394215,-.1,14.5,-28.530518,28.365868,-32.599998,31.799999,-94.948952,29.828985,-32.5,35.099998,-101.25208,36.296764
-19.6,27,-7.6999998,11.3,-29.743828,14.363392,-.1,14.5,-28.469425,28.305128,-32.5,31.799999,-94.745636,29.76511,-32.400002,35,-101.03527,36.21904
-19.5,27,-7.6999998,11.2,-29.679998,14.332569,-.1,14.5,-28.408331,28.244387,-32.400002,31.700001,-94.54232,29.701237,-32.299999,34.900002,-100.81845,36.141315
-19.4,27,-7.6999998,11.2,-29.616171,14.301745,-.1,14.4,-28.347237,28.183645,-32.400002,31.6,-94.338997,29.637363,-32.299999,34.900002,-100.60164,36.063595
-19.299999,27,-7.5999999,11.2,-29.552343,14.270923,-.1,14.4,-28.286144,28.122906,-32.299999,31.6,-94.135681,29.57349,-32.200001,34.799999,-100.38483,35.98587
-19.200001,27,-7.5999999,11.2,-29.488516,14.240101,-.1,14.4,-28.225052,28.062164,-32.200001,31.5,-93.932365,29.509617,-32.099998,34.700001,-100.16801,35.90815
-19.1,27,-7.5999999,11.1,-29.424688,14.209278,-.1,14.3,-28.163958,28.001425,-32.099998,31.4,-93.72905,29.445744,-32.099998,34.599998,-99.951202,35.830425
-19,27,-7.5999999,11.1,-29.360859,14.178455,-.1,14.3,-28.102865,27.940683,-32.099998,31.4,-93.525734,29.381868,-32,34.599998,-99.734383,35.752701
