temp,ref,yhat_comm,se_comm,lowerci_comm,upperci_comm,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high,yhat_marg,se_marg,lowerci_marg,upperci_marg
-20,27,-29.207911,22.229879,-72.777672,14.361854,-24.162424,15.851932,-55.23164,6.9067926,-38.680805,64.366592,-164.83701,87.475388,-14.518383,66.076447,-144.02583,114.98907
-19.9,27,-29.145765,22.182583,-72.622826,14.331297,-24.111013,15.818204,-55.114124,6.892097,-38.598507,64.229637,-164.48628,87.289268,-14.487494,65.93586,-143.71939,114.74441
-19.799999,27,-29.08362,22.135284,-72.467979,14.300739,-24.059605,15.784476,-54.996609,6.8774018,-38.516209,64.09269,-164.13557,87.103157,-14.456603,65.795265,-143.41296,114.49975
-19.700001,27,-29.021477,22.087988,-72.313133,14.270183,-24.008196,15.75075,-54.879097,6.8627067,-38.43391,63.955742,-163.78485,86.917038,-14.425714,65.654678,-143.10652,114.2551
-19.6,27,-28.959333,22.040689,-72.158287,14.239625,-23.956785,15.717022,-54.761581,6.8480115,-38.351608,63.81879,-163.43414,86.730919,-14.394823,65.514091,-142.80008,114.01044
-19.5,27,-28.897188,21.993391,-72.003441,14.209068,-23.905376,15.683294,-54.64407,6.8333158,-38.26931,63.681839,-163.08342,86.5448,-14.363933,65.373505,-142.49365,113.76578
-19.4,27,-28.835043,21.946095,-71.848595,14.178511,-23.853966,15.649567,-54.526554,6.8186207,-38.187008,63.544888,-162.7327,86.358681,-14.333042,65.232918,-142.18721,113.52112
-19.299999,27,-28.772898,21.898796,-71.693748,14.147954,-23.802557,15.615839,-54.409039,6.803925,-38.10471,63.407936,-162.38199,86.172562,-14.302152,65.092323,-141.88077,113.27647
-19.200001,27,-28.710754,21.8515,-71.53891,14.117397,-23.751148,15.582112,-54.291527,6.7892303,-38.022411,63.270988,-162.03127,85.98645,-14.271262,64.951744,-141.57434,113.03181
-19.1,27,-28.648609,21.804201,-71.384056,14.08684,-23.699739,15.548385,-54.174011,6.7745347,-37.940109,63.134037,-161.68056,85.800331,-14.240372,64.81115,-141.2679,112.78715
-19,27,-28.586466,21.756905,-71.22921,14.056282,-23.648329,15.514657,-54.056499,6.7598395,-37.857811,62.997089,-161.32983,85.614212,-14.209481,64.670563,-140.96146,112.5425
-18.9,27,-28.524321,21.709606,-71.074364,14.025725,-23.59692,15.480929,-53.938984,6.7451439,-37.775513,62.860138,-160.97911,85.428093,-14.178592,64.529976,-140.65501,112.29784
