temp,ref,yhat_comm,se_comm,lowerci_comm,upperci_comm,tmax_rcspl_3kn_t0,tmax_rcspl_3kn_t1,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high,yhat_marg,se_marg,lowerci_marg,upperci_marg
-20,27,-18.822247,11.509455,-41.380363,3.7358692,-20,0,-3.0946465,10.846859,-24.354099,18.164806,-151.63179,75.111443,-298.8475,-4.4160619,-148.53714,75.883186,-297.26544,.19117087
-19.9,27,-18.7822,11.484966,-41.29232,3.7279205,-19.9,0,-3.088062,10.82378,-24.30228,18.126158,-151.30917,74.95163,-298.21167,-4.4066663,-148.2211,75.721733,-296.63297,.19076413
-19.8,27,-18.742153,11.460478,-41.204277,3.7199719,-19.799999,0,-3.0814776,10.800702,-24.250463,18.087509,-150.98654,74.791817,-297.57581,-4.3972702,-147.90506,75.56028,-296.00049,.19035737
-19.7,27,-18.702106,11.43599,-41.116234,3.7120233,-19.700001,0,-3.0748935,10.777623,-24.198647,18.048861,-150.66393,74.632011,-296.93997,-4.3878746,-147.58904,75.398827,-295.36801,.18995063
-19.6,27,-18.662058,11.411502,-41.028191,3.7040746,-19.6,0,-3.0683091,10.754545,-24.14683,18.010212,-150.34131,74.472198,-296.30414,-4.3784785,-147.27299,75.237373,-294.73553,.18954389
-19.5,27,-18.622011,11.387013,-40.940147,3.696126,-19.5,0,-3.0617247,10.731466,-24.095013,17.971563,-150.01869,74.312386,-295.66827,-4.3690829,-146.95695,75.07592,-294.10306,.18913713
-19.4,27,-18.581963,11.362525,-40.852104,3.6881771,-19.4,0,-3.0551403,10.708388,-24.043196,17.932915,-149.69606,74.152573,-295.03244,-4.3596869,-146.64091,74.914467,-293.47058,.18873039
-19.3,27,-18.541916,11.338037,-40.764061,3.6802285,-19.299999,0,-3.0485559,10.685309,-23.991377,17.894266,-149.37344,73.99276,-294.39658,-4.3502908,-146.32489,74.753014,-292.8381,.18832365
-19.2,27,-18.501869,11.313549,-40.676018,3.6722801,-19.200001,0,-3.0419717,10.662231,-23.939562,17.855618,-149.05083,73.832954,-293.76074,-4.3408952,-146.00885,74.59156,-292.20563,.1879169
-19.1,27,-18.461823,11.289061,-40.587975,3.6643312,-19.1,0,-3.0353873,10.639153,-23.887743,17.816969,-148.7282,73.673141,-293.12491,-4.3314991,-145.69281,74.430107,-291.57315,.18751015
-19,27,-18.421774,11.264573,-40.499931,3.6563826,-19,0,-3.0288029,10.616075,-23.835926,17.77832,-148.40558,73.513329,-292.48904,-4.3221035,-145.37679,74.268654,-290.94067,.18710341
-18.9,27,-18.381727,11.240085,-40.411888,3.6484339,-18.9,0,-3.0222185,10.592996,-23.784109,17.739672,-148.08296,73.353516,-291.85321,-4.3127074,-145.06075,74.107193,-290.30817,.18669666
-18.8,27,-18.341679,11.215596,-40.323845,3.6404853,-18.799999,0,-3.0156341,10.569918,-23.732292,17.701023,-147.76033,73.193703,-291.21738,-4.3033113,-144.74471,73.94574,-289.67569,.18628991
-18.7,27,-18.301632,11.191108,-40.235802,3.6325366,-18.700001,0,-3.0090499,10.54684,-23.680475,17.662374,-147.43771,73.033897,-290.58151,-4.2939157,-144.42867,73.784294,-289.04321,.18588316
-18.6,27,-18.261585,11.16662,-40.147758,3.624588,-18.6,0,-3.0024655,10.523761,-23.628658,17.623726,-147.1151,72.874084,-289.94568,-4.2845197,-144.11264,73.622841,-288.41074,.18547642
-18.5,27,-18.221537,11.142132,-40.059715,3.6166394,-18.5,0,-2.9958811,10.500682,-23.576839,17.585077,-146.79248,72.714272,-289.30981,-4.2751241,-143.7966,73.46138,-287.77826,.18506968
-18.4,27,-18.18149,11.117643,-39.971672,3.6086907,-18.4,0,-2.9892967,10.477604,-23.525023,17.546429,-146.46985,72.554459,-288.67398,-4.265728,-143.48056,73.299927,-287.14578,.18466292
-18.3,27,-18.141443,11.093155,-39.883625,3.6007419,-18.299999,0,-2.9827125,10.454525,-23.473206,17.50778,-146.14723,72.394646,-288.03815,-4.2563319,-143.16452,73.138474,-286.51331,.18425618
-18.2,27,-18.101397,11.068667,-39.795586,3.5927935,-18.200001,0,-2.9761281,10.431447,-23.421389,17.469133,-145.82462,72.23484,-287.40228,-4.2469363,-142.8485,72.97702,-285.88083,.18384944
-18.1,27,-18.061348,11.044179,-39.707542,3.5848448,-18.1,0,-2.9695437,10.408369,-23.369572,17.430485,-145.502,72.075027,-286.76645,-4.2375402,-142.53246,72.815567,-285.24835,.18344268
-18,27,-18.021301,11.019691,-39.619499,3.576896,-18,0,-2.9629593,10.38529,-23.317755,17.391836,-145.17937,71.915215,-286.13062,-4.2281446,-142.21642,72.654114,-284.61588,.18303594
-17.9,27,-17.981253,10.995202,-39.531452,3.5689473,-17.9,0,-2.9563751,10.362211,-23.265936,17.353188,-144.85675,71.755402,-285.49475,-4.2187486,-141.90038,72.492661,-283.98337,.1826292
-17.8,27,-17.941206,10.970714,-39.443409,3.5609987,-17.799999,0,-2.9497907,10.339133,-23.214119,17.314539,-144.53413,71.595589,-284.85892,-4.209353,-141.58434,72.331207,-283.35089,.18222244
-17.7,27,-17.901159,10.946226,-39.35537,3.55305,-17.700001,0,-2.9432063,10.316055,-23.162302,17.27589,-144.21152,71.435783,-284.22305,-4.1999569,-141.26831,72.169754,-282.71841,.1818157
-17.6,27,-17.861111,10.921738,-39.267326,3.5451014,-17.6,0,-2.9366219,10.292976,-23.110485,17.237242,-143.88889,71.27597,-283.58722,-4.1905613,-140.95227,72.008301,-282.08594,.18140896
-17.5,27,-17.821064,10.897249,-39.179279,3.5371528,-17.5,0,-2.9300375,10.269898,-23.058668,17.198593,-143.56627,71.116158,-282.95139,-4.1811652,-140.63623,71.846848,-281.45346,.18100221
-17.4,27,-17.781017,10.872762,-39.091236,3.5292041,-17.4,0,-2.9234533,10.246819,-23.006851,17.159945,-143.24365,70.956345,-282.31552,-4.1717691,-140.32019,71.685394,-280.82098,.18059546
-17.3,27,-17.740969,10.848273,-39.003193,3.5212553,-17.299999,0,-2.9168689,10.223742,-22.955032,17.121296,-142.92102,70.796532,-281.67969,-4.1623735,-140.00415,71.523941,-280.18851,.18018872
-17.2,27,-17.700922,10.823785,-38.91515,3.5133069,-17.200001,0,-2.9102845,10.200663,-22.903217,17.082647,-142.5984,70.636719,-281.04385,-4.1529775,-139.68813,71.362488,-279.55603,.17978197
-17.1,27,-17.660875,10.799297,-38.827106,3.5053582,-17.1,0,-2.9037001,10.177585,-22.851398,17.043999,-142.27579,70.476906,-280.40799,-4.1435819,-139.37209,71.201035,-278.92355,.17937522
-17,27,-17.620827,10.774809,-38.739063,3.4974093,-17,0,-2.8971159,10.154506,-22.799582,17.00535,-141.95317,70.317101,-279.77216,-4.1341858,-139.05605,71.039581,-278.29108,.17896847
-16.9,27,-17.58078,10.75032,-38.65102,3.4894607,-16.9,0,-2.8905315,10.131428,-22.747765,16.966702,-141.63054,70.157288,-279.13629,-4.1247897,-138.74001,70.878128,-277.65857,.17856173
-16.8,27,-17.540733,10.725832,-38.562977,3.4815121,-16.799999,0,-2.8839471,10.108349,-22.695948,16.928053,-141.30792,69.997475,-278.50046,-4.1153941,-138.42397,70.716667,-277.02609,.17815498
-16.7,27,-17.500685,10.701344,-38.474934,3.4735634,-16.700001,0,-2.8773627,10.085271,-22.644131,16.889404,-140.98531,69.837662,-277.86462,-4.105998,-138.10794,70.555222,-276.39362,.17774823
-16.6,27,-17.460638,10.676856,-38.38689,3.4656148,-16.6,0,-2.8707786,10.062192,-22.592314,16.850756,-140.66269,69.677849,-277.22876,-4.0966024,-137.7919,70.393768,-275.76114,.17734149
-16.5,27,-17.420591,10.652368,-38.298847,3.4576662,-16.5,0,-2.8641942,10.039114,-22.540495,16.812107,-140.34006,69.518036,-276.59293,-4.0872064,-137.47586,70.232315,-275.12866,.17693475
-16.4,27,-17.380543,10.627879,-38.210804,3.4497175,-16.4,0,-2.8576097,10.016035,-22.488678,16.773458,-140.01744,69.358231,-275.95706,-4.0778103,-137.15984,70.070854,-274.49619,.17652799
-16.3,27,-17.340496,10.603391,-38.122761,3.4417689,-16.299999,0,-2.8510253,9.9929571,-22.436861,16.73481,-139.69481,69.198418,-275.32123,-4.0684147,-136.8438,69.909401,-273.86371,.17612125
-16.2,27,-17.300449,10.578903,-38.034718,3.4338202,-16.200001,0,-2.8444412,9.9698792,-22.385044,16.696163,-139.37219,69.038605,-274.68539,-4.0590191,-136.52776,69.747955,-273.23123,.17571451
-16.1,27,-17.260401,10.554415,-37.946674,3.4258716,-16.1,0,-2.8378568,9.9468002,-22.333227,16.657513,-139.04958,68.878792,-274.04953,-4.049623,-136.21172,69.586494,-272.59875,.17530777
-16,27,-17.220354,10.529926,-37.858631,3.417923,-16,0,-2.8312724,9.9237213,-22.28141,16.618864,-138.72696,68.718979,-273.4137,-4.0402269,-135.89569,69.425041,-271.96628,.17490101
-15.9,27,-17.180307,10.505438,-37.770588,3.4099741,-15.9,0,-2.824688,9.9006433,-22.229591,16.580215,-138.40433,68.559166,-272.77783,-4.0308313,-135.57965,69.263588,-271.33377,.17449427
-15.8,27,-17.140259,10.48095,-37.682545,3.4020255,-15.8,0,-2.8181036,9.8775654,-22.177774,16.541569,-138.08171,68.399361,-272.142,-4.0214353,-135.26361,69.102135,-270.70132,.17408752
-15.7,27,-17.100212,10.456462,-37.594501,3.3940768,-15.7,0,-2.8115191,9.8544865,-22.125957,16.50292,-137.75909,68.239548,-271.50613,-4.0120392,-134.94757,68.940681,-270.06882,.17368077
-15.6,27,-17.060165,10.431973,-37.506458,3.3861282,-15.6,0,-2.804935,9.8314085,-22.074141,16.464272,-137.43648,68.079735,-270.8703,-4.0026436,-134.63155,68.779228,-269.43634,.17327403
-15.5,27,-17.020117,10.407486,-37.418415,3.3781796,-15.5,0,-2.7983506,9.8083296,-22.022324,16.425623,-137.11385,67.919922,-270.23447,-3.9932477,-134.31551,68.617775,-268.80386,.17286728
-15.4,27,-16.98007,10.382998,-37.330372,3.3702309,-15.4,0,-2.7917662,9.7852507,-21.970507,16.386974,-136.79123,67.760109,-269.5986,-3.9838517,-133.99947,68.456322,-268.17139,.17246053
