temp,ref,yhat_comm,se_comm,lowerci_comm,upperci_comm,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high,yhat_marg,se_marg,lowerci_marg,upperci_marg
-20,27,-45.484211,39.080311,-122.08021,31.111786,-11.48017,46.043224,-101.72323,78.762894,-132.8177,62.76701,-255.83878,-9.7966232,-121.33753,74.587074,-267.52551,24.850454
-19.9,27,-45.387436,38.997158,-121.82047,31.045589,-11.455744,45.945259,-101.5068,78.595306,-132.53511,62.633461,-255.29443,-9.7757788,-121.07937,74.428383,-266.9563,24.797581
-19.799999,27,-45.290661,38.914009,-121.56072,30.979395,-11.431318,45.847294,-101.29037,78.427727,-132.25252,62.499916,-254.75011,-9.7549353,-120.8212,74.269684,-266.38712,24.744707
-19.700001,27,-45.19389,38.83086,-121.30098,30.9132,-11.406893,45.749332,-101.07394,78.260147,-131.96992,62.366371,-254.20576,-9.7340918,-120.56304,74.110992,-265.8179,24.691835
-19.6,27,-45.097115,38.747711,-121.04123,30.847004,-11.382466,45.651367,-100.8575,78.092567,-131.68733,62.232822,-253.66144,-9.7132473,-120.30487,73.952293,-265.24872,24.638962
-19.5,27,-45.00034,38.664562,-120.78149,30.780809,-11.35804,45.553402,-100.64107,77.924988,-131.40475,62.099277,-253.1171,-9.6924038,-120.04671,73.793602,-264.6795,24.586088
-19.4,27,-44.903564,38.581409,-120.52174,30.714613,-11.333614,45.455437,-100.42464,77.757408,-131.12216,61.965729,-252.57275,-9.6715593,-119.78854,73.634903,-264.11029,24.533215
-19.299999,27,-44.806789,38.49826,-120.26199,30.648418,-11.309188,45.357471,-100.2082,77.589821,-130.83957,61.83218,-252.02841,-9.6507158,-119.53037,73.476204,-263.54108,24.480341
-19.200001,27,-44.710014,38.415112,-120.00225,30.582224,-11.284762,45.25951,-99.991776,77.422249,-130.55698,61.698635,-251.48409,-9.6298723,-119.27222,73.317513,-262.97189,24.427469
-19.1,27,-44.613239,38.331963,-119.74251,30.516027,-11.260337,45.161545,-99.775337,77.254662,-130.27438,61.56509,-250.93974,-9.6090279,-119.01405,73.158813,-262.40268,24.374596
-19,27,-44.516464,38.248814,-119.48276,30.449833,-11.23591,45.06358,-99.558907,77.087082,-129.99179,61.431541,-250.3954,-9.5881844,-118.75588,73.000122,-261.8335,24.321722
-18.9,27,-44.419689,38.165665,-119.22301,30.383636,-11.211485,44.965614,-99.342476,76.919502,-129.7092,61.297993,-249.85106,-9.5673399,-118.49772,72.841423,-261.26428,24.268848
-18.799999,27,-44.322914,38.082512,-118.96326,30.317442,-11.187058,44.867653,-99.126038,76.751923,-129.42661,61.164448,-249.30672,-9.5464964,-118.23955,72.682724,-260.69507,24.215975
-18.700001,27,-44.226139,37.999363,-118.70353,30.251247,-11.162633,44.769688,-98.909607,76.584343,-129.14403,61.030903,-248.76239,-9.5256529,-117.98139,72.524033,-260.12589,24.163103
-18.6,27,-44.129364,37.916214,-118.44378,30.185051,-11.138207,44.671722,-98.693176,76.416763,-128.86143,60.897354,-248.21805,-9.5048084,-117.72322,72.365334,-259.55667,24.110229
-18.5,27,-44.032589,37.833065,-118.18404,30.118856,-11.113781,44.573757,-98.476746,76.249184,-128.57884,60.763809,-247.67371,-9.4839649,-117.46506,72.206642,-258.98746,24.057356
