temp,ref,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high
-20,27,-48.338379,24.640879,-96.633614,-.043143734,-220.33965,61.165451,-340.22174,-100.45757
-19.9,27,-48.234333,24.587908,-96.425743,-.042919792,-219.86496,61.034557,-339.49051,-100.23943
-19.799999,27,-48.130287,24.534937,-96.21788,-.042695809,-219.39029,60.90366,-338.75928,-100.0213
-19.700001,27,-48.026245,24.481966,-96.010017,-.042471796,-218.9156,60.772766,-338.02805,-99.803169
-19.6,27,-47.922199,24.428995,-95.802147,-.042247742,-218.44092,60.641872,-337.29681,-99.585037
-19.5,27,-47.818153,24.376024,-95.594284,-.042023651,-217.96623,60.510975,-336.56558,-99.366905
-19.4,27,-47.714108,24.323053,-95.386421,-.041799523,-217.49155,60.380081,-335.83435,-99.148766
-19.299999,27,-47.610065,24.270082,-95.178551,-.041575357,-217.01686,60.249187,-335.10309,-98.930634
-19.200001,27,-47.50602,24.217113,-94.970688,-.041351154,-216.54219,60.118294,-334.37189,-98.712502
-19.1,27,-47.401974,24.164143,-94.762825,-.041126911,-216.0675,59.987396,-333.64066,-98.49437
-19,27,-47.297932,24.111172,-94.554955,-.040902629,-215.59282,59.856503,-332.90942,-98.276237
-18.9,27,-47.193886,24.058201,-94.347092,-.040678307,-215.11813,59.725605,-332.17819,-98.058098
-18.799999,27,-47.08984,24.00523,-94.139229,-.040453948,-214.64345,59.594711,-331.44693,-97.839966
-18.700001,27,-46.985798,23.952261,-93.931366,-.040229555,-214.16878,59.463818,-330.71573,-97.621834
-18.6,27,-46.881752,23.89929,-93.723495,-.040005118,-213.69409,59.332924,-329.9845,-97.403702
-18.5,27,-46.777706,23.846319,-93.515633,-.039780639,-213.21941,59.20203,-329.25327,-97.18557
-18.4,27,-46.67366,23.793348,-93.30777,-.03955612,-212.74472,59.071133,-328.52203,-96.96743
-18.299999,27,-46.569618,23.740377,-93.099899,-.039331559,-212.27003,58.940239,-327.79077,-96.749298
-18.200001,27,-46.465572,23.687408,-92.892044,-.039106965,-211.79536,58.809345,-327.05957,-96.531166
-18.1,27,-46.36153,23.634438,-92.684174,-.038882323,-211.32068,58.678452,-326.32834,-96.313034
-18,27,-46.257484,23.581467,-92.476311,-.038657643,-210.84599,58.547554,-325.59711,-96.094894
-17.9,27,-46.153439,23.528496,-92.26844,-.038432918,-210.37131,58.41666,-324.86588,-95.876762
-17.799999,27,-46.049393,23.475525,-92.060577,-.038208153,-209.89662,58.285767,-324.13461,-95.658623
-17.700001,27,-45.945351,23.422556,-91.852715,-.03798335,-209.42195,58.154873,-323.40341,-95.440491
-17.6,27,-45.841305,23.369585,-91.644852,-.037758503,-208.94727,58.023979,-322.67218,-95.222359
-17.5,27,-45.737259,23.316616,-91.436989,-.037533607,-208.47258,57.893082,-321.94095,-95.004227
-17.4,27,-45.633217,23.263645,-91.229118,-.037308674,-207.99789,57.762188,-321.20972,-94.786087
-17.299999,27,-45.529171,23.210674,-91.021255,-.037083697,-207.52321,57.631294,-320.47849,-94.567955
-17.200001,27,-45.425125,23.157705,-90.813393,-.036858678,-207.04854,57.500401,-319.74725,-94.349823
-17.1,27,-45.321083,23.104734,-90.60553,-.036633614,-206.57385,57.369507,-319.01602,-94.131683
-17,27,-45.217037,23.051764,-90.397667,-.036408503,-206.09917,57.238613,-318.28479,-93.913551
-16.9,27,-45.112991,22.998795,-90.189796,-.03618335,-205.62448,57.107716,-317.55356,-93.695412
-16.799999,27,-45.008945,22.945824,-89.981934,-.035958152,-205.1498,56.976822,-316.82233,-93.47728
-16.700001,27,-44.904903,22.892855,-89.774071,-.03573291,-204.67513,56.845932,-316.09109,-93.259148
-16.6,27,-44.800858,22.839884,-89.566208,-.035507623,-204.20044,56.715034,-315.35986,-93.041008
-16.5,27,-44.696812,22.786915,-89.358345,-.035282288,-203.72575,56.584141,-314.62863,-92.822876
-16.4,27,-44.59277,22.733944,-89.150482,-.035056908,-203.25107,56.453247,-313.8974,-92.604736
-16.299999,27,-44.488724,22.680973,-88.942612,-.034831479,-202.77638,56.322353,-313.16617,-92.386604
-16.200001,27,-44.384682,22.628004,-88.734756,-.03460601,-202.30171,56.19146,-312.43494,-92.168472
-16.1,27,-44.280636,22.575035,-88.526886,-.034380492,-201.82703,56.060566,-311.7037,-91.950333
-16,27,-44.17659,22.522064,-88.319023,-.034154922,-201.35234,55.929672,-310.97247,-91.732201
-15.9,27,-44.072544,22.469093,-88.11116,-.033929307,-200.87766,55.798779,-310.24124,-91.514061
-15.8,27,-43.968502,22.416124,-87.903297,-.033703644,-200.40297,55.667885,-309.51001,-91.295929
-15.7,27,-43.864456,22.363155,-87.695435,-.033477936,-199.92828,55.536991,-308.77878,-91.077789
-15.6,27,-43.76041,22.310184,-87.487572,-.033252176,-199.45361,55.406097,-308.04758,-90.859657
-15.5,27,-43.656364,22.257215,-87.279709,-.033026367,-198.97893,55.275204,-307.31635,-90.641518
-15.4,27,-43.552322,22.204245,-87.071838,-.032800507,-198.50424,55.14431,-306.58511,-90.423386
-15.3,27,-43.448277,22.151276,-86.863983,-.032574601,-198.02956,55.013416,-305.85388,-90.205246
-15.2,27,-43.344231,22.098307,-86.656113,-.032348644,-197.55487,54.882523,-305.12265,-89.987114
-15.1,27,-43.240189,22.045336,-86.44825,-.032122638,-197.0802,54.751629,-304.39142,-89.768974
-15,27,-43.136143,21.992367,-86.240387,-.031896576,-196.60551,54.620735,-303.66019,-89.550842
-14.9,27,-43.032097,21.939396,-86.032524,-.031670466,-196.13083,54.489841,-302.92896,-89.332703
-14.8,27,-42.928055,21.886427,-85.824661,-.031444307,-195.65614,54.358948,-302.19772,-89.114571
-14.7,27,-42.824009,21.833458,-85.616798,-.031218091,-195.18146,54.228054,-301.46649,-88.896431
-14.6,27,-42.719963,21.780489,-85.408936,-.030991828,-194.70679,54.09716,-300.73526,-88.678291
-14.5,27,-42.615921,21.727518,-85.201073,-.030765509,-194.2321,53.966267,-300.00403,-88.460159
-14.4,27,-42.511875,21.674549,-84.99321,-.030539136,-193.75742,53.835373,-299.2728,-88.24202
-14.3,27,-42.407829,21.62158,-84.785347,-.030312713,-193.28273,53.704483,-298.5416,-88.023888
-14.2,27,-42.303783,21.568609,-84.577484,-.030086234,-192.80804,53.573589,-297.81036,-87.805748
-14.1,27,-42.199741,21.51564,-84.369621,-.029859703,-192.33337,53.442696,-297.07913,-87.587608
-14,27,-42.095695,21.462671,-84.161758,-.029633114,-191.85869,53.311802,-296.3479,-87.369476
